,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
0,1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%
1,2,Demon Slayer the Movie: Mugen Train,"$454,779,627","$49,505,008",10.9%,"$405,274,619",89.1%
2,3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
4,5,Tenet,"$363,704,105","$58,504,105",16.1%,"$305,200,000",83.9%
5,6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
6,7,Dolittle,"$245,438,444","$77,047,065",31.4%,"$168,391,379",68.6%
7,8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%
8,9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
9,10,The Croods 2: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%
10,11,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
11,12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%
12,13,Wonder Woman 1984,"$166,801,036","$46,801,036",28.1%,"$120,000,000",71.9%
13,14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
14,15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
15,16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%
16,17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
17,18,Soul,"$120,957,731",-,-,"$120,957,731",100%
18,19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%
19,20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
20,21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
21,22,Mulan,"$66,800,000",-,-,"$66,800,000",100%
22,23,Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%
23,24,The Rescue,"$64,203,587","$18,797",<0.1%,"$64,184,790",100%
24,25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
25,26,Greenland,"$52,300,000",-,-,"$52,300,000",100%
26,27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
27,28,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%
28,29,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%
29,30,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
30,31,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
31,32,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
32,33,Trolls 2: World Tour,"$47,641,355","$450,000",0.9%,"$47,191,355",99.1%
33,34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
34,35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%
35,36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
36,37,Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
37,38,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%
38,39,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
39,40,The War with Grandpa,"$40,709,936","$21,277,892",52.3%,"$19,432,044",47.7%
40,41,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
41,42,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
42,43,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
43,44,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
44,45,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
45,46,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%
46,47,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
47,48,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
48,49,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
49,50,Honest Thief,"$31,220,247","$14,163,574",45.4%,"$17,056,673",54.6%
50,51,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
51,52,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
52,53,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%
53,54,The Witches,"$27,103,571","$203,571",0.8%,"$26,900,000",99.2%
54,55,Scooby-Doo: A New Universe,"$27,088,425","$2,188,425",8.1%,"$24,900,000",91.9%
55,56,Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%
56,57,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
57,58,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
58,59,The Father,"$23,740,378","$2,122,771",8.9%,"$21,617,607",91.1%
59,60,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
60,61,Poupelle of Chimney Town,"$21,831,861",-,-,"$21,831,861",100%
61,62,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
62,63,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%
63,64,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
64,65,Yarn,"$20,474,270",-,-,"$20,474,270",100%
65,66,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%
66,67,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
67,68,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
