,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
64,Pompeii,27,34,PG-13,"['Adventure', 'History', 'Drama', 'Action']",['PaulW.S.Anderson'],"['JeremyBolt', 'PaulW.S.Anderson', 'RobertKulzer', 'DonCarmody']","['Feb 21', '2014']",23.2M
65,Seventh Son,12,34,PG-13,"['Adventure', 'Fantasy', 'Action']",['SergeyBodrov'],"['BasilIwanyk', 'ThomasTull', 'LionelWigram']","['Feb 6', '2015']",17.2M
66,The Purge: Anarchy,57,56,R,"['Mystery&thriller', 'Horror', 'Action']",['JamesDeMonaco'],"['JasonBlum', 'MichaelBay', 'AndrewForm', 'BradFuller', 'SebastienK.Lemercier']","['Jul 18', '2014']",71.5M
67,"Dad, Where Are We Going?",,,,,,,,
68,The Boxtrolls,78,63,PG,"['Fantasy', 'Adventure', 'Kids&family', 'Comedy', 'Animation']","['AnthonyStacchi', 'GrahamAnnable']","['DavidBleimanIchioka', 'TravisKnight']","['Sep 26', '2014']",50.8M
69,Horrible Bosses 2,35,47,R,['Comedy'],['SeanAnders'],"['BrettRatner', 'JayStern', 'ChrisBender', 'JohnRickard', 'JohnMorris']","['Nov 26', '2014']",54.4M
70,The Breakup Guru,,45,,"['Comedy', 'Romance']",['ChaoDeng'],,,209.0K
71,Ouija,6,24,PG-13,"['Horror', 'Mystery&thriller']",['StilesWhite'],"['MichaelBay', 'AndrewForm', 'BradFuller', 'JasonBlum', 'BennettSchneir']","['Oct 24', '2014']",50.8M
72,Birdman or (The Unexpected Virtue of Ignorance),,,,,,,,
73,Transcendence,19,37,PG-13,"['Action', 'Sci-fi', 'Mystery&thriller']",['WallyPfister'],"['AndrewA.Kosove', 'BroderickJohnson', 'KateCohen', 'MarisaPolvino', 'AnnieMarter', 'DavidValdes', 'AaronRyder']","['Apr 18', '2014']",23.0M
74,Heaven Is for Real,51,66,PG,['Drama'],['RandallWallace'],"['JoeRoth', 'ThomasDexterJakesSr.']","['Apr 16', '2014']",91.4M
75,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",62,58,PG,"['Kids&family', 'Comedy']",['MiguelArteta'],"['ShawnLevy', 'LisaHenson', 'DanLevine']","['Oct 10', '2014']",67.0M
76,Tammy,24,36,R,['Comedy'],['BenFalcone'],"['WillFerrell', 'AdamMcKay', 'MelissaMcCarthy']","['Jul 2', '2014']",84.5M
77,PK,77,85,,"['Drama', 'Fantasy', 'Comedy']",['RajkumarHirani'],"['VidhuVinodChopra', 'RajkumarHirani']","['Dec 19', '2014']",10.6M
78,The Continent,,53,,['Drama'],['HanHan'],,,
79,The Book of Life,83,77,PG,"['Fantasy', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['JorgeR.Gutierrez'],"['GuillermodelToro', 'AaronD.Berger', 'BradBooker', 'CarinaSchulze']","['Oct 17', '2014']",50.1M
80,Ode to My Father,71,85,,['Drama'],['YoonJe-kyoon'],,"['Jan 9', '2015']",2.3M
81,Fleet of Time,,,,,,,,
82,The Man from Macau,,19,,['Drama'],['JingWong'],['AndrewLauWai-Keung'],,
83,Paranormal Activity: The Marked Ones,39,34,R,"['Horror', 'Mystery&thriller']",['ChristopherLandon'],"['JasonBlum', 'OrenPeli']","['Jan 3', '2014']",32.5M
84,The Hundred-Foot Journey,68,81,PG,"['Drama', 'Comedy']",['LasseHallström'],"['StevenSpielberg', 'OprahWinfrey', 'JulietBlake']","['Aug 8', '2014']",54.2M
85,Deliver Us from Evil,29,42,R,"['Horror', 'Mystery&thriller']",['ScottDerrickson'],['JerryBruckheimer'],"['Jul 2', '2014']",30.6M
86,A Million Ways to Die in the West,33,41,R,"['Western', 'Comedy']",['SethMacFarlane'],"['ScottStuber', 'SethMacFarlane', 'JasonClark']","['May 30', '2014']",42.6M
87,Step Up All In,42,57,PG-13,['Drama'],['TrishSie'],"['AdamShankman', 'JenniferGibgot', 'PatrickWachsberger', 'ErikFeig']","['Aug 8', '2014']",14.9M
88,John Wick,86,81,R,"['Action', 'Mystery&thriller']",['ChadStahelski'],"['BasilIwanyk', 'DavidLeitch', 'EvaLongoria']","['Oct 24', '2014']",43.0M
89,The Judge,100,,,['Documentary'],['ErikaCohn'],['ErikaCohn'],"['Apr 13', '2018']",
90,Tiny Times 3.0,,,,,,,,
91,Gone with the Bullets,,,,,,,,
92,Muppets Most Wanted,80,58,PG,"['Kids&family', 'Comedy', 'Adventure']",['JamesBobin'],"['DavidHoberman', 'ToddLieberman']","['Mar 21', '2014']",51.2M
93,Spanish Affair,,,,['Drama'],"['LuisMarquina', 'DonSiegel']",['BruceOdlum'],,
94,If I Stay,35,61,PG-13,"['Drama', 'Romance']",['R.J.Cutler'],['AlisonGreenspan'],"['Aug 22', '2014']",50.5M
95,Head Full of Honey,0,75,PG-13,['Drama'],['TilSchweiger'],"['TilSchweiger', 'ChristianSpecht']","['Nov 30', '2018']",8.7K
96,"I, Frankenstein",5,38,PG-13,"['Fantasy', 'Action']",['StuartBeattie'],"['TomRosenberg', 'GaryLucchesi', 'RichardS.Wright', 'AndrewMason', 'SidneyKimmel']","['Jan 24', '2014']",19.1M
97,Crimson Peak,72,55,R,"['Horror', 'Romance', 'Mystery&thriller']",['GuillermodelToro'],"['ThomasTull', 'JonJashni', 'GuillermodelToro', 'CallumGreene']","['Oct 16', '2015']",31.1M
98,My Old Classmate,,,,['Romance'],['FrantGwo'],,,
99,The Bélier Family,83,75,,"['Drama', 'Comedy']",['ÉricLartigau'],"['EricJehelmann', 'NadiaKhamlichi', 'AdrianPolitowski', 'PhilippeRousselet', 'GillesWaterkeyn', 'StéphanieBermann']",,
100,Brick Mansions,26,47,PG-13,"['Drama', 'Action', 'Crime']",['CamilleDelamarre'],"['ClaudeLéger', 'JonathanVanger']","['Apr 25', '2014']",20.4M
101,Son of God,21,73,PG-13,"['Drama', 'History']","['ChristopherSpencer', 'TonyMitchell', 'CrispinReece']","['RomaDowney', 'MarkBurnett', 'RichardBedser']","['Feb 28', '2014']",59.7M
102,Think Like a Man Too,23,59,PG-13,"['Comedy', 'Romance']",['TimStory'],['WillPacker'],"['Jun 20', '2014']",65.1M
103,Jersey Boys,51,62,R,"['Drama', 'Musical', 'Biography']",['ClintEastwood'],"['ClintEastwood', 'GrahamKing', 'RobertLorenz']","['Jun 20', '2014']",47.0M
104,The Giver,35,55,PG-13,"['Drama', 'Sci-fi', 'Action']",['PhillipNoyce'],"['NikkiSilver', 'JeffBridges', 'NeilKoenigsberg']","['Aug 15', '2014']",45.1M
105,Selma,99,86,PG-13,"['Drama', 'History']",['AvaDuVernay'],"['ChristianColson', 'OprahWinfrey', 'DedeGardner', 'JeremyKleiner']","['Jan 9', '2015']",52.1M
106,Beijing Love Story,33,53,,"['Drama', 'Comedy', 'Romance']",['ChenSiCheng'],['LiChen'],"['Feb 14', '2014']",427.9K
107,The House That Never Dies,,20,,"['Horror', 'Mystery&thriller']",['JoeChien'],['GordonChan'],,
108,The Pirates,81,83,G,['Musical'],['WilfordLeach'],"['TimothyBurrill', 'JosephPapp']","['Feb 18', '1983']",
109,God's Not Dead,12,75,PG,['Drama'],['HaroldCronk'],"['MichaelScott', 'RussellWolfe', 'DavidA.R.White', 'AnnaZielinski', 'ElizabethTravis']","['Mar 21', '2014']",20.6M
110,The Pirate Fairy,81,70,G,"['Kids&family', 'Fantasy', 'Animation', 'Adventure']",['PeggyHolmes'],['JenniMagee-Cook'],,
111,The Inbetweeners 2,69,60,,['Comedy'],"['DamonBeesley', 'IainMorris']",,,
112,Begin Again,,80,,['Drama'],"['BillGillane', 'JoshuaSamson']","['BillGillane', 'LisaSpurrier']",,
113,The White Haired Witch of Lunar Kingdom,13,22,,['Fantasy'],"['ChiLeung""Jacob""Cheung']",['JianxinHuang'],,
114,The Walk,83,77,PG,"['Drama', 'Biography', 'Adventure']",['RobertZemeckis'],"['SteveStarkey', 'RobertZemeckis', 'JackRapke']","['Oct 9', '2015']",10.1M
115,Miss Granny,,,,"['Fantasy', 'Comedy']",['JoyceBernal'],"['NeilArce', 'VicenteG.delRosarioIII', 'VeroniqueDelRosario-Corpus']",,
116,A Walk Among the Tombstones,68,53,R,"['Crime', 'Action', 'Mystery&thriller', 'Drama']",['ScottFrank'],"['DannyDeVito', 'MichaelShamberg', 'StaceySher', 'TobinArmbrust', 'BrianOliver']","['Sep 19', '2014']",26.0M
