movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Eight Hundred,508935,tt7294150,Wang Qian-Yuan,1.371,Zhang Yi,14.343,Huang Zhizhong,3.096,Jiang Wu,4.228,Oho Ou,10.438
Demon Slayer the Movie: Mugen Train,635302,tt11032374,Natsuki Hanae,15.48,Akari Kito,25.187,Hiro Shimono,8.399,Yoshitsugu Matsuoka,15.061,Satoshi Hino,8.538
Bad Boys for Life,38700,tt1502397,Will Smith,33.966,Martin Lawrence,26.374,Paola Nuñez,19.055,Vanessa Hudgens,20.546,Alexander Ludwig,17.653
"My People, My Homeland",734778,tt12363162,Ge You,3.421,Liu Mintao,7.084,Fan Wei,3.436,Huang Bo,13.595,Zhang Yi,14.343
Tenet,577922,tt6723592,John David Washington,9.337,Robert Pattinson,26.955,Elizabeth Debicki,15.707,Kenneth Branagh,42.401,Dimple Kapadia,5.0
Sonic the Hedgehog,675353,tt12412888,Ben Schwartz,17.938,Idris Elba,26.498,Colleen O'Shaughnessey,6.945,Jim Carrey,24.867,James Marsden,19.282
Dolittle,448119,tt6673612,Robert Downey Jr.,38.361,Antonio Banderas,18.301,Michael Sheen,13.665,Jim Broadbent,13.829,Jessie Buckley,26.822
Legend of Deification,635389,tt11177804,Zheng Xi,0.748,Jiang Guangtao,2.115,Ji Guanlin,3.095,Feng Sheng,2.128,Ning Yang,2.635
A Little Red Flower,716815,tt12497408,Jackson Yee,10.104,Liu Haocun,4.784,Gao Yalin,6.225,Zhu Yuanyuan,1.45,Xia Yu,3.416
The Croods 2: A New Age,,,,,,,,,,,,
Birds of Prey,495764,tt7713068,Margot Robbie,29.861,Ewan McGregor,15.899,Mary Elizabeth Winstead,26.06,Jurnee Smollett,11.34,Rosie Perez,7.446
Shock Wave 2,559974,tt9597838,Andy Lau,16.233,Lau Ching-wan,6.299,Ni Ni,8.183,Tse Kwan-Ho,3.266,Philip Keung,6.731
Wonder Woman 1984,464052,tt7126948,Gal Gadot,38.496,Chris Pine,29.596,Kristen Wiig,16.468,Pedro Pascal,27.815,Robin Wright,13.714
The Sacrifice,413254,tt0001027,Harry Solter,1.645,Florence Lawrence,1.38,Linda Arvidson,1.092,John R. Cumpson,0.652,George Gebhardt,0.6
