movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Spider-Man: No Way Home,634649,False,200000000,7358.5,1888000000,148
The Battle at Lake Changjin,779029,False,0,9.326,888577720,176
"Hi, Mom",42589,False,0,7.638,0,87
No Time to Die,370172,False,250000000,557.767,774153007,163
F9: The Fast Saga,385128,False,200000000,494.814,726229501,143
Detective Chinatown 3,602666,False,0,5.864,686257563,136
Venom: Let There Be Carnage,580489,False,110000000,1378.22,500000000,97
Godzilla vs. Kong,399566,False,200000000,409.778,467863133,113
Shang-Chi and the Legend of the Ten Rings,566525,False,150000000,1057.709,432243292,132
Eternals,524434,False,200000000,1470.377,402027582,156
Dune,438631,False,165000000,580.471,400000000,155
Black Widow,497698,False,200000000,443.759,379751655,134
Sing 2,438695,False,85000000,1304.681,387000000,110
Free Guy,550988,False,110000000,601.628,331096766,115
A Quiet Place Part II,520763,False,61000000,317.094,297372261,97
Encanto,568124,False,50000000,2586.677,253000000,102
Cruella,337404,False,200000000,530.352,233274812,134
"My Country, My Parents",869724,False,0,5.293,0,156
Jungle Cruise,451048,False,200000000,428.089,220889446,127
Raging Fire,513692,False,0,10.51,205000000,128
The Conjuring: The Devil Made Me Do It,423108,False,39000000,379.584,201000000,111
Ghostbusters: Afterlife,425909,False,75000000,970.911,191000000,124
Chinese Doctors,848880,False,0,3.24,176619381,129
Cliff Walkers,639557,False,0,6.341,172919448,120
The Suicide Squad,436969,False,185000000,586.769,167417425,132
Space Jam: A New Legacy,379686,False,161900000,422.958,162892228,115
House of Gucci,644495,False,75000000,224.888,151758425,158
The Matrix Resurrections,624860,False,190000000,934.618,156497322,148
Peter Rabbit 2: The Runaway,522478,False,45000000,227.739,153000000,93
A Writer's Odyssey,611698,False,0,35.702,150000000,130
The Boss Baby 2: Family Business,459151,False,82000000,890.259,146745280,107
PAW Patrol: The Movie,675445,False,26000000,654.219,144327371,86
Tom & Jerry: The Movie,22582,False,35,22.287,0,84
Jujutsu Kaisen 0: The Movie,810693,False,0,558.207,144000000,105
Be Somebody,397517,False,0,18.305,0,88
Halloween Kills,610253,False,20000000,293.89,127000000,105
Raya and the Last Dragon,527774,False,100000000,354.682,130000000,107
Sister,2005,False,31000000,24.287,231605150,100
The King's Man,476669,False,100000000,1434.677,125928656,131
The Addams Family 2,639721,False,0,355.586,119815153,93
My Love,445126,False,0,12.266,0,86
Clifford the Big Red Dog,585245,False,64000000,759.936,67000000,97
Wrath of Man,637649,False,40000000,365.674,103966489,119
Detective Conan: The Scarlet Bullet,662638,False,0,14.735,0,110
Evangelion: 3.0+1.01 Thrice Upon a Time,283566,False,0,190.856,92246218,155
End Game,9727,False,5000000,11.142,0,93
Old,631843,False,18000000,347.318,90112510,108
Mortal Kombat,460465,False,20000000,601.374,83601013,110
Boonie Bears: The Wild Life,796039,False,0,7.1,0,99
Candyman,565028,False,25000000,103.595,77389310,91
The Forever Purge,602223,False,18000000,256.525,76994245,103
1921,757587,False,0,5.047,0,138
West Side Story,511809,False,100000000,358.932,74530532,157
Hitman's Wife's Bodyguard,522931,False,70000000,88.762,70060492,117
Belle,205601,False,10900000,14.466,16505460,105
Ron's Gone Wrong,482321,False,0,643.343,60000000,107
Cloudy Mountain,862855,False,0,2.899,58232750,114
Avatar 2021 Re-release,,,,,,
Nezha Reborn,663558,False,0,127.573,0,116
Nobody,615457,False,17000000,207.189,61779301,92
Upcoming,700194,False,90000,0.6,250000,120
Man in Love,258313,False,0,6.716,0,122
Break Through the Darkness,821699,False,0,3.244,0,112
Escape Room: Tournament of Champions,585216,False,15000000,182.746,44888959,88
Schemes in Antiques,820099,False,0,2.06,0,123
Luca,508943,False,200000000,563.625,49010641,95
Don't Breathe 2,482373,False,10000000,334.969,45000000,98
My Hero Academia: World Heroes' Mission,768744,False,0,1349.082,38410729,105
The French Dispatch,542178,False,25000000,75.685,46000000,108
Love Will Tear Us Apart,252524,False,0,0.6,0,86
In the Heights,467909,False,55000000,26.33,43000000,143
Belfast,777270,False,0,32.3,30000000,98
Spirit Untamed,637693,False,30000000,219.172,17635215,88
Spiral,602734,False,20000000,166.901,40618920,93
Snake Eyes,568620,False,88000000,347.72,36964325,121
Tokyo Revengers,698201,False,0,32.485,0,120
Nomadland,581734,False,5000000,30.204,14784114,108
