movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Frozen,109445,False,150000000,149.603,1274219009,102
Iron Man 3,68721,False,200000000,144.622,1214811252,130
Despicable Me 2,93456,False,76000000,108.782,970761885,98
The Hobbit: The Desolation of Smaug,57158,False,250000000,127.863,958400000,161
The Hunger Games: Catching Fire,101299,False,130000000,72.555,847423452,146
Fast & Furious 6,82992,False,160000000,16.0,788680968,131
Monsters University,62211,False,200000000,101.914,743559607,104
Gravity,49047,False,105000000,29.955,723192705,91
Man of Steel,49521,False,225000000,124.922,754045518,143
Thor: The Dark World,76338,False,170000000,131.894,644571402,112
The Croods,49519,False,135000000,117.269,587204668,98
World War Z,72190,False,200000000,157.06,531865000,116
Oz the Great and Powerful,68728,False,200000000,45.799,491868548,130
Star Trek Into Darkness,54138,False,190000000,60.969,467365246,132
The Wolverine,76170,False,120000000,20.454,415440673,126
Pacific Rim,68726,False,180000000,193.287,407602906,131
The Wolf of Wall Street,106646,False,100000000,283.427,392000000,180
G.I. Joe: Retaliation,72559,False,130000000,49.006,371876278,110
The Hangover Part III,109439,False,103000000,118.774,362000072,100
The Great Gatsby,64682,False,105000000,35.049,351040419,143
Now You See Me,75656,False,75000000,99.295,351723989,116
The Smurfs 2,77931,False,105000000,57.449,347434178,105
The Conjuring,138843,False,13000000,217.954,319494638,112
A Good Day to Die Hard,47964,False,92000000,74.735,304654182,98
Oblivion,75612,False,120000000,35.067,286168572,124
Elysium,68724,False,115000000,62.444,286140700,109
Turbo,77950,False,135000000,34.551,282570682,96
Cloudy with a Chance of Meatballs 2,109451,False,78000000,56.864,248384621,95
Epic,116711,False,100000000,55.506,268426634,102
The Lone Ranger,57201,False,215000000,69.822,260502115,149
American Hustle,168672,False,40000000,30.438,251171807,138
Grown Ups 2,109418,False,80000000,146.533,247022278,101
After Earth,82700,False,130000000,73.843,243843127,100
Planes,151960,False,50000000,37.473,219788712,91
Hansel & Gretel: Witch Hunters,60304,False,50000000,115.003,226349749,88
Captain Phillips,109424,False,55000000,17.057,218791811,134
Journey to the West,589022,False,0,0.6,0,90
White House Down,117251,False,150000000,94.389,205366737,131
Percy Jackson: Sea of Monsters,76285,False,90000000,63.394,199850315,106
Jack the Giant Slayer,81005,False,195000000,65.264,197687603,114
The Secret Life of Walter Mitty,116745,False,90000000,42.66,188133322,114
12 Years a Slave,76203,False,20000000,36.994,187000000,134
Lee Daniels' The Butler,132363,False,25000000,18.271,115922175,132
Identity Thief,109431,False,35000000,42.095,173965010,111
Anchorman 2: The Legend Continues,109443,False,50000000,26.019,173649015,119
Olympus Has Fallen,117263,False,70000000,78.812,161025640,120
Insidious: Chapter 2,91586,False,5000000,75.24,161000000,106
Lone Survivor,193756,False,40000000,33.996,149295601,121
Jackass Presents: Bad Grandpa,208134,False,15000000,54.686,151831537,92
47 Ronin,64686,False,175000000,23.151,150962475,119
RED 2,146216,False,84000000,62.14,148100000,116
Mama,132232,False,15000000,62.22,146497771,100
Escape Plan,107846,False,50000000,37.704,122915111,115
2 Guns,136400,False,61000000,56.372,131940411,109
This Is the End,109414,False,32000000,48.067,126041322,107
Ender's Game,80274,False,110000000,51.684,125537191,114
Prisoners,146233,False,46000000,153.196,122126687,153
Jurassic Park 2013 Re-release,,,,,,
Saving Mr. Banks,140823,False,35000000,22.71,112544580,125
Warm Bodies,82654,False,35000000,38.397,116980662,97
Personal Tailor,243919,False,0,2.802,0,118
So Young,47568,False,0,2.458,0,91
Free Birds,175574,False,55000000,29.308,110000000,91
Gangster Squad,82682,False,60000000,19.039,105200903,113
Instructions Not Included,667706,False,0,1.351,0,0
Philomena,205220,False,12000000,14.031,100129872,98
Blue Jasmine,160588,False,18000000,25.975,99206215,99
Young Detective Dee: Rise of the Sea Dragon,217923,False,0,15.319,98774891,133
Riddick,87421,False,38000000,80.093,98337295,119
Safe Haven,112949,False,28000000,15.371,97594140,115
Evil Dead,109428,False,17000000,48.881,97542952,91
42,109410,False,40000000,34.512,95020213,128
The Mortal Instruments: City of Bones,123553,False,60000000,85.684,95396573,130
