movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Avengers: Endgame,299534,tt4154796,Robert Downey Jr.,38.361,Chris Evans,15.319,Mark Ruffalo,9.185,Chris Hemsworth,36.221,Scarlett Johansson,38.188
The Lion King,8587,tt0110357,Matthew Broderick,13.295,James Earl Jones,13.214,Jeremy Irons,15.988,Rowan Atkinson,15.925,Niketa Calame,2.894
Frozen II,330457,tt4520988,Kristen Bell,15.307,Idina Menzel,10.721,Josh Gad,11.913,Jonathan Groff,10.632,Sterling K. Brown,6.462
Spider-Man: Far from Home,429617,tt6320628,Tom Holland,128.32,Samuel L. Jackson,56.705,Jake Gyllenhaal,21.848,Marisa Tomei,23.257,Jon Favreau,13.562
Captain Marvel,299537,tt4154664,Brie Larson,23.442,Samuel L. Jackson,41.412,Ben Mendelsohn,22.944,Jude Law,24.842,Annette Bening,25.191
Joker,475557,tt7286456,Joaquin Phoenix,17.538,Robert De Niro,28.296,Zazie Beetz,17.431,Frances Conroy,13.472,Brett Cullen,13.826
Star Wars: Episode IX - The Rise of Skywalker,181812,tt2527338,Carrie Fisher,12.309,Mark Hamill,19.712,Daisy Ridley,22.014,Adam Driver,22.821,John Boyega,7.352
Toy Story 4,301528,tt1979376,Tom Hanks,38.219,Tim Allen,21.108,Annie Potts,14.156,Tony Hale,14.662,Keegan-Michael Key,7.168
Aladdin,420817,tt6139732,Will Smith,29.79,Mena Massoud,9.149,Naomi Scott,34.437,Marwan Kenzari,8.035,Navid Negahban,5.577
Jumanji: The Next Level,512200,tt7975244,Dwayne Johnson,32.997,Kevin Hart,13.481,Jack Black,27.531,Karen Gillan,51.962,Awkwafina,42.502
Fast & Furious Presents: Hobbs & Shaw,384018,tt6806448,Dwayne Johnson,32.997,Jason Statham,69.651,Idris Elba,24.749,Vanessa Kirby,24.867,Helen Mirren,23.338
Ne Zha,615453,tt10627720,Yanting Lü,3.092,Joseph,1.105,Mo Han,2.645,Chen Hao,0.98,Qi Lü,0.6
The Wandering Earth,535167,tt7605074,Qu Chuxiao,12.965,Li Guangjie,3.655,Zhao Jinmai,10.315,Wu Jing,27.563,Ng Man-tat,16.434
How to Train Your Dragon: The Hidden World,166428,tt2386490,Jay Baruchel,24.616,America Ferrera,14.79,F. Murray Abraham,43.819,Cate Blanchett,20.869,Gerard Butler,21.026
Maleficent: Mistress of Evil,420809,tt4777008,Angelina Jolie,13.484,Elle Fanning,19.65,Harris Dickinson,16.789,Michelle Pfeiffer,20.196,Sam Riley,8.794
It Chapter Two,474350,tt7349950,Bill Skarsgård,30.115,James McAvoy,30.715,Jessica Chastain,17.001,Bill Hader,16.702,Isaiah Mustafa,8.799
"My People, My Country",612845,tt10147382,Ge You,3.421,Huang Bo,13.595,Zhang Yi,14.343,Simon Yam,12.039,Song Jia,12.859
Pokémon Detective Pikachu,447404,tt5884052,Justice Smith,14.942,Ryan Reynolds,40.796,Kathryn Newton,15.268,Bill Nighy,22.155,Ken Watanabe,19.69
The Secret Life of Pets 2,412117,tt5113040,Patton Oswalt,15.44,Kevin Hart,14.271,Eric Stonestreet,6.607,Jenny Slate,19.87,Tiffany Haddish,8.655
The Captain,211785,tt2508572,Taika Waititi,23.617,Nash Edgerton,3.063,David Michôd,2.661,Joel Edgerton,13.173,Andy Bate,0.6
Alita: Battle Angel,399579,tt0437086,Rosa Salazar,31.918,Christoph Waltz,17.447,Jennifer Connelly,73.578,Mahershala Ali,16.961,Ed Skrein,19.131
Godzilla: King of the Monsters,373571,tt3741700,Kyle Chandler,14.533,Vera Farmiga,28.396,Millie Bobby Brown,16.633,Ken Watanabe,19.69,Zhang Ziyi,14.867
1917,530915,tt8579674,George MacKay,17.702,Dean-Charles Chapman,15.431,Mark Strong,32.173,Andrew Scott,23.724,Richard Madden,29.205
Once Upon a Time... In Hollywood,466272,tt7131622,Leonardo DiCaprio,24.953,Brad Pitt,26.942,Margot Robbie,29.861,Emile Hirsch,21.719,Margaret Qualley,12.866
Shazam!,287947,tt0448115,Zachary Levi,21.383,Asher Angel,11.792,Mark Strong,25.911,Jack Dylan Grazer,12.228,Adam Brody,12.543
Dumbo,11360,tt0033563,Sterling Holloway,4.586,Herman Bing,1.165,John McLeish,1.848,Edward Brophy,3.051,James Baskett,1.955
Crazy Alien,574037,tt6660238,Huang Bo,13.595,Shen Teng,10.846,Matthew Morrison,7.463,Tom Pelphrey,14.99,Daniel Hugh Kelly,1.577
John Wick: Chapter 3 - Parabellum,458156,tt6146586,Keanu Reeves,58.599,Halle Berry,22.434,Laurence Fishburne,29.959,Mark Dacascos,23.7,Asia Kate Dillon,15.668
Knives Out,546554,tt8946378,Daniel Craig,18.56,Chris Evans,15.319,Ana de Armas,106.62,Jamie Lee Curtis,15.757,Michael Shannon,24.951
Terminator: Dark Fate,290859,tt6450804,Linda Hamilton,12.09,Arnold Schwarzenegger,30.027,Mackenzie Davis,26.204,Natalia Reyes,5.754,Gabriel Luna,7.356
Parasite,48311,tt0084472,Robert Glaudini,0.624,Demi Moore,10.693,Luca Bercovici,4.355,James Davidson,1.205,Al Fann,4.163
Pegasus,15906,tt0480345,Kelly Sheridan,7.845,Kathleen Barr,13.721,Lalainia Lindbjerg,0.98,Colin Murdock,4.316,Mark Hildreth,3.167
Us,458723,tt6857112,Lupita Nyong'o,14.456,Winston Duke,6.996,Shahadi Wright Joseph,2.625,Evan Alex,3.331,Tim Heidecker,8.148
Men in Black: International,479455,tt2283336,Chris Hemsworth,36.221,Tessa Thompson,9.288,Rebecca Ferguson,48.521,Kumail Nanjiani,12.183,Rafe Spall,11.42
X-Men: Dark Phoenix,320288,tt6565702,Sophie Turner,17.375,James McAvoy,27.215,Nicholas Hoult,28.892,Tye Sheridan,15.242,Michael Fassbender,20.902
