movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Krampus,287903,False,15000000,22.762,61788393,98
The Perfect Guy,304372,False,12000000,10.348,60273173,100
Forever Young,10326,False,0,13.856,127956187,102
Miss Granny,516671,False,0,2.552,0,120
The Gift,2046,False,10000000,14.853,12008642,111
You Are My Sunshine,583135,False,0,0.671,0,0
No Escape,192141,False,5000000,51.398,54418872,103
Sinister 2,283445,False,10000000,28.529,53329150,97
Detective Conan: Sunflowers of Inferno,316873,False,0,24.143,43000000,112
Prem Ratan Dhan Payo,362136,False,23400000,5.24,67000000,164
The Boy Next Door,241251,False,4000000,20.098,52425855,91
The Night Before,296100,False,25000000,23.328,52395996,101
Hollywood Adventures,343059,False,0,3.532,0,114
"Yo-kai Watch Movie: It's the Secret of Birth, Meow!",358651,False,0,12.145,0,97
Hot Pursuit,268920,False,35000000,17.113,51680201,87
The Himalayas,186079,False,0,3.15,0,80
The Boy and the Beast,315465,False,0,73.958,49714378,119
Surprise,882206,False,0,191.336,0,47
Entourage,188222,False,30000000,19.307,49263404,104
The Woman in Black 2: Angel of Death,288158,False,15000000,34.442,48854305,98
Concussion,321741,False,35000000,28.806,50363790,123
Inside Men,293413,False,0,8.213,62000000,130
The Dead End,498806,False,0,0.6,0,86
Boonie Bears Winter,335832,False,0,11.897,47581416,91
Mortdecai,210860,False,60000000,25.697,30418560,106
Let's Get Married,248944,False,0,2.033,0,68
Somewhere Only We Know,547261,False,0,0.631,0,94
"McFarland, USA",228203,False,0,13.627,45710059,128
Hero,177572,False,165000000,259.761,657827828,102
Still Alice,284293,False,5000000,14.937,43884652,101
Max,76341,False,150000000,183.051,378858340,121
The DUFF,272693,False,8500000,40.7,43528634,100
Legend,276907,False,25000000,98.209,42972994,132
The Gallows,299245,False,100000,23.118,42664410,87
Love the Coopers,333348,False,17000000,11.652,42426912,107
The Throne,655173,False,0,0.6,0,0
The Lady in the Van,328589,False,6000000,13.013,41387687,104
Ricki and the Flash,275601,False,18000000,21.515,41325328,100
Spanish Affair 2,348537,False,4500000,10.161,38482411,106
Carol,17979,False,200000000,47.646,325286646,94
Northern Limit Line,343843,False,0,5.87,0,130
Ex-Files 2: The Backup Strikes Back,366686,False,0,1.564,0,114
Criminal,302156,False,31500000,68.763,14708696,113
Boruto: Naruto The Movie,347201,False,0,278.539,40200000,95
The Lazarus Effect,243940,False,3300000,21.512,64110728,83
