movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Star Wars: Episode VIII - The Last Jedi,181808,False,200000000,81.64,1332698830,152
Beauty and the Beast,10020,False,25000000,113.47,424967620,84
The Fate of the Furious,337339,False,250000000,185.15,1238764765,136
Despicable Me 3,324852,False,80000000,94.326,1031552585,96
Jumanji: Welcome to the Jungle,353486,False,90000000,81.408,962102237,119
Spider-Man: Homecoming,315635,False,175000000,247.315,880166924,133
Wolf Warrior 2,452557,False,29700000,21.519,870322670,124
Guardians of the Galaxy Vol. 2,283995,False,200000000,120.23,863756051,137
Thor: Ragnarok,284053,False,180000000,187.087,853977126,131
Wonder Woman,464052,False,200000000,266.245,165160005,151
Coco,354912,False,175000000,265.404,800526015,105
Pirates of the Caribbean: Dead Men Tell No Tales,166426,False,230000000,164.248,794861794,129
It,346364,False,35000000,106.441,701842551,135
Justice League,791373,False,70000000,458.051,657000000,242
Logan,263115,False,97000000,100.947,619021436,137
Transformers: The Last Knight,335988,False,217000000,107.77,605425157,155
Kong: Skull Island,293167,False,185000000,92.322,566652812,118
The Boss Baby,459151,False,82000000,890.259,146745280,107
Dunkirk,374720,False,100000000,40.216,527000000,107
War for the Planet of the Apes,281338,False,150000000,74.686,488533726,140
The Greatest Showman,316029,False,84000000,45.269,432844677,105
Kingsman: The Golden Circle,343668,False,104000000,106.694,410902662,141
The Mummy,564,False,80000000,64.856,415885488,124
Cars 3,260514,False,175000000,154.299,383925276,102
Fifty Shades Darker,341174,False,55000000,123.022,378827494,118
Murder on the Orient Express,392044,False,55000000,50.288,352794081,114
xXx: Return of Xander Cage,47971,False,85000000,94.645,346147658,107
Never Say Die,314998,False,0,3.352,0,103
The Lego Batman Movie,324849,False,80000000,95.763,311950384,104
The Ex-File 3: The Return of The Exes,494900,False,0,1.905,0,120
Annabelle: Creation,396422,False,15000000,98.948,306515884,109
Wonder,464052,False,200000000,266.245,165160005,151
Ferdinand,364689,False,111000000,88.372,295038508,108
Split,381288,False,9000000,88.908,278454358,117
Blade Runner 2049,335984,False,150000000,79.482,259239658,164
Kung Fu Yoga,383785,False,65000000,36.343,254212245,107
Get Out,419430,False,4500000,53.234,255407969,104
Baahubali 2: The Conclusion,350312,False,31000000,41.732,275947313,168
Journey to the West: The Demons Strike Back,435800,False,63300000,13.96,731607,109
Alien: Covenant,126889,False,97000000,119.819,232380243,122
Paddington 2,346648,False,40000000,35.421,227300000,104
Youth,310593,False,13360000,13.267,2000000,125
Baby Driver,339403,False,34000000,148.021,226945087,113
Valerian and the City of a Thousand Planets,339964,False,177200000,55.67,225874228,136
Geostorm,274855,False,120000000,65.445,221600160,109
The Emoji Movie,378236,False,50000000,62.2,216909830,86
A Dog's Purpose,381289,False,22000000,93.827,205035819,100
Smurfs: The Lost Village,137116,False,60000000,67.323,197183546,89
The Shape of Water,399055,False,19500000,43.544,194989655,123
Pitch Perfect 3,353616,False,45000000,35.318,184724494,93
Daddy's Home 2,419680,False,69000000,35.2,180613180,100
The Post,446354,False,50000000,18.676,179769467,116
Baywatch,339846,False,69000000,88.021,177856751,116
The Hitman's Bodyguard,390043,False,30000000,99.897,176586701,118
John Wick: Chapter 2,324552,False,40000000,123.54,171539887,122
Ghost in the Shell,9323,False,3000000,36.822,515905,83
"Three Billboards Outside Ebbing, Missouri",359940,False,15000000,19.972,160192031,115
Duckweed,438081,False,0,5.677,0,102
