movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Captain America: Civil War,271110,False,250000000,181.22,1153296293,147
Rogue One: A Star Wars Story,330459,False,200000000,56.345,1056057273,133
Finding Dory,127380,False,200000000,65.191,1028570889,97
Zootopia,269149,False,150000000,110.951,1023784195,109
The Jungle Book,9325,False,4000000,100.833,205843612,78
The Secret Life of Pets,412117,False,80000000,77.52,155152550,86
Batman v Superman: Dawn of Justice,209112,False,250000000,155.102,873634919,152
Fantastic Beasts and Where to Find Them,259316,False,180000000,735.231,809342332,132
Deadpool,293660,False,58000000,253.047,783100000,108
Suicide Squad,436969,False,185000000,586.769,167417425,132
Doctor Strange,284052,False,165000000,387.564,677700000,115
Moana,277834,False,150000000,43.125,690860472,107
Sing,438695,False,85000000,1304.681,387000000,110
The Mermaid,10144,False,40000000,164.891,211343479,83
X-Men: Apocalypse,246655,False,178000000,122.323,543934787,144
Kung Fu Panda 3,140300,False,145000000,109.043,521170825,95
La La Land,313369,False,30000000,37.972,448900000,129
Warcraft,68735,False,160000000,84.215,433677183,123
Jason Bourne,324668,False,120000000,39.156,415484914,123
Ice Age 5: Collision Course,278154,False,105000000,163.593,408579038,95
Independence Day: Resurgence,47933,False,165000000,71.559,389681935,120
Your Name.,553301,False,0,124.235,0,0
The Legend of Tarzan,258489,False,180000000,57.927,356743061,109
The Angry Birds Movie,153518,False,73000000,63.368,349779543,97
Trolls,136799,False,125000000,69.056,346864462,92
Star Trek Beyond,188927,False,185000000,49.959,343471816,122
The Great Wall,311324,False,150000000,91.712,331957105,103
Now You See Me 2,291805,False,90000000,70.339,334901337,129
The Conjuring 2,259693,False,40000000,178.489,320392818,134
Resident Evil: The Final Chapter,173897,False,40000000,3.39,312242626,107
Dangal,936232,False,0,1.371,0,112
Passengers,274870,False,110000000,45.545,303144152,116
Alice Through the Looking Glass,241259,False,170000000,62.101,299457024,113
Miss Peregrine's Home for Peculiar Children,283366,False,110000000,93.64,296482446,127
Teenage Mutant Ninja Turtles: Out of the Shadows,308531,False,135000000,64.218,245623848,112
Sully,363676,False,60000000,39.568,240797623,96
Assassin's Creed,121856,False,125000000,63.873,240697856,115
Hidden Figures,381284,False,25000000,136.081,230698791,127
Ghostbusters,425909,False,75000000,970.911,191000000,124
Inferno,207932,False,75000000,38.817,220021259,121
Central Intelligence,302699,False,50000000,64.517,216972543,107
Bridget Jones's Baby,95610,False,35000000,24.473,211952420,123
Me Before You,296096,False,20000000,144.59,207945075,110
London Has Fallen,267860,False,60000000,64.179,205754447,99
Arrival,329865,False,47000000,71.291,203388186,116
The BFG,267935,False,140000000,49.229,195243411,117
The Monkey King 2,381902,False,68490000,19.42,193677158,120
Bad Moms,376659,False,20000000,23.108,183936074,100
Storks,332210,False,70000000,45.525,182379278,87
From Vegas to Macau III,381002,False,0,9.561,0,112
Hacksaw Ridge,324786,False,40000000,381.51,175302354,139
Allegiant,262504,False,110000000,61.538,179246868,120
Operation Mekong,415214,False,30200000,44.368,173000000,124
The Girl on the Train,346685,False,45000000,40.453,173185859,112
The Huntsman: Winter's War,290595,False,115000000,46.709,164989338,114
The Magnificent Seven,333484,False,90000000,70.698,162360636,132
Jack Reacher: Never Go Back,343611,False,60000000,170.948,162146076,118
Don't Breathe,482373,False,10000000,334.969,45000000,98
The Accountant,302946,False,44000000,51.651,155160045,128
Lights Out,345911,False,4900000,49.123,148868835,81
Time Raiders,411442,False,0,5.909,0,123
Pete's Dragon,294272,False,65000000,29.924,143695338,103
Sausage Party,223702,False,19000000,58.132,140705322,89
Lion,8587,False,45000000,212.965,763455561,89
Skiptrace,270774,False,32000000,38.97,58500000,107
Mechanic: Resurrection,278924,False,40000000,73.389,125729635,98
Deepwater Horizon,296524,False,110000000,37.511,121790373,107
Allied,369885,False,85000000,26.231,119520023,124
I Belonged to You,415636,False,0,2.888,0,113
The Shallows,332567,False,17000000,31.378,119100758,86
The Purge: Election Year,316727,False,10000000,95.602,118587880,105
Why Him?,356305,False,38000000,42.354,118102725,111
Book of Love,892835,False,0,113.162,0,106
Office Christmas Party,384682,False,45000000,18.044,114501299,105
How to Be Single,259694,False,38000000,35.243,112343513,110
10 Cloverfield Lane,333371,False,15000000,31.244,108286421,104
Neighbors 2: Sorority Rising,325133,False,35000000,42.539,108758521,92
Cold War 2,416249,False,0,12.893,103197501,110
Railroad Tigers,377447,False,50000000,14.595,102205175,124
Qing sheng,643786,False,0,2.025,0,83
Dirty Grandpa,291870,False,11500000,70.628,94073028,102
Ben-Hur,665,False,15000000,239.576,164000000,222
Money Monster,303858,False,27000000,18.442,93282604,98
Train to Busan,396535,False,8500000,139.898,87547518,118
My Big Fat Greek Wedding 2,302688,False,18000000,16.036,90632641,94
Collateral Beauty,345920,False,36000000,42.244,88528280,97
Line Walker,411268,False,0,9.448,88658655,108
Sultan,44446,False,0,8.827,0,105
War Dogs,308266,False,40000000,51.163,86234523,114
Big Fish & Begonia,271706,False,4531653,52.444,84552250,101
Nerve,328387,False,19000000,39.671,85241496,96
Leap!,25195,False,19000000,52.553,32686500,100
Ouija: Origin of Evil,335796,False,9000000,44.77,81705746,99
Underworld: Blood Wars,346672,False,35000000,84.461,81093313,91
Manchester by the Sea,334541,False,9000000,24.219,78988148,138
The Boss,459151,False,82000000,890.259,146745280,107
Shin Godzilla,315011,False,15000000,23.369,77947607,120
Mike and Dave Need Wedding Dates,316023,False,33000000,41.469,77068246,98
Kubo and the Two Strings,313297,False,60000000,98.056,76249438,102
Quo vado?,374416,False,11089000,8.662,75173000,86
Boo! A Madea Halloween,380124,False,20000000,17.263,74827344,103
Miracles from Heaven,339984,False,16000000,143.155,73983359,119
I Am Not Madame Bovary,400114,False,0,4.694,0,128
See You Tomorrow,418926,False,0,0.846,0,14
One Piece Film: Gold,374205,False,0,115.456,66207073,120
Moonlight,376867,False,4000000,24.231,65046687,111
Monster Trucks,262841,False,125000000,45.833,64493915,104
Fences,393457,False,24000000,46.523,64414761,139
"Hail, Caesar!",270487,False,22000000,19.085,63647656,106
The Nice Guys,290250,False,50000000,24.027,62788218,116
Huo guo ying xiong,,,,,,
L.O.R.D: Legend of Ravaging Dynasties,369552,False,0,26.972,0,113
Nine Lives,322240,False,30000000,23.845,57814445,87
Zoolander 2,329833,False,50000000,21.245,55969000,100
Barbershop: The Next Cut,326423,False,20000000,26.372,55030051,112
The Age of Shadows,363579,False,9620000,12.301,53165427,140
A Chinese Odyssey: Part Three,389201,False,0,7.286,0,93
Tunnel,46221,False,135000,9.986,0,90
Patriots Day,388399,False,45000000,34.765,50548152,133
My Beloved Bodyguard,315669,False,0,7.899,0,99
The Finest Hours,300673,False,80000000,32.148,52099090,117
Master,680829,False,0,15.751,0,98
Doraemon the Movie: Nobita and the Birth of Japan,384345,False,0,13.617,0,103
The Wailing,293670,False,10951000,22.121,49851770,156
Two Is a Family,382591,False,0,27.473,1447740,118
Never Gone,780494,False,0,0.6,0,6
Luck-Key,421928,False,0,12.703,0,112
Florence Foster Jenkins,315664,False,29000000,13.392,48902953,110
Mother's Day,353069,False,25000000,16.688,48782670,118
"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release",,,,,,
A Monster Calls,258230,False,43000000,26.944,47309313,108
Risen,335778,False,20000000,139.874,46069568,107
Eddie the Eagle,319888,False,23000000,20.529,46152411,106
Blair Witch,351211,False,5000000,39.059,45172994,89
Boonie Bears: The Big Top Secret,401791,False,0,7.399,42176173,99
Café Society,339397,False,30000000,15.346,43763247,97
League of Gods,406429,False,38000000,28.631,43300000,130
Almost Christmas,340402,False,17000000,10.017,42487325,111
The Witch,310131,False,4000000,49.742,40423945,92
The Wild Life,38980,False,0,4.894,9500000,96
Love O2O,412190,False,0,7.146,0,105
The Forest,329440,False,10000000,37.316,37608299,95
Absolutely Fabulous: The Movie,372411,False,0,14.256,37915971,91
My Mom Is a Character 2,227932,False,2000000,5.414,37858128,96
Masterpiece Mystery: Sherlock: The Abominable Bride,,,,,,
"Crouching Tiger, Hidden Dragon: Sword of Destiny",263341,False,20000000,21.745,0,103
Hell or High Water,338766,False,12000000,23.637,37589296,102
Mission Milano,419544,False,0,1.407,0,103
The Handmaiden,290098,False,8575000,36.959,37767206,145
Snowden,302401,False,40000000,25.467,37357216,134
Nobunaga Concerto: The Movie,361358,False,0,4.522,0,126
Eye in the Sky,333352,False,13000000,13.73,18704595,102
Les Tuche 2: The American Dream,,,,,,
Os Dez Mandamentos - O Filme,372519,False,39307171,259.318,37070177,120
Bounty Hunters,111445,False,0,4.67,0,98
Ae Dil Hai Mushkil,393445,False,0,7.101,0,158
Assassination Classroom: The Graduation,359628,False,0,23.021,0,116
Perfect Strangers,41258,False,0,3.27,0,96
Billy Lynn's Long Halftime Walk,293767,False,40000000,18.195,30930984,113
Pandora,905,False,0,9.684,0,109
Norm of the North,276905,False,7000000,16.053,17062499,86
When the Bough Breaks,335791,False,10000000,20.153,30658387,97
S Storm,52724,False,0,3.464,0,90
Nocturnal Animals,340666,False,22500000,58.511,29252978,117
A Silent Voice: The Movie,378064,False,0,179.544,30156463,130
Keeping Up with the Joneses,331313,False,40000000,24.473,29918745,105
Jackie,376866,False,9000000,21.915,13960394,100
Masterminds,213681,False,25000000,23.712,29200000,94
Flight Crew,380111,False,10000000,26.752,27305571,138
Viking,317960,False,0,88.07,0,88
M.S. Dhoni: The Untold Story,388333,False,0,7.841,0,190
Fan,940497,False,0,78.256,0,14
"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!",,,,,,
Welcome to Germany,198451,False,0,0.93,0,98
The Brothers Grimsby,267193,False,35000000,35.745,27979040,83
When Larry Meets Mary,,,,,,
Yesterday Once More,530908,False,0,0.6,0,55
The Light Between Oceans,283552,False,20000000,30.31,25975621,133
A Beautiful Planet,365997,False,0,6.707,24000000,45
Mr. Donkey,421742,False,0,2.989,356255,111
Born in China,355277,False,0,16.278,0,76
Race,51620,False,7000000,91.31,0,100
Call of Heroes,413198,False,32000000,20.853,0,120
Free State of Jones,316152,False,50000000,29.809,25035950,140
Whiskey Tango Foxtrot,279641,False,35000000,11.854,23083334,112
Soulmate,224243,False,0,3.491,0,104
The Snow Queen 3: Fire and Ice,362058,False,0,10.56,0,80
God's Not Dead 2,347126,False,5000000,110.841,23507567,121
Camping 3,375804,False,0,7.332,0,105
The Founder,310307,False,15000000,38.536,24121245,115
Bad Santa 2,338964,False,26000000,20.508,23229371,92
Spirits' Homecoming,384641,False,0,2.854,0,127
Silence,14001,False,20000000,72.408,22217407,89
Kevin Hart: What Now?,339927,False,9900000,9.099,23600000,96
No manches Frida,375794,False,0,108.828,12421716,100
Middle School: The Worst Years of My Life,369883,False,8500000,20.122,23316139,92
Triple 9,146198,False,20000000,29.453,12639297,115
Rock Dog,812204,False,0,130.164,0,90
The Choice,330483,False,10000000,18.805,18730891,111
Penny Pincher!,382511,False,0,12.4,0,89
