movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
The Avengers,24428,False,220000000,332.796,1518815515,143
Skyfall,37724,False,200000000,107.116,1108569499,143
The Dark Knight Rises,49026,False,250000000,178.797,1081041287,165
The Hobbit: An Unexpected Journey,49051,False,250000000,145.107,1021103568,169
Ice Age 4: Continental Drift,57800,False,95000000,154.834,877244782,88
The Twilight Saga: Breaking Dawn - Part 2,50620,False,120000000,142.613,829000000,115
The Amazing Spider-Man,1930,False,215000000,341.221,757930663,136
Madagascar 3: Europe's Most Wanted,80321,False,145000000,83.339,746921274,93
The Hunger Games,70160,False,75000000,79.875,691210692,142
Men in Black 3,41154,False,225000000,111.196,624026776,106
Life of Pi,87827,False,120000000,49.965,609016565,127
Ted,72105,False,50000000,117.754,549368315,107
Brave,62177,False,185000000,101.384,538983207,93
Wreck-It Ralph,82690,False,165000000,150.847,471222889,101
Les Misérables,82695,False,61000000,24.366,441809770,158
Django Unchained,68718,False,100000000,85.279,425368238,165
Prometheus,70981,False,130000000,147.862,403354469,124
Snow White and the Huntsman,58595,False,170000000,71.139,396600000,127
Taken 2,82675,False,45000000,116.512,376141306,91
Hotel Transylvania,585083,False,0,1579.103,0,87
Titanic 2012 3D Release,,,,,,
The Lorax,73723,False,70000000,48.849,348840316,86
Journey 2: The Mysterious Island,72545,False,79000000,189.7,355692760,94
The Expendables 2,76163,False,100000000,75.656,314975955,103
Rise of the Guardians,81188,False,145000000,69.913,306941670,97
Battleship,44833,False,209000000,53.982,303025485,131
Wrath of the Titans,57165,False,150000000,108.216,301970083,99
John Carter,49529,False,250000000,152.264,284139100,132
The Bourne Legacy,49040,False,130000000,51.637,276572938,135
Lincoln,72331,False,69000000,175.32,116471580,94
We're the Millers,138832,False,37000000,54.373,269994119,110
Dark Shadows,62213,False,150000000,64.657,245527149,113
Resident Evil: Retribution,71679,False,65000000,12.133,240159255,95
Silver Linings Playbook,82693,False,21000000,43.83,236412453,122
American Reunion,71552,False,50000000,86.952,234989584,113
Argo,68734,False,44500000,19.316,232325503,120
Jack Reacher,75780,False,60000000,176.205,218340595,130
Safe House,59961,False,85000000,17.938,208076205,115
21 Jump Street,64688,False,42000000,65.443,201585328,109
Total Recall,64635,False,125000000,77.043,198802074,121
The Impossible,80278,False,45000000,28.3,198087212,113
Lost in Thailand,151743,False,2200000,5.685,208000000,105
The Vow,72570,False,30000000,42.849,196114570,104
Mirror Mirror,62764,False,85000000,22.035,183018522,106
The Dictator,76493,False,65000000,32.514,179379533,83
Looper,59967,False,30000000,58.906,47042000,118
Chinese Zodiac,98567,False,48000000,52.582,171339013,109
Magic Mike,77930,False,7000000,37.235,167221571,110
Flight,87502,False,31000000,27.561,161772375,138
Underworld: Awakening,52520,False,70000000,108.513,160112671,88
This Means War,59962,False,65000000,18.845,156974557,103
Paranormal Activity 4,82990,False,5000000,35.742,142817992,97
Step Up Revolution,85446,False,33000000,36.954,140470746,99
The Best Exotic Marigold Hotel,74534,False,10000000,13.953,136836156,124
The Wind Rises,149870,False,30000000,54.012,117932401,126
Last Vegas,137093,False,28000000,29.691,134402450,105
Zero Dark Thirty,97630,False,40000000,18.942,132820716,157
Ghost Rider: Spirit of Vengeance,71676,False,57000000,114.355,132563930,96
Cloud Atlas,83542,False,102000000,30.744,130482868,172
The Woman in Black,65086,False,17000000,21.868,127730736,95
Chronicle,76726,False,15000000,81.259,145000000,84
Walking with Dinosaurs 3D,77951,False,80000000,49.528,126546518,87
The Pirates! Band of Misfits,72197,False,60000000,15.762,123054041,88
Parental Guidance,88042,False,25000000,19.996,119772232,104
Abraham Lincoln: Vampire Hunter,72331,False,69000000,175.32,116471580,94
Pitch Perfect,114150,False,17000000,37.956,115400000,112
Hope Springs,82696,False,30000000,28.392,114281051,100
ParaNorman,77174,False,60000000,54.684,107139399,90
The Campaign,77953,False,95000000,20.28,104907746,85
Star Wars: Episode I - The Phantom Menace 2012 3D Release,,,,,,
Project X,57214,False,12000000,286.614,102731865,88
The Devil Inside,76487,False,1000000,28.663,101758490,83
The Lucky One,77877,False,25000000,25.489,99357138,101
Contraband,77866,False,25000000,76.502,96262212,109
Think Like a Man,184098,False,24000000,30.195,70181428,105
Masquerade,835551,False,0,134.062,0,80
Brave Hearts: Umizaru,162006,False,0,5.025,0,116
This Is 40,89492,False,35000000,17.042,88058786,134
The Thieves,11238,False,0,45.704,0,81
The Possession,77883,False,14000000,27.53,85446075,92
What to Expect When You're Expecting,76494,False,40000000,13.13,79700000,110
Savages,82525,False,45000000,15.995,82966152,131
Sinister,82507,False,3000000,54.594,82515113,110
Act of Valor,75674,False,12000000,20.236,81272766,110
Frankenweenie,62214,False,39000000,52.046,81493846,87
The Grey,75174,False,25000000,113.738,77278331,117
Diary of a Wimpy Kid: Dog Days,82650,False,22000000,30.439,76196538,94
Thermae Romae,105210,False,0,7.077,0,108
One Piece Film Z,176983,False,0,114.412,0,108
To Rome with Love,81836,False,17000000,22.433,73244881,111
Here Comes the Boom,87826,False,0,24.028,73100172,105
Bayside Shakedown the Final,193402,False,0,2.053,0,126
The Cabin in the Woods,22970,False,30000000,78.795,71041255,95
Finding Nemo 2012 3D Release,,,,,,
Anna Karenina,96724,False,0,17.696,68929150,130
The Watch,80035,False,68000000,70.333,68267862,102
Moonrise Kingdom,83666,False,16000000,18.205,68263166,94
The Secret of the Gods,674213,False,0,0.6,0,78
Madea's Witness Protection,103370,False,20000000,14.699,66899242,114
Beauty and the Beast 2012 3D Release,,,,,,
Astérix and Obélix: God Save Britannia,99770,False,61000000,11.597,0,110
Evangelion: 3.0 You Can (Not) Redo,75629,False,0,33.262,60487945,96
Quartet,121826,False,11000000,9.092,59520298,98
Rock of Ages,80585,False,75000000,18.712,59418613,123
That's My Boy,87428,False,70000000,70.096,58058367,116
The Odd Life of Timothy Green,71864,False,25000000,15.054,56012642,105
Lawless,82633,False,26000000,56.111,53676580,115
End of Watch,77016,False,7000000,18.477,48126384,109
Wolf Children,110420,False,0,61.213,55060661,117
The Three Stooges,76489,False,30000000,75.812,54819301,92
The Five-Year Engagement,72207,False,30000000,22.402,54169363,124
Red Dawn,60747,False,65000000,61.226,44806783,93
Red Tails,72431,False,58000000,85.162,50365377,125
"Monsters, Inc. 2012 3D Release",,,,,,
HOUBA! On the Trail of the Marsupilami,102207,False,50000000,9.62,50100000,105
Tad: The Lost Explorer,121734,False,10500000,52.658,23000000,90
A Turtle's Tale 2: Sammy's Escape from Paradise,113594,False,0,15.033,0,92
Trouble with the Curve,87825,False,0,20.771,0,111
Man on a Ledge,49527,False,42000000,42.015,46221189,102
A Werewolf Boy,128246,False,0,54.226,0,122
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,160642,False,0,43.341,0,100
Gekijouban Tenpesuto 3D 2012 Re-release,,,,,,
Detective Conan: The Eleventh Striker,122583,False,0,13.075,0,110
House at the End of the Street,82505,False,6900000,15.84,44287131,101
The Guilt Trip,82687,False,40000000,12.586,41863726,95
Safe,72387,False,30000000,29.455,40346186,94
Dredd,49049,False,50000000,24.515,41037742,95
La vérité si je mens! 3,86868,False,25496629,6.124,40924982,120
Always: Sunset on Third Street '64,,,,,,
Chernobyl Diaries,93856,False,1000000,48.85,18112929,88
Killing Them Softly,64689,False,15000000,19.072,37930465,97
Rurouni Kenshin Part I: Origins,127533,False,0,44.75,61700000,134
The Tower,353491,False,60000000,33.075,113231078,95
Conquest 1453,89584,False,2581561,8.236,9001826,160
Good Deeds,62008,False,0,8.486,0,111
