movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Sister,2005,tt0105417,Whoopi Goldberg,8.711,Maggie Smith,17.595,Kathy Najimy,8.357,Wendy Makkena,6.803,Mary Wickes,6.415
The King's Man,476669,tt6856242,Ralph Fiennes,32.618,Harris Dickinson,16.789,Gemma Arterton,23.064,Rhys Ifans,55.189,Djimon Hounsou,35.554
The Addams Family 2,639721,tt11125620,Oscar Isaac,60.716,Charlize Theron,40.523,Javon Walton,7.591,Chloë Grace Moretz,56.69,Nick Kroll,14.161
My Love,445126,tt5864238,Adelaide Kane,8.678,Benjamin Hollingsworth,12.308,Jean Louisa Kelly,8.571,James Remar,16.906,Lamon Archey,0.996
Clifford the Big Red Dog,585245,tt2397461,Darby Camp,10.5,Jack Whitehall,14.041,Izaac Wang,5.476,John Cleese,13.501,Tony Hale,10.473
Wrath of Man,637649,tt11083552,Jason Statham,68.171,Holt McCallany,12.229,Scott Eastwood,19.778,Jeffrey Donovan,19.69,Josh Hartnett,19.025
Detective Conan: The Scarlet Bullet,662638,tt12093860,Minami Takayama,10.806,Kappei Yamaguchi,11.26,Wakana Yamazaki,3.604,Rikiya Koyama,7.883,Naoko Matsui,6.805
Evangelion: 3.0+1.01 Thrice Upon a Time,283566,tt2458948,Megumi Ogata,7.683,Yuko Miyamura,5.047,Megumi Hayashibara,7.296,Maaya Sakamoto,6.097,Kotono Mitsuishi,8.321
End Game,9727,tt0415778,Cuba Gooding Jr.,8.647,Angie Harmon,10.007,James Woods,18.024,Patrick Fabian,12.69,Peter Greene,14.069
Old,631843,tt10954652,Gael García Bernal,11.422,Vicky Krieps,12.779,Rufus Sewell,27.956,Alex Wolff,9.446,Thomasin McKenzie,30.893
Mortal Kombat,460465,tt0293429,Lewis Tan,9.425,Jessica McNamee,7.906,Josh Lawson,5.094,Joe Taslim,7.141,Mehcad Brooks,16.586
Boonie Bears: The Wild Life,796039,tt11654032,Chris Boike,1.094,Nikki Stinson,0.6,Tan Xiao,1.4,Bingjun Zhang,1.019,张伟,1.025
Candyman,565028,tt9347730,Yahya Abdul-Mateen II,11.716,Teyonah Parris,8.711,Colman Domingo,8.016,Nathan Stewart-Jarrett,5.632,Kyle Kaminsky,0.6
