movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Avengers: Endgame,299534,False,356000000,315.107,2797800564,181
The Lion King,8587,False,45000000,212.965,763455561,89
Frozen II,330457,False,150000000,186.43,1450026933,103
Spider-Man: Far from Home,429617,False,160000000,224.881,1131927996,129
Captain Marvel,299537,False,152000000,121.019,1128276090,124
Joker,475557,False,55000000,162.616,1074251311,122
Star Wars: Episode IX - The Rise of Skywalker,181812,False,250000000,84.629,1074144248,142
Toy Story 4,301528,False,175000000,167.538,1073394593,100
Aladdin,420817,False,183000000,113.138,1047612394,128
Jumanji: The Next Level,512200,False,125000000,126.243,800059707,123
Fast & Furious Presents: Hobbs & Shaw,384018,False,200000000,182.417,760098996,137
Ne Zha,615453,False,20000000,37.077,742500000,110
The Wandering Earth,535167,False,48000000,31.276,0,126
How to Train Your Dragon: The Hidden World,166428,False,129000000,101.642,517526875,104
Maleficent: Mistress of Evil,420809,False,185000000,140.522,491570967,119
It Chapter Two,474350,False,79000000,234.986,473122525,169
"My People, My Country",612845,False,0,5.801,0,154
Pokémon Detective Pikachu,447404,False,150000000,150.978,433005346,105
The Secret Life of Pets 2,412117,False,80000000,77.52,155152550,86
The Captain,211785,False,0,2.333,0,6
Alita: Battle Angel,399579,False,170000000,84.434,404852543,122
Godzilla: King of the Monsters,373571,False,170000000,121.713,386600138,132
1917,530915,False,100000000,60.589,374733942,119
Once Upon a Time... In Hollywood,466272,False,95000000,46.625,374251247,162
Shazam!,287947,False,80000000,102.377,365971656,132
Dumbo,11360,False,812000,94.467,1600000,64
Crazy Alien,574037,False,0,4.033,0,116
John Wick: Chapter 3 - Parabellum,458156,False,55000000,137.19,326709727,130
Knives Out,546554,False,40000000,46.304,309232797,131
Terminator: Dark Fate,290859,False,185000000,91.401,261119292,128
Parasite,48311,False,800000,8.749,7000000,85
Pegasus,15906,False,0,57.832,0,85
Us,458723,False,20000000,43.372,255105930,116
Men in Black: International,479455,False,110000000,61.432,252608480,115
X-Men: Dark Phoenix,320288,False,200000000,70.388,252442974,114
Glass,450465,False,20000000,65.998,246941965,129
The Bravest,422868,False,0,0.6,0,17
Annabelle Comes Home,521029,False,30000000,116.935,231252591,106
Better Days,638841,False,0,2.278,0,90
Ford v Ferrari,359724,False,97600000,64.821,225508210,153
Little Women,331482,False,40000000,56.76,216601214,135
The Addams Family,639721,False,0,355.586,119815153,93
Rocketman,504608,False,40000000,24.031,167323950,121
