movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Star Wars: Episode VII - The Force Awakens,140607,tt2488496,Harrison Ford,17.858,Mark Hamill,19.041,Carrie Fisher,9.03,Adam Driver,18.735,Daisy Ridley,20.045
Jurassic World,135397,tt0369610,Chris Pratt,27.826,Bryce Dallas Howard,24.741,Ty Simpkins,16.558,Nick Robinson,16.14,Vincent D'Onofrio,25.932
Furious 7,168259,tt2820852,Vin Diesel,29.696,Paul Walker,20.93,Dwayne Johnson,29.99,Michelle Rodriguez,23.481,Tyrese Gibson,8.218
Avengers: Age of Ultron,99861,tt2395427,Robert Downey Jr.,38.361,Chris Hemsworth,36.221,Mark Ruffalo,9.185,Chris Evans,15.319,Scarlett Johansson,38.188
Minions,211672,tt2293640,Sandra Bullock,32.612,Jon Hamm,16.214,Michael Keaton,17.975,Allison Janney,8.247,Steve Coogan,8.401
Spectre,206647,tt2379713,Daniel Craig,18.56,Christoph Waltz,18.156,Léa Seydoux,24.524,Ralph Fiennes,32.618,Naomie Harris,15.392
Inside Out,150540,tt2096673,Amy Poehler,8.768,Phyllis Smith,11.695,Bill Hader,16.702,Kaitlyn Dias,5.892,Richard Kind,11.545
Mission: Impossible - Rogue Nation,177677,tt2381249,Tom Cruise,34.075,Jeremy Renner,47.118,Simon Pegg,15.527,Rebecca Ferguson,48.521,Ving Rhames,12.542
The Hunger Games: Mockingjay - Part 2,131634,tt1951266,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855
The Martian,286217,tt3659388,Matt Damon,23.323,Jessica Chastain,17.001,Kristen Wiig,16.468,Jeff Daniels,12.197,Michael Peña,22.593
Fifty Shades of Grey,216015,tt2322441,Dakota Johnson,13.949,Jamie Dornan,12.431,Jennifer Ehle,16.44,Eloise Mumford,12.652,Victor Rasuk,7.266
Cinderella,11224,tt0042332,Ilene Woods,5.431,Eleanor Audley,5.452,Verna Felton,4.662,Claire Du Brey,2.285,Rhoda Williams,3.937
The Revenant,281957,tt1663202,Leonardo DiCaprio,24.953,Tom Hardy,59.898,Domhnall Gleeson,17.251,Will Poulter,28.358,Forrest Goodluck,6.45
Ant-Man,102899,tt0478970,Paul Rudd,34.179,Michael Douglas,9.193,Evangeline Lilly,22.94,Bobby Cannavale,12.744,Corey Stoll,14.996
Hotel Transylvania 2,159824,tt2510894,Adam Sandler,14.625,Andy Samberg,40.034,Selena Gomez,16.258,Kevin James,18.227,Steve Buscemi,24.572
San Andreas,254128,tt2126355,Dwayne Johnson,29.99,Alexandra Daddario,42.013,Carla Gugino,32.469,Ioan Gruffudd,18.035,Archie Panjabi,12.746
Terminator Genisys,87101,tt1340138,Arnold Schwarzenegger,30.027,Jason Clarke,23.125,Emilia Clarke,17.338,Jai Courtney,10.934,J.K. Simmons,17.78
Kingsman: The Secret Service,207703,tt2802144,Taron Egerton,16.392,Colin Firth,13.147,Mark Strong,25.911,Samuel L. Jackson,56.705,Sophie Cookson,17.032
Monster Hunt,458576,tt6475714,Milla Jovovich,16.232,Tony Jaa,13.728,Ron Perlman,19.305,T.I.,6.628,Diego Boneta,11.424
Home,634649,tt10872600,Tom Holland,128.32,Zendaya,47.236,Benedict Cumberbatch,39.658,Jacob Batalon,23.293,Jon Favreau,13.562
Mad Max: Fury Road,76341,tt1392190,Tom Hardy,59.898,Charlize Theron,40.523,Nicholas Hoult,25.64,Hugh Keays-Byrne,4.0,Josh Helman,11.785
The Good Dinosaur,105864,tt1979388,Frances McDormand,16.265,Raymond Ochoa,3.328,Jeffrey Wright,26.649,Steve Zahn,28.971,Sam Elliott,17.503
Taken 3,260346,tt2446042,Liam Neeson,33.989,Forest Whitaker,11.654,Famke Janssen,25.542,Maggie Grace,22.642,Dougray Scott,12.676
The SpongeBob Movie: Sponge Out of Water,228165,tt2279373,Tom Kenny,9.65,Bill Fagerbakke,10.333,Rodger Bumpass,8.167,Clancy Brown,29.504,Carolyn Lawrence,6.689
Maze Runner: The Scorch Trials,294254,tt4046784,Dylan O'Brien,14.5,Ki Hong Lee,14.637,Kaya Scodelario,44.822,Thomas Brodie-Sangster,21.827,Dexter Darden,3.252
The Divergent Series: Insurgent,262500,tt2908446,Shailene Woodley,25.831,Theo James,20.465,Octavia Spencer,10.21,Jai Courtney,10.934,Ray Stevenson,6.964
Pitch Perfect 2,254470,tt2848292,Anna Kendrick,18.19,Brittany Snow,19.663,Rebel Wilson,10.1,Hailee Steinfeld,55.775,Skylar Astin,9.985
Mojin: The Lost Legend,299824,tt4276752,Chen Kun,8.38,Huang Bo,13.595,Shu Qi,15.112,AngelaBaby,14.419,Xia Yu,3.416
Lost in Hong Kong,361613,tt4242158,Xu Zheng,4.063,Zhao Wei,7.423,Bao Bei Er,7.902,Du Juan,2.266,Eric Kot Man-Fai,3.514
The Peanuts Movie,227973,tt2452042,Noah Schnapp,12.615,Bill Melendez,2.499,Marleik 'Mar Mar' Walker,0.996,Alex Garfin,6.028,Hadley Belle Miller,1.4
Pixels,257344,tt2120120,Adam Sandler,14.625,Kevin James,18.227,Michelle Monaghan,23.375,Peter Dinklage,14.994,Josh Gad,11.913
Daddy's Home,274167,tt1528854,Will Ferrell,13.839,Mark Wahlberg,49.465,Linda Cardellini,17.794,Thomas Haden Church,11.267,Scarlett Estevez,17.808
Spy,238713,tt3079380,Melissa McCarthy,16.592,Jason Statham,69.651,Rose Byrne,23.36,Jude Law,24.842,Miranda Hart,6.801
Alvin and the Chipmunks: The Road Chip,258509,tt2974918,Jason Lee,14.74,Justin Long,18.509,Bella Thorne,13.724,Matthew Gray Gubler,14.777,Jesse McCartney,9.311
Goodbye Mr. Loser,362682,tt5061814,Allen Ai Lun,5.557,Ma Li,1.565,Shen Teng,10.846,Yin Zheng,6.387,Chang Yuan,1.849
Ted 2,214756,tt2637276,Mark Wahlberg,49.465,Seth MacFarlane,9.493,Amanda Seyfried,37.184,Morgan Freeman,23.816,Jessica Barth,11.396
Tomorrowland,158852,tt1964418,George Clooney,20.782,Hugh Laurie,13.418,Britt Robertson,23.536,Raffey Cassidy,17.097,Tim McGraw,11.318
