movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Downhill,404713,False,0,12.445,0,82
Les blagues de Toto,671047,False,6438600,3.927,8859185,84
The Secret Garden,521034,False,0,20.846,889816,99
Eltilerin Savasi,664593,False,0,2.932,8613864,118
Malang,624073,False,0,0.624,0,
Two by Two: Overboard!,587562,False,0,15.193,0,85
100% Wolf,520946,False,0,137.427,4608579,96
Your Eyes Tell,730154,False,0,11.768,0,123
AI Amok,619083,False,0,4.21,0,131
The Lost Prince,520725,False,0,54.286,0,101
Antoinette dans les Cévennes,669664,False,0,10.938,0,97
Antebellum,627290,False,15000000,56.708,7060384,105
The Marriage Escape,591915,False,0,3.013,0,103
Spirited Away Studio Ghibli Fest 2020,,,,,,
Smack Dab Kakha,,,,,,
Princess Mononoke Studio Ghibli Fest 2020,,,,,,
The Heist of the Century,609242,False,0,49.871,0,114
De Gaulle,661804,False,0,8.29,7142214,108
Fukushima 50,563067,False,0,10.265,0,122
"Turu, the Wacky Hen",653247,False,0,16.614,0,80
The Best Years,887,False,2100000,12.522,23650000,171
Mamma Mia! Here We Go Again 2020 Re-release,,,,,,
The (UN)perfect Guy,,,,,,
Bohemian Rhapsody 2020 Re-release,,,,,,
Back to the Wharf,748687,False,0,1.501,0,118
Adu,588009,False,0,18.451,0,119
Fatale,549514,False,0,17.658,0,102
Spycies,550738,False,0,25.929,6928960,96
Jim Button and the Wild 13,616180,False,20000000,4.294,6700000,110
Dragon Rider,523366,False,17830000,18.364,3175644,100
Psy 3: W imie zasad,642700,False,0,5.038,0,126
Blood Moon Party,699361,False,0,1.855,0,118
Innocence,10436,False,34000000,13.884,32255440,138
Shubh Mangal Zyada Saavdhan,606535,False,0,5.708,0,120
Chhapaak,590404,False,0,2.507,0,123
"Love Me, Love Me Not",682427,False,0,3.016,0,124
Hammamet,590869,False,0,5.843,0,126
Lindenberg! Mach dein Ding,633172,False,0,3.477,6404964,139
Midnight Swan,725691,False,0,0.893,0,124
Nausicaä of the Valley of the Wind 2020 Re-release,,,,,,
Simply Black,679989,False,0,7.359,0,90
My Boyfriend's Meds,557940,False,0,20.7,0,100
Bill & Ted Face the Music,501979,False,25000000,17.531,0,92
Hotel Belgrade,592717,False,0,7.31,6237973,107
How to Be a Good Wife,575291,False,0,7.26,0,108
The Legacy Of Dr. Death: Black File,731862,False,0,2.097,0,0
The Rhythm Section,466622,False,50000000,23.878,0,109
Jak zostalem gangsterem. Historia prawdziwa,660033,False,0,5.053,5975729,140
The Lion King 2020 Re-release,,,,,,
Twiceborn,757858,False,0,1.2,0,135
The Royal Bride,663745,False,0,0.694,0,0
Beasts Clawing at Straws,571648,False,0,48.18,5707415,108
Last Letter,638449,False,0,47.506,1451974,110
Yowamushi Pedal: The Movie 2020 Re-release,,,,,,
Hocus Pocus 2020 Re-release,,,,,,
Klassikokkutulek 2: Pulmad ja matused,505551,False,465000,0.6,0,90
Mama Weed,575463,False,5080800,7.483,5413054,104
Divorce Club,665488,False,9466480,8.945,5127426,108
A Piece of Cake,723446,False,0,3.324,0,90
Cindy La Regia,579792,False,0,12.616,0,109
Run,910596,False,0,749.196,0,96
Love Aaj Kal,19663,False,12500000,6.447,20794985,128
Masked Ward,704933,False,0,2.716,0,114
