movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Harry Potter and the Deathly Hallows: Part 2,12445,tt1201607,Daniel Radcliffe,24.549,Rupert Grint,11.399,Emma Watson,69.598,Ralph Fiennes,32.618,Helena Bonham Carter,40.369
Transformers: Dark of the Moon,38356,tt1399103,Shia LaBeouf,15.34,Rosie Huntington-Whiteley,16.038,Josh Duhamel,10.859,John Turturro,28.071,Tyrese Gibson,8.218
Pirates of the Caribbean: On Stranger Tides,1865,tt1298650,Johnny Depp,50.461,Penélope Cruz,23.261,Geoffrey Rush,9.579,Ian McShane,20.779,Kevin McNally,8.247
The Twilight Saga: Breaking Dawn - Part 1,50619,tt1324999,Kristen Stewart,28.953,Robert Pattinson,26.955,Taylor Lautner,22.521,Ashley Greene,24.874,Peter Facinelli,17.93
Mission: Impossible - Ghost Protocol,56292,tt1229238,Tom Cruise,34.075,Paula Patton,29.455,Simon Pegg,15.527,Jeremy Renner,47.118,Michael Nyqvist,6.737
Kung Fu Panda 2,49444,tt1302011,Jack Black,23.771,Angelina Jolie,13.484,Dustin Hoffman,12.71,Gary Oldman,27.283,Jackie Chan,26.273
Fast Five,51497,tt1596343,Vin Diesel,29.696,Paul Walker,20.93,Dwayne Johnson,29.99,Jordana Brewster,19.391,Tyrese Gibson,8.218
The Hangover Part II,45243,tt1411697,Bradley Cooper,38.912,Ed Helms,15.096,Zach Galifianakis,14.573,Justin Bartha,13.582,Ken Jeong,8.844
The Smurfs,41513,tt0472181,Hank Azaria,10.806,Neil Patrick Harris,15.944,Jayma Mays,19.24,Sofía Vergara,10.101,Tim Gunn,5.12
Cars 2,49013,tt1216475,Larry the Cable Guy,4.598,Owen Wilson,46.143,Michael Caine,14.985,Emily Mortimer,12.578,John Turturro,28.071
Puss in Boots,417859,tt0448694,Antonio Banderas,18.301,Salma Hayek,22.609,Zach Galifianakis,14.573,Billy Bob Thornton,13.488,Amy Sedaris,15.668
Sherlock Holmes: A Game of Shadows,58574,tt1515091,Robert Downey Jr.,38.361,Jude Law,21.474,Noomi Rapace,29.74,Jared Harris,14.937,Rachel McAdams,23.696
Rio,46195,tt1436562,Jesse Eisenberg,30.679,Anne Hathaway,36.931,Leslie Mann,28.052,Jane Lynch,15.419,Will.i.am,4.281
Rise of the Planet of the Apes,61791,tt1318514,James Franco,11.754,Andy Serkis,16.501,Freida Pinto,11.894,John Lithgow,17.218,Brian Cox,9.913
Thor,10195,tt0800369,Chris Hemsworth,36.221,Natalie Portman,20.23,Tom Hiddleston,32.759,Anthony Hopkins,20.548,Stellan Skarsgård,20.205
The Intouchables,77338,tt1675434,François Cluzet,9.252,Anne Le Ny,3.296,Clotilde Mollet,3.248,Omar Sy,10.194,Alba Gaïa Bellugi,9.076
The Adventures of Tintin,17578,tt0983193,Jamie Bell,19.222,Daniel Craig,18.56,Andy Serkis,16.501,Nick Frost,11.519,Simon Pegg,15.527
Captain America: The First Avenger,1771,tt0458339,Chris Evans,15.319,Tommy Lee Jones,27.694,Hugo Weaving,26.212,Hayley Atwell,23.388,Sebastian Stan,39.447
X-Men: First Class,691677,tt1948218,Mark Dolan,0.98,Michael Fassbender,14.93,James McAvoy,30.715,Jane Goldman,5.86,Matthew Vaughn,15.184
Alvin and the Chipmunks: Chipwrecked,55301,tt1615918,Jason Lee,14.74,David Cross,20.007,Jenny Slate,19.87,Justin Long,18.509,Matthew Gray Gubler,14.777
Real Steel,39254,tt0433035,Hugh Jackman,23.696,Dakota Goyo,7.396,Evangeline Lilly,22.94,Kevin Durand,11.28,Anthony Mackie,17.839
Bridesmaids,55721,tt1478338,Kristen Wiig,16.468,Maya Rudolph,11.778,Rose Byrne,25.865,Wendi McLendon-Covey,16.257,Ellie Kemper,14.265
Super 8,37686,tt1650062,Joel Courtney,10.987,Elle Fanning,19.65,Riley Griffiths,1.932,Kyle Chandler,14.533,Noah Emmerich,12.883
Rango,44896,tt1192628,Johnny Depp,50.461,Isla Fisher,15.923,Ned Beatty,6.58,Bill Nighy,22.155,Alfred Molina,18.667
The Girl with the Dragon Tattoo,65754,tt1568346,Daniel Craig,18.56,Rooney Mara,14.801,Christopher Plummer,8.379,Stellan Skarsgård,20.205,Steven Berkoff,10.102
The Green Hornet,40805,tt0990407,Seth Rogen,19.602,Jay Chou,8.666,Cameron Diaz,18.596,Tom Wilkinson,13.739,Christoph Waltz,18.156
Immortals,37958,tt1253864,Henry Cavill,46.737,Mickey Rourke,18.812,Stephen Dorff,15.123,Freida Pinto,11.894,Luke Evans,23.783
Green Lantern,44912,tt1133985,Ryan Reynolds,40.796,Blake Lively,12.53,Peter Sarsgaard,17.432,Mark Strong,25.911,Tim Robbins,15.623
The Help,50014,tt1454029,Emma Stone,40.711,Viola Davis,11.558,Octavia Spencer,10.21,Bryce Dallas Howard,24.741,Jessica Chastain,17.001
Bad Teacher,52449,tt1284575,Cameron Diaz,18.596,Justin Timberlake,7.076,Jason Segel,9.132,Lucy Punch,13.556,John Michael Higgins,12.92
Just Go with It,50546,tt1564367,Adam Sandler,14.625,Jennifer Aniston,17.122,Nicole Kidman,23.379,Nick Swardson,8.413,Brooklyn Decker,9.778
Battle Los Angeles,44943,tt1217613,Aaron Eckhart,9.461,Ramón Rodríguez,6.689,Will Rothhaar,2.128,Michael Peña,22.593,Bridget Moynahan,11.292
Horrible Bosses,51540,tt1499658,Jason Bateman,15.545,Charlie Day,18.088,Jason Sudeikis,8.331,Kevin Spacey,16.608,Jennifer Aniston,17.122
Paranormal Activity 3,72571,tt1778304,Katie Featherston,4.309,Sprague Grayden,10.45,Lauren Bittner,7.432,Christopher Nicholas Smith,3.92,Chloe Csengery,2.52
Gnomeo & Juliet,45772,tt0377981,James McAvoy,30.715,Emily Blunt,22.529,Michael Caine,14.985,Maggie Smith,17.595,Julie Walters,11.734
