movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Jack the Giant Slayer,81005,tt1351685,Eleanor Tomlinson,24.27,Nicholas Hoult,28.892,Ewan McGregor,22.259,Stanley Tucci,13.781,Ian McShane,25.434
The Secret Life of Walter Mitty,116745,tt0359950,Ben Stiller,11.792,Kristen Wiig,16.468,Sean Penn,14.277,Shirley MacLaine,11.96,Adam Scott,23.828
12 Years a Slave,76203,tt2024544,Chiwetel Ejiofor,13.52,Michael Fassbender,14.93,Lupita Nyong'o,14.456,Benedict Cumberbatch,39.658,Paul Dano,51.328
Lee Daniels' The Butler,132363,tt1327773,Forest Whitaker,11.654,Oprah Winfrey,6.117,David Oyelowo,6.407,Lenny Kravitz,9.632,Cuba Gooding Jr.,8.647
Identity Thief,109431,tt2024432,Jason Bateman,15.545,Melissa McCarthy,12.641,Amanda Peet,17.802,Génesis Rodríguez,7.696,T.I.,6.628
Anchorman 2: The Legend Continues,109443,tt1229340,Will Ferrell,13.352,Steve Carell,25.175,Paul Rudd,34.254,David Koechner,7.418,Christina Applegate,18.571
Olympus Has Fallen,117263,tt2302755,Gerard Butler,21.026,Aaron Eckhart,12.438,Finley Jacobsen,4.214,Dylan McDermott,25.455,Rick Yune,5.768
Insidious: Chapter 2,91586,tt2226417,Patrick Wilson,31.977,Rose Byrne,25.865,Ty Simpkins,16.558,Lin Shaye,13.745,Barbara Hershey,16.999
Lone Survivor,193756,tt1091191,Mark Wahlberg,48.44,Taylor Kitsch,19.89,Emile Hirsch,26.516,Ben Foster,11.522,Eric Bana,15.181
Jackass Presents: Bad Grandpa,208134,tt3063516,Johnny Knoxville,27.524,Jackson Nicoll,10.374,Georgina Cates,6.917,Catherine Keener,20.677,Spike Jonze,10.346
47 Ronin,64686,tt1335975,Keanu Reeves,58.599,Hiroyuki Sanada,16.412,Ko Shibasaki,18.528,Tadanobu Asano,15.081,Min Tanaka,5.578
