movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Captain America: Civil War,271110,tt3498820,Chris Evans,15.319,Robert Downey Jr.,38.361,Scarlett Johansson,38.188,Sebastian Stan,39.447,Anthony Mackie,17.839
Rogue One: A Star Wars Story,330459,tt3748528,Felicity Jones,18.633,Diego Luna,16.247,Alan Tudyk,14.978,Donnie Yen,16.207,Jiang Wen,5.887
Finding Dory,127380,tt2277860,Albert Brooks,14.991,Ellen DeGeneres,4.7,Ed O'Neill,12.43,Hayden Rolence,2.089,Diane Keaton,14.502
Zootopia,269149,tt2948356,Jason Bateman,15.545,Ginnifer Goodwin,12.357,Idris Elba,26.498,Jenny Slate,19.87,Nate Torrence,7.993
The Jungle Book,9325,tt0061852,Bruce Reitherman,2.171,Phil Harris,7.134,Sebastian Cabot,10.681,George Sanders,6.285,Sterling Holloway,4.586
The Secret Life of Pets,412117,tt5113040,Patton Oswalt,15.44,Kevin Hart,14.271,Eric Stonestreet,6.607,Jenny Slate,19.87,Tiffany Haddish,8.655
Batman v Superman: Dawn of Justice,209112,tt2975590,Ben Affleck,23.439,Henry Cavill,46.737,Jesse Eisenberg,30.679,Gal Gadot,38.496,Amy Adams,19.554
Fantastic Beasts and Where to Find Them,259316,tt3183660,Eddie Redmayne,33.428,Katherine Waterston,17.555,Dan Fogler,23.174,Alison Sudol,17.15,Colin Farrell,43.802
Deadpool,293660,tt1431045,Ryan Reynolds,40.796,Morena Baccarin,26.355,Ed Skrein,13.665,T. J. Miller,14.522,Gina Carano,12.813
Suicide Squad,436969,tt6334354,Margot Robbie,29.861,Idris Elba,26.498,John Cena,15.948,Joel Kinnaman,24.116,Sylvester Stallone,32.593
Doctor Strange,284052,tt1211837,Benedict Cumberbatch,39.658,Chiwetel Ejiofor,13.52,Rachel McAdams,23.696,Benedict Wong,33.788,Mads Mikkelsen,51.526
Moana,277834,tt3521164,Auli'i Cravalho,6.92,Dwayne Johnson,29.99,Rachel House,6.808,Temuera Morrison,16.076,Jemaine Clement,11.301
Sing,438695,tt6467266,Matthew McConaughey,20.491,Reese Witherspoon,14.224,Scarlett Johansson,38.188,Taron Egerton,16.392,Bobby Cannavale,12.744
The Mermaid,10144,tt0097757,Jodi Benson,5.937,Samuel E. Wright,3.874,Pat Carroll,6.656,Christopher Daniel Barnes,3.777,Kenneth Mars,5.45
X-Men: Apocalypse,246655,tt3385516,James McAvoy,30.715,Michael Fassbender,14.93,Jennifer Lawrence,26.491,Oscar Isaac,60.716,Nicholas Hoult,25.64
