,release_date_year__2010,release_date_year__2011,release_date_year__2012,release_date_year__2013,release_date_year__2014,release_date_year__2015,release_date_year__2016,release_date_year__2017,release_date_year__2018,release_date_year__2019,release_date_year__2020,release_date_year__2021,release_date_year__2022,Rating__1,Rating__2,Rating__3,Rating__4,Rating__5,release_date_quarter__2,release_date_quarter__3,release_date_quarter__4,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Movie Title
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.471,5.9,12861,115,58.0,63.0,69.0,47.062,7.092,4.828,9.157,6.433,5400000.0,83027924,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suck Me Shakespeer 2
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.139,6.3,266,87,58.0,83.0,69.0,47.062,7.092,4.828,4.8526,100.0,1490000.0,22537428,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friends: Naki on the Monster Island
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.72,5.6,1184,113,58.0,55.0,69.0,35.5,6.331,4.828,7.0572,53.84615385,12880000.0,186683536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jian Bing Man
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,14.996,8.2,88557,139,100.0,91.0,69.0,18.5,0.6,0.6,2.7914,79.07339927,4500000.0,62475342,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Andhadhun
22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.236,6.8,57979,162,40.0,52.0,69.0,64.125,1.35,1.35,5.2306,17.94871795,2581561.0,35797045,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Conquest 1453
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6.489,6.2,1078,94,100.0,75.0,69.0,80.75,2.486,4.828,9.3408,-18.69510665,560000.0,7633895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hard Hit
24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47.461,7.3,9658,108,58.0,63.0,69.0,47.062,7.092,4.828,7.7846,6.433,2000000.0,26433651,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We Are the Nobles
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6,5.4,430,90,58.0,63.0,69.0,47.062,7.092,4.828,0.8758,6.433,465000.0,5543147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Klassikokkutulek 2: Pulmad ja matused
26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.842,5.4,5746,120,58.0,63.0,69.0,47.062,7.092,4.828,7.8822,6.433,5400000.0,64236772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suck Me Shakespeer 3
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.785,6.3,5491,97,58.0,63.0,69.0,47.062,7.092,4.828,2.1728,6.433,6000000.0,60661950,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,What a Beautiful Day
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23.59,6.7,4250,109,58.0,63.0,69.0,47.062,7.092,4.828,6.5458,6.433,2601900.0,24579050,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Son of a Rich
