,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
10,Fifty Shades of Grey,"569,651,467","166,167,230",29.2,"403,484,237",70.8,25.0,41.0,R,SamTaylor-Johnson,"MichaelDeLuca,E.L.James,DanaBrunetti",2-13-2015,166100000.0,4.2,313428,movie,Fifty Shades of Grey,0,2015,125,"Drama,Romance,Thriller"
11,Cinderella,"542,351,353","201,151,353",37.1,"341,200,000",62.9,84.0,78.0,PG,KennethBranagh,"SimonKinberg,AllisonShearmur,DavidBarron",3-13-2015,201200000.0,6.9,173613,movie,Cinderella,0,2015,105,"Adventure,Drama,Family"
12,Cinderella,"542,351,353","201,151,353",37.1,"341,200,000",62.9,84.0,78.0,PG,KennethBranagh,"SimonKinberg,AllisonShearmur,DavidBarron",3-13-2015,201200000.0,8.1,13,movie,Cinderella,0,2015,113,Fantasy
13,The Revenant,"532,950,503","183,637,894",34.5,"349,312,609",65.5,78.0,84.0,R,,"ArnonMilchan,SteveGolin,MaryParent,KeithRedmon,JamesW.Skotchdopole",1-8-2016,183600000.0,8.0,773163,movie,The Revenant,0,2015,156,"Action,Adventure,Drama"
14,Ant-Man,"519,311,965","180,202,163",34.7,"339,109,802",65.3,83.0,85.0,PG-13,PeytonReed,KevinFeige,7-17-2015,180200000.0,7.3,636685,movie,Ant-Man,0,2015,117,"Action,Adventure,Comedy"
15,Hotel Transylvania 2,"474,800,000","169,700,110",35.7,"305,099,890",64.3,55.0,63.0,PG,GenndyTartakovsky,MichelleMurdocca,9-25-2015,,6.7,122892,movie,Hotel Transylvania 2,0,2015,89,"Adventure,Animation,Comedy"
16,San Andreas,"473,990,832","155,190,832",32.7,"318,800,000",67.3,48.0,52.0,PG-13,BradPeyton,BeauFlynn,5-29-2015,155200000.0,6.1,231287,movie,San Andreas,0,2015,114,"Action,Adventure,Thriller"
17,Terminator Genisys,"440,603,537","89,760,956",20.4,"350,842,581",79.6,27.0,52.0,PG-13,AlanTaylor,"DavidEllison,DanaGoldberg",7-1-2015,89800000.0,6.3,272814,movie,Terminator Genisys,0,2015,126,"Action,Adventure,Sci-Fi"
18,Monster Hunt,"387,053,506","32,766",<0.1,"387,020,740",100,45.0,70.0,PG-13,PaulW.S.Anderson,"PaulW.S.Anderson,DennisBerardi,JeremyBolt,KenKamins,RobertKulzer,MartinMoszkowicz",12-18-2020,15100000.0,6.1,5153,movie,Zhuo yao ji,0,2015,117,"Adventure,Comedy,Fantasy"
19,Home,"386,041,607","177,397,510",46,"208,644,097",54,52.0,64.0,PG,TimJohnson,"MireilleSoria,SuzanneBuirgy,ChristopherJenkins",3-27-2015,177300000.0,6.6,100212,movie,Home,0,2015,94,"Adventure,Animation,Comedy"
