,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Avengers: Endgame,"2,797,501,328","858,373,000",30.7,"1,939,128,328",69.3,94.0,90.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-26-2019,858400000.0,8.4,1034560,movie,Avengers: Endgame,0,2019,181,"Action,Adventure,Drama"
1,The Lion King,"1,656,943,394","543,638,043",32.8,"1,113,305,351",67.2,52.0,88.0,PG,JonFavreau,"JonFavreau,JeffreySilver,KarenGilchrist",7-19-2019,543600000.0,6.9,235732,movie,The Lion King,0,2019,118,"Adventure,Animation,Drama"
2,Frozen II,"1,450,026,933","477,373,578",32.9,"972,653,355",67.1,77.0,92.0,PG,"ChrisBuck,JenniferLee",PeterDelVecho,11-22-2019,477400000.0,6.8,163102,movie,Frozen II,0,2019,103,"Adventure,Animation,Comedy"
3,Spider-Man: Far from Home,"1,131,927,996","390,532,085",34.5,"741,395,911",65.5,90.0,95.0,PG-13,JonWatts,"KevinFeige,AmyPascal",7-2-2019,390700000.0,7.4,454626,movie,Spider-Man: Far from Home,0,2019,129,"Action,Adventure,Sci-Fi"
4,Captain Marvel,"1,128,274,794","426,829,839",37.8,"701,444,955",62.2,79.0,45.0,PG-13,"AnnaBoden,RyanFleck",KevinFeige,3-8-2019,426800000.0,6.8,527037,movie,Captain Marvel,0,2019,123,"Action,Adventure,Sci-Fi"
5,Joker,"1,074,251,311","335,451,311",31.2,"738,800,000",68.8,68.0,88.0,R,ToddPhillips,"ToddPhillips,BradleyCooper,EmmaTillingerKoskoff",10-4-2019,335400000.0,8.4,1172540,movie,Joker,0,2019,122,"Crime,Drama,Thriller"
6,Star Wars: Episode IX - The Rise of Skywalker,"1,074,144,248","515,202,542",48,"558,941,706",52,,,,,,,,6.5,425565,movie,Star Wars: Episode IX - The Rise of Skywalker,0,2019,141,"Action,Adventure,Fantasy"
7,Toy Story 4,"1,073,394,593","434,038,008",40.4,"639,356,585",59.6,97.0,94.0,G,JoshCooley,"MarkNielsen,JonasRivera,GalynSusman",6-21-2019,434000000.0,7.7,235938,movie,Toy Story 4,0,2019,100,"Adventure,Animation,Comedy"
8,Aladdin,"1,050,693,953","355,559,216",33.8,"695,134,737",66.2,57.0,94.0,PG,GuyRitchie,"DanLin,JonathanEirich",5-24-2019,355600000.0,6.9,255653,movie,Aladdin,0,2019,128,"Adventure,Comedy,Family"
9,Jumanji: The Next Level,"800,059,707","320,314,960",40,"479,744,747",60,71.0,87.0,PG-13,JakeKasdan,"DanyGarcia,HiramGarcia,DwayneJohnson,JakeKasdan,MatthewTolmach",12-13-2019,316800000.0,6.7,235452,movie,Jumanji: The Next Level,0,2019,123,"Action,Adventure,Comedy"
10,Fast & Furious Presents: Hobbs & Shaw,"759,056,935","173,956,935",22.9,"585,100,000",77.1,67.0,88.0,PG-13,DavidLeitch,"DwayneJohnson,JasonStatham,ChrisMorgan,HiramGarcia",8-2-2019,173800000.0,6.5,204048,movie,Fast & Furious Presents: Hobbs & Shaw,0,2019,137,"Action,Adventure,Thriller"
11,Ne Zha,"726,063,471","3,695,533",0.5,"722,367,938",99.5,88.0,98.0,,YuYang,,9-6-2019,3700000.0,7.4,7320,movie,Ne Zha zhi mo tong jiang shi,0,2019,110,"Action,Adventure,Animation"
12,The Wandering Earth,"699,856,699","5,971,413",0.9,"693,885,286",99.1,69.0,48.0,,FrantGwo,GongGeer,2-8-2019,2200000.0,5.9,29900,movie,Liu lang di qiu,0,2019,125,"Action,Adventure,Sci-Fi"
13,How to Train Your Dragon: The Hidden World,"521,799,505","160,799,505",30.8,"361,000,000",69.2,90.0,86.0,PG,DeanDeBlois,"BradLewis,BonnieArnold",2-22-2019,160800000.0,7.4,121790,movie,How to Train Your Dragon: The Hidden World,0,2019,104,"Action,Adventure,Animation"
14,Maleficent: Mistress of Evil,"491,730,089","113,929,605",23.2,"377,800,484",76.8,39.0,95.0,PG,JoachimRønning,"JoeRoth,AngelinaJolie,DuncanHenderson",10-18-2019,113900000.0,6.6,100398,movie,Maleficent: Mistress of Evil,0,2019,119,"Adventure,Family,Fantasy"
15,It Chapter Two,"473,093,228","211,593,228",44.7,"261,500,000",55.3,62.0,78.0,R,AndyMuschietti,"DanLin,RoyLee,BarbaraMuschietti",9-6-2019,211600000.0,6.5,246287,movie,It Chapter Two,0,2019,169,"Drama,Fantasy,Horror"
16,"My People, My Country","450,064,993","2,356,683",0.5,"447,708,310",99.5,,68.0,,"ChenKaige,HuGuan",JianxinHuang,,2400000.0,6.4,1774,movie,Wo he wo de zu guo,0,2019,154,"Drama,History"
17,Pokémon Detective Pikachu,"433,005,346","144,105,346",33.3,"288,900,000",66.7,68.0,79.0,PG,RobLetterman,"MaryParent,CaleBoyter,HidenagaKatakami,DonMcGowan",5-10-2019,144100000.0,6.6,155925,movie,Pokémon: Detective Pikachu,0,2019,104,"Action,Adventure,Comedy"
18,The Secret Life of Pets 2,"430,051,293","158,874,395",36.9,"271,176,898",63.1,60.0,90.0,PG,ChrisRenaud,"ChristopherMeledandri,JanetHealy",6-7-2019,158200000.0,6.5,59729,movie,The Secret Life of Pets 2,0,2019,86,"Adventure,Animation,Comedy"
19,The Captain,"417,282,021","706,572",0.2,"416,575,449",99.8,,,,,,,,6.2,2013,movie,Zhong guo ji zhang,0,2019,111,"Action,Adventure,Drama"
20,Alita: Battle Angel,"404,980,543","85,838,210",21.2,"319,142,333",78.8,61.0,92.0,PG-13,RobertRodriguez,"JamesCameron,JonLandau",2-14-2019,85800000.0,7.3,257456,movie,Alita: Battle Angel,0,2019,122,"Action,Adventure,Sci-Fi"
21,Godzilla: King of the Monsters,"386,600,138","110,500,138",28.6,"276,100,000",71.4,42.0,83.0,PG-13,MichaelDougherty,"MaryParent,AlexGarcia,ThomasTull,JonJashni,BrianRogers",5-31-2019,110500000.0,6.0,174653,movie,Godzilla: King of the Monsters,0,2019,132,"Action,Adventure,Fantasy"
22,1917,"384,919,389","159,227,644",41.4,"225,691,745",58.6,88.0,88.0,R,SamMendes,"SamMendes,PippaHarris,Jayne-AnnTenggren,CallumMcDougall,BrianOliver",1-10-2020,159200000.0,8.3,542091,movie,1917,0,2019,119,"Action,Drama,War"
23,Once Upon a Time... In Hollywood,"374,375,059","142,502,728",38.1,"231,872,331",61.9,85.0,70.0,R,QuentinTarantino,"DavidHeyman,ShannonMcIntosh,QuentinTarantino",7-26-2019,142400000.0,7.6,680313,movie,Once Upon a Time in... Hollywood,0,2019,161,"Comedy,Drama"
