,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Captain America: Civil War,"1,153,296,293","408,084,349",35.4,"745,211,944",64.6,90.0,89.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,5-6-2016,408100000.0,7.8,747026,movie,Captain America: Civil War,0,2016,147,"Action,Adventure,Sci-Fi"
1,Rogue One: A Star Wars Story,"1,056,057,273","532,177,324",50.4,"523,879,949",49.6,84.0,86.0,PG-13,GarethEdwards,"KathleenKennedy,AllisonShearmur,SimonEmanuel",12-16-2016,532200000.00000006,7.8,601659,movie,Rogue One,0,2016,133,"Action,Adventure,Sci-Fi"
2,Finding Dory,"1,028,570,889","486,295,561",47.3,"542,275,328",52.7,94.0,84.0,PG,AndrewStanton,LindseyCollins,6-17-2016,486200000.0,7.3,265512,movie,Finding Dory,0,2016,97,"Adventure,Animation,Comedy"
3,Zootopia,"1,023,784,195","341,268,248",33.3,"682,515,947",66.7,98.0,92.0,PG,"ByronHoward,RichMoore",ClarkSpencer,3-4-2016,,8.0,478235,movie,Zootopia,0,2016,108,"Adventure,Animation,Comedy"
4,The Jungle Book,"966,550,600","364,001,123",37.7,"602,549,477",62.3,94.0,86.0,PG,JonFavreau,"JonFavreau,BrighamTaylor",4-15-2016,364000000.0,7.4,272505,movie,The Jungle Book,0,2016,106,"Adventure,Drama,Family"
5,The Secret Life of Pets,"875,457,937","368,384,330",42.1,"507,073,607",57.9,72.0,62.0,PG,ChrisRenaud,"ChristopherMeledandri,JanetHealy",7-8-2016,368300000.0,6.5,197146,movie,The Secret Life of Pets,0,2016,87,"Adventure,Animation,Comedy"
6,Batman v Superman: Dawn of Justice,"873,634,919","330,360,194",37.8,"543,274,725",62.2,29.0,63.0,PG-13,ZackSnyder,"CharlesRoven,DeborahSnyder",3-25-2016,330200000.0,6.5,683335,movie,Batman v Superman: Dawn of Justice,0,2016,152,"Action,Adventure,Sci-Fi"
7,Fantastic Beasts and Where to Find Them,"814,037,575","234,037,575",28.8,"580,000,000",71.2,74.0,79.0,PG-13,DavidYates,"DavidHeyman,J.K.Rowling,SteveKloves,LionelWigram",11-18-2016,234000000.0,7.3,447739,movie,Fantastic Beasts and Where to Find Them,0,2016,132,"Adventure,Family,Fantasy"
8,Deadpool,"782,612,155","363,070,709",46.4,"419,541,446",53.6,85.0,90.0,R,TimMiller,"SimonKinberg,RyanReynolds,LaurenShulerDonner",2-12-2016,363100000.0,8.0,989349,movie,Deadpool,0,2016,108,"Action,Adventure,Comedy"
9,Suicide Squad,"746,846,894","325,100,054",43.5,"421,746,840",56.5,26.0,59.0,PG-13,DavidAyer,"CharlesRoven,RichardSuckle",8-5-2016,,5.9,669397,movie,Suicide Squad,0,2016,123,"Action,Adventure,Fantasy"
10,Doctor Strange,"677,718,395","232,641,920",34.3,"445,076,475",65.7,89.0,86.0,PG-13,ScottDerrickson,KevinFeige,11-4-2016,232600000.0,7.5,687543,movie,Doctor Strange,0,2016,115,"Action,Adventure,Fantasy"
11,Moana,"643,331,111","248,757,044",38.7,"394,574,067",61.3,95.0,89.0,PG,"JohnMusker,RonClements",OsnatShurer,11-23-2016,248800000.0,7.6,317410,movie,Moana,0,2016,107,"Adventure,Animation,Comedy"
12,Sing,"634,151,679","270,395,425",42.6,"363,756,254",57.4,71.0,72.0,PG,GarthJennings,"ChristopherMeledandri,JanetHealy",12-21-2016,270400000.0,7.1,160519,movie,Sing,0,2016,108,"Animation,Comedy,Family"
13,The Mermaid,"553,810,228","3,232,685",0.6,"550,577,543",99.4,,,,PetraClever,KarolaKeller,,,6.2,9076,movie,Mei ren yu,0,2016,94,"Comedy,Drama,Fantasy"
