Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Toy Story 3,2500,1161,1036,303
Harry Potter and the Deathly Hallows: Part 1,2500,619,1757,124
Inception,2500,1228,964,308
Shrek Forever After,2500,1060,1194,246
The Twilight Saga: Eclipse,2500,973,1324,203
Iron Man 2,2500,1151,1007,342
Tangled,2500,1283,894,323
Despicable Me,2500,1340,957,203
How to Train Your Dragon,2500,1195,1114,191
Clash of the Titans,2500,962,1227,311
The King's Speech,2500,1262,974,264
The Chronicles of Narnia: The Voyage of the Dawn Treader,2500,477,1911,112
TRON: Legacy,2500,1207,1013,280
The Karate Kid,2500,1263,885,352
Black Swan,2500,1222,886,392
Megamind,2500,1328,896,276
Robin Hood,2500,1255,695,550
The Last Airbender,2500,907,1026,567
Little Fockers,2500,1388,884,228
Resident Evil: Afterlife,2500,274,88,2138
Shutter Island,2500,1157,904,439
Salt,2500,1089,973,438
Sex and the City 2,2500,1004,1145,351
The Tourist,2500,1041,1088,371
The Expendables,2500,853,1372,275
Grown Ups,2500,1254,842,404
True Grit,2500,2275,114,111
Gulliver's Travels,2500,1141,1091,268
Percy Jackson & the Olympians: The Lightning Thief,2500,378,139,1983
The Social Network,2500,1059,1162,279
Valentine's Day,2500,1388,862,250
The Sorcerer's Apprentice,2500,917,1373,210
Due Date,2500,1534,646,320
Eat Pray Love,2500,2335,104,61
Yogi Bear,2500,1115,943,442
RED,2500,1059,971,470
Paranormal Activity 2,2500,892,940,668
The A-Team,2500,1137,1106,257
Jackass 3D,2500,797,213,1490
The Other Guys,2500,1294,890,316
Unstoppable,2500,1082,126,1292
The Book of Eli,2500,1250,1007,243
The Town,2500,1157,950,393
Date Night,2500,1448,746,306
The Secret World of Arrietty,2500,732,1550,218
Legend of the Guardians: The Owls of Ga'Hoole,2500,669,1602,229
The Wolfman,2500,809,1267,424
The Bounty Hunter,2500,1051,1088,361
Saw: The Final Chapter,921,267,514,140
Wall Street: Money Never Sleeps,2500,604,1450,446
The Adjustment Bureau,2500,1138,1127,235
Predators,2500,1030,971,499
A Nightmare on Elm Street,2500,769,1295,436
Dear John,2500,2101,99,300
Cats & Dogs: The Revenge of Kitty Galore,2435,208,137,2090
Tooth Fairy,2500,999,1184,317
Sanctum,2500,1008,1075,417
Hereafter,2500,1060,964,476
Life as We Know It,2500,1456,866,178
Let the Bullets Fly,1224,421,638,165
Love & Other Drugs,2500,2282,141,77
Killers,2500,200,95,2205
Kick-Ass,2500,1052,1033,415
Nanny McPhee Returns,2500,1023,1193,284
Get Him to the Greek,2500,1333,875,292
Burlesque,2500,1420,801,279
The Last Song,2500,1291,733,476
Dinner for Schmucks,2500,1407,783,310
Marmaduke,2500,1177,824,499
Piranha 3D,1562,646,486,430
Oceans,2500,1058,774,668
Edge of Darkness,2500,762,148,1590
Vampires Suck,2500,741,196,1563
Letters to Juliet,2500,1504,751,245
The Back-up Plan,2500,865,1343,292
Diary of a Wimpy Kid,2500,1078,49,1373
Easy A,2500,2241,91,168
Hubble,2500,994,1282,224
The Last Exorcism,2500,1286,658,556
Takers,2500,1138,830,532
Legion,2500,1033,954,513
The American,2500,988,403,1109
The Next Three Days,2500,924,1223,353
Skyline,2491,1046,873,572
Hot Tub Time Machine,2500,1158,1005,337
Devil,2500,399,128,1973
127 Hours,2500,1270,918,312
Why Did I Get Married Too?,2500,1037,1045,418
The Ghost Writer,2500,939,77,1484
Secretariat,2500,1255,832,413
Morning Glory,2500,2291,129,80
Remember Me,2500,1161,835,504
Cop Out,2500,1129,843,528
The Crazies,2500,1018,984,498
Little White Lies,2500,593,337,1570
From Paris with Love,2500,2366,95,39
Detective Dee: The Mystery of the Phantom Flame,644,165,423,56
Daybreakers,2500,1086,970,444
Alpha and Omega,2500,903,1157,440
The Switch,2500,1215,888,397
She's Out of My League,2500,1445,855,200
Death at a Funeral,2500,210,43,2247
How Do You Know,2500,1034,863,603
Charlie St. Cloud,2500,1250,853,397
Scott Pilgrim vs. the World,2500,1093,1209,198
Machete,2500,1044,864,592
Of Gods and Men,1767,909,698,160
Boy,2500,1118,818,564
When in Rome,2500,1482,723,295
My Name Is Khan,2500,1257,1020,223
Going the Distance,2500,1356,900,244
For Colored Girls,2500,1009,996,495
Furry Vengeance,2500,829,1101,570
You Will Meet a Tall Dark Stranger,1441,413,876,152
Faster,2500,1117,791,592
The Kids Are All Right,2500,1038,1270,192
Leap Year,2500,1406,804,290
Potiche,1490,648,647,195
You Again,2500,1671,415,414
Rajneeti,2500,1331,743,426
The Losers,2500,653,115,1732
Legend of the Fist: The Return of Chen Zhen,476,61,351,64
Ramona and Beezus,2500,1486,806,208
Let Me In,2500,1151,842,507
Fair Game,2500,2054,143,303
Biutiful,2004,910,770,324
Elle s'appelait Sarah,21,8,13,0
Lottery Ticket,2500,1227,951,322
The Way Back,2500,1242,664,594
Villain,2500,762,126,1612
A Thousand Words,2500,865,1319,316
Moss,2500,1158,885,457
Just Wright,2500,1280,946,274
My Soul to Take,2500,780,896,824
Our Family Wedding,2500,1347,868,285
Country Strong,2500,2207,174,119
Beck,2070,919,744,407
Another Year,2500,1408,653,439
Youth in Revolt,2500,1237,978,285
Buried,2500,1206,685,609
