Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Avengers: Endgame,2500,1124,828,548
The Lion King,2500,1195,760,545
Frozen II,2475,1298,784,393
Spider-Man: Far from Home,2500,1169,978,353
Captain Marvel,2500,1982,240,278
Joker,2416,1800,78,538
Star Wars: Episode IX - The Rise of Skywalker,2500,352,67,2081
Toy Story 4,2500,810,1221,469
Aladdin,2078,1251,531,296
Jumanji: The Next Level,2500,1203,1065,232
Fast & Furious Presents: Hobbs & Shaw,2500,225,46,2229
Ne Zha,2500,866,412,1222
The Wandering Earth,1308,772,419,117
How to Train Your Dragon: The Hidden World,2500,1042,1137,321
Maleficent: Mistress of Evil,2500,380,267,1853
It Chapter Two,2500,934,958,608
Pok̩mon Detective Pikachu,2500,1503,702,295
The Secret Life of Pets 2,2500,1178,1020,302
Alita: Battle Angel,2500,944,76,1480
Godzilla: King of the Monsters,2500,955,1162,383
1917,1503,688,393,422
Once Upon a Time... In Hollywood,2500,1068,985,447
Shazam!,2500,1408,755,337
Dumbo,1827,816,638,373
John Wick: Chapter 3 - Parabellum,2500,847,1329,324
Knives Out,2500,1472,713,315
Terminator: Dark Fate,2500,953,820,727
Parasite,2500,1066,804,630
Us,2500,1466,450,584
Men in Black: International,2500,766,1191,543
X-Men: Dark Phoenix,2500,999,686,815
Glass,2500,1202,814,484
Annabelle Comes Home,2500,950,951,599
Ford v Ferrari,2500,1484,718,298
Little Women,2500,1486,594,420
The Addams Family,2500,1134,992,374
Rocketman,2500,1323,824,353
Weathering with You,2500,1336,789,375
Downton Abbey,2500,1311,883,306
The Lego Movie 2: The Second Part,2500,987,1238,275
Abominable,2500,1193,767,540
Ip Man 4: The Finale,21,3,14,4
Gemini Man,1067,511,343,213
Spies in Disguise,2500,1323,381,796
Hustlers,2500,1161,824,515
Escape Room,2500,1900,139,461
Yesterday,2500,1298,590,612
The Angry Birds Movie 2,2500,491,61,1948
Angel Has Fallen,2500,1178,350,972
Ad Astra,2393,1187,804,402
Midway,2500,1101,776,623
The Upside,2500,1399,663,438
The Curse of La Llorona,2500,271,23,2206
Zombieland: Double Tap,2500,1271,846,383
Last Christmas,2500,1291,798,411
Dora and the Lost City of Gold,2500,834,78,1588
Wonder Park,2500,1736,551,213
The Gentlemen,2500,1396,772,332
Pet Sematary,2500,964,807,729
Good Boys,2500,2178,115,207
Scary Stories to Tell in the Dark,2500,471,128,1901
The Hustle,2500,1362,734,404
Crawl,2500,960,771,769
Five Feet Apart,2500,1045,1041,414
Rambo: Last Blood,2500,899,907,694
Jojo Rabbit,2500,1299,692,509
A Dog's Way Home,2500,1498,735,267
Cold Pursuit,2500,1092,824,584
A Dog's Journey,2500,922,1153,425
A Madea Family Funeral,2110,638,242,1230
Cats,2500,1146,700,654
Charlie's Angels,2500,969,784,747
Doctor Sleep,2500,1271,717,512
What Men Want,2500,1790,452,258
After,2500,1096,553,851
Playing with Fire,2500,960,154,1386
A Beautiful Day in the Neighborhood,2500,2421,9,70
War,2500,363,70,2067
Happy Death Day 2U,2500,1002,60,1438
Bombshell,2500,938,855,707
Ashfall,1255,537,443,275
Ma,806,294,346,166
Ready or Not,2500,1995,184,321
Hellboy,2500,1061,781,658
Long Shot,2500,1354,572,574
Breakthrough,2500,1511,674,315
Just Mercy,2471,1770,162,539
Uncut Gems,2500,1156,831,513
21 Bridges,2500,1247,914,339
The Grudge,2500,711,909,880
Little,2500,1404,494,602
Isn't It Romantic,2500,1059,76,1365
Countdown,2500,1064,1017,419
Midsommar,2500,980,824,696
Queen & Slim,2500,1053,950,497
47 Meters Down: Uncaged,2500,783,1093,624
Judy,2500,1248,715,537
Child's Play,2500,2029,67,404
Richard Jewell,2500,1006,590,904
Harriet,2500,1273,705,522
Fighting with My Family,2500,853,168,1479
Uri: The Surgical Strike,2500,1078,118,1304
Overcomer,2500,1412,768,320
Pain and Glory,2500,1894,303,303
The Intruder,2500,1076,940,484
The Good Liar,2500,1105,69,1326
The Art of Racing in the Rain,2500,1051,862,587
Bharat,2428,1148,770,510
Brightburn,2500,981,833,686
UglyDolls,2500,1314,768,418
Stuber,2500,1420,674,406
The Kid Who Would Be King,2500,1093,1086,321
Anna,2500,1100,794,606
My Hero Academia: Heroes Rising,2500,2457,5,38
Gully Boy,2500,1422,765,313
Missing Link,2500,1653,188,659
No Manches Frida 2,189,55,27,107
Booksmart,2500,1584,629,287
Super 30,2500,1795,486,219
Pinocchio,2402,980,717,705
The Peanut Butter Falcon,1858,890,765,203
Dark Waters,2500,1129,697,674
The Farewell,2500,1361,743,396
Black and Blue,2500,1141,972,387
Late Night,2500,1157,865,478
Les Mis̩rables,2500,1136,1016,348
Shaft,2500,1138,848,514
Unplanned,2500,1143,701,656
Hotel Mumbai,2500,882,759,859
