Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Star Wars: Episode VII - The Force Awakens,2500,105,14,2381
Jurassic World,2500,1012,1209,279
Furious 7,2500,345,249,1906
Avengers: Age of Ultron,2500,944,1171,385
Minions,2500,1006,1081,413
Spectre,2500,1043,1164,293
Inside Out,2500,1171,783,546
Mission: Impossible - Rogue Nation,2500,930,1374,196
The Hunger Games: Mockingjay - Part 2,2500,395,15,2090
The Martian,2500,1143,1121,236
Fifty Shades of Grey,2500,1900,94,506
Cinderella,2500,1109,1103,288
The Revenant,2500,927,1018,555
Ant-Man,2500,1133,828,539
Hotel Transylvania 2,2500,1090,1306,104
San Andreas,2500,911,1190,399
Terminator Genisys,2500,902,1199,399
Kingsman: The Secret Service,2500,678,1701,121
Home,2500,1049,967,484
Mad Max: Fury Road,2500,129,25,2346
The Good Dinosaur,2500,2356,23,121
Taken 3,2500,911,1227,362
The SpongeBob Movie: Sponge Out of Water,2500,538,1872,90
Maze Runner: The Scorch Trials,2500,487,1906,107
The Divergent Series: Insurgent,2500,457,1964,79
Pitch Perfect 2,2500,2239,172,89
The Peanuts Movie,2500,1139,1145,216
Pixels,2323,958,1009,356
Daddy's Home,2500,1299,893,308
Spy,2500,981,1099,420
Alvin and the Chipmunks: The Road Chip,2500,1051,1192,257
Ted 2,2500,1020,1233,247
Tomorrowland,2500,949,1252,299
Everest,2500,821,1355,324
Straight Outta Compton,2500,1766,300,434
The Intern,2500,968,1011,521
Jupiter Ascending,2500,799,1231,470
Creed,2500,1031,1133,336
Fantastic Four,2500,1894,262,344
Bridge of Spies,2500,976,1237,287
Focus,2500,1322,738,440
Goosebumps,2500,998,1161,341
The Hateful Eight,2500,507,70,1923
Gods of Egypt,2500,746,1177,577
The Last Witch Hunter,2500,347,74,2079
Trainwreck,2500,1280,931,289
Point Break,2500,997,920,583
The Big Short,2500,936,910,654
Pan,1027,388,465,174
Ride Along 2,2500,1063,1087,350
Magic Mike XXL,2500,1004,1142,354
Insidious: Chapter 3,2500,296,2074,130
Get Hard,2500,1137,238,1125
The 5th Wave,2500,804,1476,220
Paul Blart: Mall Cop 2,2500,978,924,598
Vacation,2500,1153,971,376
The Man from U.N.C.L.E.,2500,964,1420,116
Shaun the Sheep Movie,2500,1298,1055,147
Sisters,2500,1270,718,512
Chappie,2500,987,1167,346
Joy,2500,2386,40,74
Black Mass,2500,765,1433,302
Spotlight,2500,891,1257,352
The Visit,2500,1015,945,540
Poltergeist,2478,778,883,817
In the Heart of the Sea,2500,2446,6,48
Southpaw,2500,986,1189,325
The Second Best Exotic Marigold Hotel,2500,2488,8,4
Paper Towns,2500,889,1296,315
Sicario,2500,884,1227,389
Hitman: Agent 47,2500,626,1627,247
The Wedding Ringer,2500,1219,1051,230
Paranormal Activity: The Ghost Dimension,2500,174,23,2303
Bajrangi Bhaijaan,2499,1360,831,308
War Room,2500,771,270,1459
The Transporter Refueled,2500,464,1858,178
Run All Night,2500,882,1403,215
13 Hours,2500,858,1041,601
The Age of Adaline,2500,1109,1148,243
The Danish Girl,2500,895,1388,217
The Boy,2500,885,1083,532
The Longest Ride,2500,1104,1132,264
Unfriended,2500,756,908,836
Brooklyn,2500,900,1185,415
"Dragon Ball Z: Resurrection ""F""",2500,1219,1082,199
Woman in Gold,2500,755,1263,482
Krampus,2500,1023,893,584
The Perfect Guy,2500,2287,44,169
The Gift,2500,2237,77,186
No Escape,2500,921,226,1353
Sinister 2,2500,305,97,2098
Prem Ratan Dhan Payo,2500,855,1313,332
The Boy Next Door,2500,858,1292,350
The Night Before,2500,984,938,578
Hot Pursuit,2500,1888,486,126
Entourage,2500,948,1184,368
The Woman in Black 2: Angel of Death,2500,213,223,2064
Concussion,2500,564,1207,729
Mortdecai,2500,1051,902,547
Still Alice,2500,1280,944,276
Max,2500,1003,949,548
The DUFF,2500,1301,947,252
The Gallows,2500,656,1123,721
Love the Coopers,2500,1991,140,369
The Lady in the Van,250,95,122,33
Ricki and the Flash,2500,1092,1217,191
Carol,1756,905,641,210
Criminal,2500,205,80,2215
The Lazarus Effect,2500,738,1193,569
A Walk in the Woods,2500,859,1361,280
Ex Machina,2500,1059,1072,369
Burnt,2500,766,1180,554
Room,2500,1011,920,569
Secret in Their Eyes,2500,682,1389,429
Steve Jobs,2500,948,1149,403
Victor Frankenstein,2329,780,1229,320
Project Almanac,2500,1041,1142,317
Dilwale,2500,1199,875,426
Suffragette,2500,1064,907,529
Self/less,2500,2015,276,209
A Man Called Ove,1309,668,502,139
Far from the Madding Crowd,2500,1148,1148,204
Mr. Holmes,2500,1243,1055,202
Love & Mercy,2500,2291,172,37
The 33,2500,1106,1082,312
Irrational Man,2500,436,432,1632
American Ultra,2500,1187,876,437
Aloha,2302,1183,823,296
