Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Transformers: Age of Extinction,2500,504,1644,352
The Hobbit: The Battle of the Five Armies,2500,187,33,2280
Guardians of the Galaxy,2500,1100,1115,285
Maleficent,2500,1179,902,419
The Hunger Games: Mockingjay - Part 1,2500,381,25,2094
X-Men: Days of Future Past,2500,724,1560,216
Captain America: The Winter Soldier,2500,678,1611,211
Dawn of the Planet of the Apes,2500,992,1264,244
The Amazing Spider-Man 2,2500,2454,14,32
Interstellar,2500,1061,1022,417
Big Hero 6,2500,2089,243,168
How to Train Your Dragon 2,2500,852,1268,380
American Sniper,2500,968,1083,449
Godzilla,2500,671,679,1150
Rio 2,2429,1282,999,148
Teenage Mutant Ninja Turtles,2500,749,1570,181
The Lego Movie,2500,1267,977,256
Lucy,2500,1096,899,505
Penguins of Madagascar,2500,1016,1252,232
Edge of Tomorrow,2500,1091,1058,351
Gone Girl,2500,1203,821,476
Night at the Museum: Secret of the Tomb,2500,637,1778,85
Noah,2500,1083,979,438
The Maze Runner,2500,1064,1175,261
300: Rise of an Empire,2500,777,1446,277
22 Jump Street,2500,964,1271,265
The Fault in Our Stars,2500,505,113,1882
Divergent,2500,1162,952,386
Paddington,2500,1237,1000,263
Mr. Peabody & Sherman,2500,1510,915,75
Neighbors,2500,978,1037,485
Exodus: Gods and Kings,2500,593,1642,265
Annabelle,1883,453,872,558
Hercules,2500,1007,1202,291
RoboCop,2316,1015,913,388
The Imitation Game,2500,1134,1065,301
Non-Stop,2500,1005,1161,334
Dracula Untold,2500,922,1290,288
The Expendables 3,2500,485,1722,293
Into the Woods,2500,1065,1013,422
Fury,2500,483,148,1869
Need for Speed,2500,582,1676,242
The Other Woman,2500,1216,1025,259
The Equalizer,2500,1011,1205,284
The Grand Budapest Hotel,2500,2413,18,69
Dumb and Dumber To,2500,154,25,2321
Into the Storm,2500,770,1431,299
Unbroken,2500,1321,717,462
The Monuments Men,2500,1051,1169,280
Ride Along,2500,1244,962,294
Planes: Fire & Rescue,2500,2234,57,209
The Admiral: Roaring Currents,450,420,12,18
Let's Be Cops,2500,1035,1126,339
Annie,2500,1242,757,501
Jack Ryan: Shadow Recruit,2500,746,1615,139
Blended,2500,1255,875,370
Sex Tape,2500,762,1102,636
The Theory of Everything,2500,884,1413,203
The Nut Job,2500,1320,883,297
Pompeii,2500,764,1411,325
Seventh Son,2500,827,1264,409
The Purge: Anarchy,2500,968,1145,387
The Boxtrolls,2500,1094,1293,113
Horrible Bosses 2,2500,506,95,1899
Ouija,2500,948,922,630
Birdman or (The Unexpected Virtue of Ignorance),451,439,3,9
Transcendence,2500,883,1217,400
Heaven Is for Real,2500,2303,75,122
Tammy,2500,1170,867,463
PK,1341,633,516,192
The Book of Life,2500,1298,985,217
Paranormal Activity: The Marked Ones,2500,509,1724,267
The Hundred-Foot Journey,2500,1085,1330,85
Deliver Us from Evil,2500,105,87,2308
A Million Ways to Die in the West,2500,393,56,2051
Step Up All In,2500,799,1504,197
John Wick,2500,955,1099,446
The Judge,2500,976,929,595
Muppets Most Wanted,2500,1246,1076,178
If I Stay,2500,947,1098,455
Crimson Peak,2500,1036,966,498
Brick Mansions,2500,1265,988,247
Son of God,2500,1935,325,240
Think Like a Man Too,2500,2227,41,232
Jersey Boys,2500,1041,1230,229
The Giver,2500,2088,224,188
Selma,2117,988,757,372
God's Not Dead,2500,2344,83,73
Begin Again,2500,1363,775,362
The Walk,2500,958,1080,462
A Walk Among the Tombstones,2500,1085,1267,148
Dolphin Tale 2,2500,1377,940,183
St. Vincent,2500,1111,1094,295
No Good Deed,2500,1019,228,1253
3 Days to Kill,2500,198,129,2173
Wild,2500,957,1081,462
Magic in the Moonlight,2500,588,1464,448
About Last Night,2500,1248,690,562
Whiplash,2500,1134,857,509
Chef,2500,1248,967,285
Boyhood,2500,1358,847,295
Beauty and the Beast,2500,2343,58,99
Nightcrawler,2500,1082,939,479
Earth to Echo,2500,1623,754,123
That Awkward Moment,2500,746,56,1698
Oculus,2500,954,815,731
Kick,2500,933,872,695
Bang Bang,2331,858,1015,458
This Is Where I Leave You,2500,1547,22,931
The November Man,2500,649,1186,665
Sin City: A Dame to Kill For,2500,22,21,2457
The Gambler,2500,897,1150,453
The Best of Me,2500,2320,28,152
Million Dollar Arm,2500,912,1402,186
The Water Diviner,2500,1905,332,263
Devil's Due,2500,597,1132,771
A Most Wanted Man,2500,762,1481,257
Endless Love,2500,2143,272,85
Get on Up,2500,1018,1285,197
Winter's Tale,2500,944,1187,369
Wild Tales,2500,936,1134,430
When the Game Stands Tall,2500,1110,1219,171
Draft Day,2500,1032,1174,294
Big Eyes,2500,1109,976,415
Left Behind,2500,987,922,591
Top Five,2500,2043,136,321
A Haunted House 2,2500,375,60,2065
And So It Goes,2500,719,1285,496
