Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Spider-Man: No Way Home,2500,902,66,1532
The Battle at Lake Changjin,405,61,10,334
No Time to Die,2500,392,123,1985
F9: The Fast Saga,2043,768,857,418
Venom: Let There Be Carnage,2500,1089,1003,408
Godzilla vs. Kong,2500,1186,807,507
Shang-Chi and the Legend of the Ten Rings,2500,1173,1157,170
Eternals,2500,1242,786,472
Dune,2500,1104,875,521
Black Widow,2500,1121,862,517
Sing 2,2500,1292,783,425
Free Guy,2500,2104,156,240
A Quiet Place Part II,2500,1073,945,482
Encanto,803,415,250,138
Cruella,1425,692,425,308
Jungle Cruise,2500,1354,743,403
Raging Fire,1856,367,137,1352
The Conjuring: The Devil Made Me Do It,2500,203,25,2272
Ghostbusters: Afterlife,2500,1504,672,324
The Suicide Squad,2500,466,65,1969
Space Jam: A New Legacy,2500,2410,61,29
House of Gucci,2500,800,1191,509
The Matrix Resurrections,2500,1039,968,493
Peter Rabbit 2: The Runaway,585,206,300,79
The Boss Baby 2: Family Business,412,177,181,54
PAW Patrol: The Movie,2500,1170,1007,323
Tom & Jerry: The Movie,706,341,270,95
Jujutsu Kaisen 0: The Movie,633,385,179,69
Halloween Kills,2500,537,294,1669
Raya and the Last Dragon,2500,1047,1215,238
The King's Man,2500,977,1022,501
The Addams Family 2,2500,996,1051,453
Clifford the Big Red Dog,2500,1144,961,395
Wrath of Man,2500,1122,979,399
Old,2500,1115,662,723
Mortal Kombat,2500,1171,722,607
Candyman,2500,991,793,716
The Forever Purge,2500,931,940,629
West Side Story,2500,1228,793,479
Hitman's Wife's Bodyguard,2500,1058,1026,416
Belle,984,455,387,142
Ron's Gone Wrong,2500,821,157,1522
Nobody,2500,1184,522,794
Escape Room: Tournament of Champions,1626,1479,50,97
Don't Breathe 2,2500,994,1057,449
My Hero Academia: World Heroes' Mission,2058,1992,25,41
The French Dispatch,2500,1029,1119,352
In the Heights,2500,1100,846,554
Belfast,2500,1380,678,442
Spirit Untamed,2500,2005,270,225
Spiral,2500,1015,693,792
Snake Eyes,2500,1181,779,540
Nomadland,2500,1388,698,414
Resident Evil: Welcome to Raccoon City,2500,781,86,1633
King Richard,2500,1376,785,339
Nightmare Alley,2500,1155,831,514
Malignant,2500,1072,604,824
Respect,2500,2003,67,430
The Unholy,2500,795,935,770
The Last Duel,2500,1096,790,614
Licorice Pizza,2500,1293,682,525
The Little Things,2500,1479,645,376
Escape from Mogadishu,514,331,99,84
American Underdog,2500,1560,659,281
Chaos Walking,2500,796,335,1369
The Courier,2500,1233,690,577
Those Who Wish Me Dead,2500,885,59,1556
The Marksman,1991,733,978,280
Last Night in Soho,2500,1004,1024,472
Spencer,2500,1215,774,511
Kaamelott: First Installment,2,0,2,0
After We Fell,2500,1243,560,697
Stillwater,2500,1244,739,517
Dear Evan Hansen,2500,1763,182,555
The Green Knight,2500,1132,811,557
Antlers,2082,929,621,532
Bo Gia,113,49,56,8
The Dry,2500,1324,621,555
The Wolf and the Lion,267,150,84,33
Reminiscence,2500,1240,719,541
The Night House,2500,1058,731,711
Minari,2129,1183,709,237
Anita,1523,889,436,198
Cry Macho,2500,679,285,1536
Sword Art Online: Progressive - Aria of a Starless Night,504,161,301,42
Christmas with the Chosen: The Messengers,209,71,127,11
The Many Saints of Newark,2500,978,886,636
Aline,419,217,149,53
The Worst Person in the World,2500,520,72,1908
The Prot̩g̩,2500,1088,904,508
Pushpa: The Rise - Part 1,176,43,118,15
The Mauritanian,2500,1137,952,411
