,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Frozen,90,85,PG,"['Fantasy', 'Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']","['ChrisBuck', 'JenniferLee']","['MikeHuang', 'PeterDelVecho', 'KristinYadamec', 'AngelaFrancesDanna', 'DaraMcgarry', 'KellyEisert', 'JamesEHasman', 'NathanCurtis', 'JulieBaner', 'SheriPatterson']","['Nov 27', '2013']",401.0M
1,Iron Man 3,79,78,PG-13,"['Sci-fi', 'Fantasy', 'Adventure', 'Action']",['ShaneBlack'],['KevinFeige'],"['May 3', '2013']",409.0M
2,Despicable Me 2,75,85,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['ChrisRenaud', 'PierreCoffin']","['ChristopherMeledandri', 'JanetHealy']","['Jul 3', '2013']",368.0M
3,The Hobbit: The Desolation of Smaug,74,85,PG-13,"['Fantasy', 'Adventure']",['PeterJackson'],"['CarolynneCunningham', 'ZaneWeiner', 'FranWalsh', 'PeterJackson']","['Dec 13', '2013']",258.4M
4,The Hunger Games: Catching Fire,90,89,PG-13,"['Action', 'Sci-fi', 'Adventure']",['FrancisLawrence'],"['JonKilik', 'NinaJacobson']","['Nov 22', '2013']",
5,Fast & Furious 6,71,84,PG-13,['Action'],['JustinLin'],"['NealH.Moritz', 'VinDiesel', 'ClaytonTownsend']","['May 24', '2013']",238.7M
6,Monsters University,80,81,G,"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Kids&family']",['DanScanlon'],['KoriRae'],"['Jun 21', '2013']",268.5M
7,Gravity,,,,,,,,
8,Man of Steel,56,75,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['ZackSnyder'],"['CharlesRoven', 'ChristopherNolan', 'EmmaThomas', 'DeborahSnyder']","['Jun 14', '2013']",291.0M
9,Thor: The Dark World,66,75,PG-13,"['Fantasy', 'Action', 'Adventure']",['AlanTaylor'],['KevinFeige'],"['Nov 8', '2013']",206.4M
10,The Croods,72,77,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['ChristopherSanders', 'KirkDeMicco']","['KristineBelson', 'JaneHartwell']","['Mar 22', '2013']",187.2M
