,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
63,Zombieland: Double Tap,68,88,R,"['Horror', 'Comedy', 'Action']",['RubenFleischer'],['GavinPolone'],"['Oct 18', '2019']",73.1M
64,Last Christmas,47,81,PG-13,"['Other', 'Romance', 'Comedy']",['PaulFeig'],"['ErikBaiers', 'JessieHenderson', 'DavidLivingstone', 'EmmaThompson']","['Nov 8', '2019']",35.1M
65,Extreme Job,82,82,,['Comedy'],['LeeByeong-heon'],,"['Jan 25', '2019']",1.6M
66,Dora and the Lost City of Gold,85,88,PG,"['Mystery&thriller', 'Kids&family', 'Comedy', 'Adventure']",['JamesBobin'],['KristinBurr'],"['Aug 9', '2019']",60.5M
67,Wonder Park,34,43,PG,"['Fantasy', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['DylanC.Brown'],"['JoshAppelbaum', 'AndreNemec', 'KendraHaaland']","['Mar 15', '2019']",45.2M
68,P Storm,,,,['Action'],['DavidLam'],"['RaymondBak-MingWong', 'RenpengZhao']",,
69,Detective Conan: The Fist of Blue Sapphire,,,,,,,,
70,The Gentlemen,,,,,,,,
71,Pet Sematary,57,33,R,"['Horror', 'Mystery&thriller']","['KevinKolsch', 'DennisWidmyer']","['LorenzodiBonaventura', 'StevenSchneider', 'MarkVahradian']","['Apr 5', '2019']",54.7M
72,Boonie Bears: Blast Into the Past,,,,,,,,
73,Good Boys,80,86,R,['Comedy'],['GeneStupnitsky'],"['LeeEisenberg', 'EvanGoldberg', 'SethRogen', 'JamesWeaver']","['Aug 16', '2019']",83.1M
74,Scary Stories to Tell in the Dark,77,72,PG-13,"['Horror', 'Mystery&thriller']",['AndréØvredal'],"['GuillermodelToro', 'SeanDaniel', 'JasonF.Brown', 'J.MilesDale', 'ElizabethGrave']","['Aug 9', '2019']",68.7M
75,Line Walker 2: Invisible Spy,86,73,,['Action'],['JazzBoon'],,"['Aug 16', '2019']",293.7K
76,The New King of Comedy,,60,,"['Drama', 'Comedy']",['StephenChow'],,,
77,The Hustle,13,43,PG-13,['Comedy'],['ChrisAddison'],"['RogerBirnbaum', 'RebelWilson']","['May 10', '2019']",35.4M
78,Adoring,,,,['Comedy'],['LarryYang'],['VictoriaHon'],,
79,Crawl,84,75,R,"['Horror', 'Mystery&thriller']",['AlexandreAja'],"['CraigJ.Flores', 'SamRaimi', 'AlexandreAja']","['Jul 12', '2019']",39.0M
80,Five Feet Apart,53,79,PG-13,"['Drama', 'Romance']",['JustinBaldoni'],"['CathySchulman', 'JustinBaldoni']","['Mar 15', '2019']",45.7M
81,Rambo: Last Blood,27,81,R,['Action'],['AdrianGrunberg'],"['AviLerner', 'KevinKingTempleton', 'YarivLerner', 'LesWeldon']","['Sep 20', '2019']",44.8M
82,Jojo Rabbit,80,94,PG-13,"['Drama', 'Comedy']",['TaikaWaititi'],"['CarthewNeal', 'TaikaWaititi', 'ChelseaWinstanley']","['Nov 8', '2019']",33.4M
83,Serial (Bad) Weddings 2,,67,,"['Drama', 'Comedy']",['PhilippedeChauveron'],['RomainRojtman'],,
84,One Piece: Stampede,94,99,,"['Fantasy', 'Anime', 'Adventure']",['TakashiOtsuka'],,,
85,A Dog's Way Home,59,70,PG,"['Drama', 'Kids&family', 'Adventure']",['CharlesMartinSmith'],['GavinPolone'],"['Jan 11', '2019']",42.0M
86,Cold Pursuit,68,49,R,"['Action', 'Mystery&thriller']",['HansPetterMoland'],"['MichaelShamberg', 'AmeetShukla', 'SteinB.Kvae', 'FinnGjerdrum']","['Feb 8', '2019']",32.1M
87,A Dog's Journey,51,91,PG,"['Adventure', 'Comedy', 'Fantasy', 'Kids&family', 'Drama']",['GailMancuso'],['GavinPolone'],"['May 17', '2019']",22.5M
88,A Madea Family Funeral,11,30,PG-13,['Comedy'],['TylerPerry'],"['TylerPerry', 'MarkE.Swinton', 'WillAreu', 'OzzieAreu']","['Mar 1', '2019']",73.2M
89,Cats,,,,,,,,
90,Charlie's Angels,52,78,PG-13,"['Comedy', 'Action', 'Adventure']",['ElizabethBanks'],"['DougBelgrad', 'ElizabethCantillon', 'ElizabethBanks', 'MaxHandelman']","['Nov 15', '2019']",17.8M
91,Doctor Sleep,78,89,R,"['Horror', 'Mystery&thriller']",['MikeFlanagan'],"['TrevorMacy', 'JonBerg']","['Nov 8', '2019']",31.6M
92,What Men Want,42,33,R,"['Comedy', 'Fantasy', 'Romance']",['AdamShankman'],"['WillPacker', 'JamesLopez']","['Feb 8', '2019']",54.6M
93,After,88,67,PG,"['Drama', 'Sci-fi']",['Kogonada'],"['AndrewGoldman', 'CarolineKaplan', 'PaulMezey', 'TheresaPark']","['Mar 4', '2022']",
94,Exit,,46,,['Mystery&thriller'],['PeterLindmark'],"['SteveAalam', 'ThomasAllercrantz', 'DanielCollert', 'StenJohansson', 'PeterLindmark']",,
95,Playing with Fire,24,77,PG,['Comedy'],['AndyFickman'],"['ToddGarner', 'SeanRobins']","['Nov 8', '2019']",20.5M
96,A Beautiful Day in the Neighborhood,95,92,PG,"['Drama', 'Biography']",['MarielleHeller'],"['YoureeHenley', 'PeterSaraf', 'MarcTurtletaub', 'LeahHolzer']","['Nov 22', '2019']",61.7M
97,War,,,,"['Action', 'Mystery&thriller']",['AmarHundal'],['GippyGrewal'],"['Nov 19', '2021']",
98,Eiga Doraemon: Nobita no getsumen tansaki,,,,,,,,
99,Happy Death Day 2U,71,58,PG-13,"['Horror', 'Comedy', 'Mystery&thriller']",['ChristopherLandon'],['JasonBlum'],"['Feb 13', '2019']",28.0M
100,White Snake,70,84,,"['Romance', 'Fantasy', 'Animation']",['AmpWong'],"['StephanieSheh', 'MichaelSinterniklaas']","['Nov 15', '2019']",33.9K
101,Bombshell,67,84,R,['Drama'],['JayRoach'],"['AaronL.Gilbert', 'JayRoach', 'RobertGraf', 'MichelleGraham', 'CharlesRandolph', 'MargaretRiley', 'CharlizeTheron', 'BethKono', 'A.J.Dix']","['Dec 20', '2019']",31.7M
102,Ashfall,73,74,,"['Drama', 'Action']","['KimByeong-seo', 'LeeHae-jun']","['KangMyeong-chan', 'LeeHae-jun']","['Dec 20', '2019']",233.0K
103,Ma,57,,,['Documentary'],"['BenjaminBergmann', 'JonoBergmann']","['KarolMartesko', 'BenjaminBergmann', 'JonoBergmann']","['May 13', '2022']",
104,My Best Summer,,,,,,,,
105,Ready or Not,,,,['Documentary'],"['DavidModigliani', 'PalomaMartinez']",,,
106,Jade Dynasty,,,,,,,,
107,Das perfekte Geheimnis,,,,,,,,
108,The Big Shot,,,,['Action'],['BaiWu'],,,
109,Hellboy,18,48,R,"['Fantasy', 'Adventure', 'Action']",['NeilMarshall'],"['LawrenceGordon', 'LloydLevin', 'MikeRichardson', 'PhilipWestgren', 'CarlHampe', 'JohnThompson', ""MatthewO'Toole"", 'LesWeldon', 'YarivLerner']","['Apr 12', '2019']",21.9M
110,Long Shot,81,74,R,"['Comedy', 'Romance']",['JonathanLevine'],"['CharlizeTheron', 'A.J.Dix', 'BethKono', 'EvanGoldberg', 'SethRogen', 'JamesWeaver']","['May 3', '2019']",30.3M
111,Kingdom,51,76,R,"['Mystery&thriller', 'Action', 'Drama']",['PeterBerg'],"['MichaelMann', 'ScottStuber']","['Sep 28', '2007']",47.5M
112,Breakthrough,63,79,PG,['Drama'],['RoxannDawson'],['DeVonFranklin'],"['Apr 17', '2019']",40.7M
113,Just Mercy,85,99,PG-13,['Drama'],['DestinDanielCretton'],"['GilNetter', 'AsherGoldstein', 'MichaelB.Jordan']","['Jan 10', '2020']",36.0M
114,Uncut Gems,92,52,R,"['Comedy', 'Mystery&thriller']","['BenSafdie', 'JoshuaSafdie']","['SebastianBear-McClard', 'OscarBoyson']","['Dec 25', '2019']",50.0M
115,21 Bridges,54,91,R,"['Drama', 'Crime', 'Action', 'Mystery&thriller']",['BrianKirk'],"['AnthonyRusso', 'JoeRusso', 'MikeLarocca', 'RobertSimonds', 'GigiPritzker', 'ChadwickBoseman', 'LoganColes']","['Nov 22', '2019']",28.5M
116,Song of Youth,,,,,,,,
117,The Grudge,20,23,R,"['Horror', 'Mystery&thriller']",['NicolasPesce'],"['SamRaimi', 'RobTapert', 'TakashigeIchise']","['Jan 3', '2020']",21.2M
118,Little,12,55,PG-13,['Comedy'],['KeenenIvoryWayans'],"['RickAlvarez', 'LeeR.Mayes', 'KeenenIvoryWayans', 'MarlonWayans', 'ShawnWayans', 'JoeRoth']","['Jul 14', '2006']",58.3M
119,Isn't It Romantic,70,47,PG-13,"['Comedy', 'Fantasy', 'Romance']",['ToddStrauss-Schulson'],"['GinaMatthews', 'GrantScharbo', 'ToddGarner']","['Feb 13', '2019']",48.8M
120,The Legend of Hei,,91,,"['Fantasy', 'Anime', 'Action']",['MTJJMutou'],"['FangbingCong', 'WenzhuoMa']",,
121,Countdown,26,72,PG-13,"['Horror', 'Comedy', 'Mystery&thriller']",['JustinDec'],"['JohnRickard', 'ZackSchiller', 'JohnMorris', 'SeanAnders']","['Oct 25', '2019']",25.6M
122,Midsommar,83,63,R,"['Horror', 'Mystery&thriller']",['AriAster'],"['PatrikAndersson', 'LarsKnudsen']","['Aug 30', '2019']",27.4M
123,Queen & Slim,83,92,R,"['Drama', 'Romance', 'Crime']",['MelinaMatsoukas'],"['JamesFrey', 'LenaWaithe', 'MelinaMatsoukas', 'MichelleKnudsen', 'AndrewColes', 'BradWeston', 'PamelaAbdy']","['Nov 27', '2019']",43.8M
124,47 Meters Down: Uncaged,45,68,PG-13,"['Adventure', 'Horror', 'Mystery&thriller']",['JohannesRoberts'],"['JamesHarris', 'MarkLane', 'RobertJones']","['Aug 16', '2019']",22.3M
125,Chasing the Dragon II: Wild Wild Bunch,78,58,,"['Drama', 'Crime', 'Action', 'Mystery&thriller']","['JingWong', 'JasonKwanChi-Yiu']",['JingWong'],"['Jun 7', '2019']",194.6K
126,Judy,82,85,PG-13,"['Drama', 'History', 'Biography', 'Music']",['RupertGoold'],['DavidLivingstone'],"['Sep 27', '2019']",24.3M
127,Child's Play,64,57,R,"['Horror', 'Mystery&thriller']",['LarsKlevberg'],"['DavidKatzenberg', 'SethGrahame-Smith']","['Jun 21', '2019']",29.2M
128,Richard Jewell,77,96,R,['Drama'],['ClintEastwood'],"['ClintEastwood', 'TimMoore', 'JessicaMeier', 'KevinMisher', 'LeonardoDiCaprio', 'JenniferDavissonKilloran', 'JonahHill']","['Dec 13', '2019']",22.3M
129,Harriet,73,97,PG-13,"['Drama', 'History', 'Biography']",['KasiLemmons'],"['GregoryAllenHoward', 'DanielaTaplinLundberg', 'DebraMartinChase']","['Nov 1', '2019']",43.0M
130,A Shaun the Sheep Movie: Farmageddon,96,80,G,"['Sci-fi', 'Adventure', 'Kids&family', 'Comedy', 'Animation']","['RichardPhelan', 'WillBecher']",['PaulKewley'],,
131,Fighting with My Family,93,86,PG-13,"['Drama', 'Biography', 'Comedy']",['StephenMerchant'],"['KevinMisher', 'DwayneJohnson', 'DanyGarcia', 'StephenMerchant', 'MichaelJ.Luisi']","['Feb 22', '2019']",23.0M
132,Masquerade Hotel,,,,,,,,
133,The Last Wish,,,,['Drama'],['Yu-shengTian'],,"['Sep 20', '2019']",
134,Uri: The Surgical Strike,,,,,,,,
135,Overcomer,56,98,PG,['Drama'],['AlexKendrick'],"['AaronBurns', 'StephenKendrick', 'JustinTolley']","['Aug 23', '2019']",34.7M
136,Pain and Glory,96,91,R,['Drama'],['PedroAlmodóvar'],"['AgustínAlmodóvar', 'EstherGarcía']","['Oct 4', '2019']",4.6M
137,A Witness Out of the Blue,,,,,,,,
138,The Intruder,33,68,PG-13,"['Drama', 'Mystery&thriller']",['DeonTaylor'],"['RoxanneAvent', 'DeonTaylor', 'MarkBurg', 'JonathanSchwartz', 'BradKaplan']","['May 3', '2019']",35.4M
139,The Queen's Corgi,0,34,PG,"['Kids&family', 'Animation', 'Comedy']","['VincentKesteloot', 'BenStassen']",,,
140,Warrior of the Hornor,,,,,,,,
141,The Battle: Roar to Victory,,100,,"['Drama', 'War']",['WonSinyeon'],['KimTae-won'],"['Aug 16', '2019']",
142,The Bad Guys: The Movie,,,,,,,,
143,The Good Liar,63,85,R,"['Drama', 'Crime', 'Mystery&thriller']",['BillCondon'],"['GregYolen', 'BillCondon']","['Nov 15', '2019']",17.1M
144,The Art of Racing in the Rain,44,96,PG,"['Drama', 'Comedy']",['SimonCurtis'],"['NealH.Moritz', 'PatrickDempsey', 'TaniaLandau']","['Aug 9', '2019']",26.4M
