,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,The Avengers,,,,['Adventure'],['JohnH.Auer'],,,
1,Skyfall,92,86,PG-13,"['Mystery&thriller', 'Action', 'Adventure']",['SamMendes'],"['MichaelG.Wilson', 'BarbaraBroccoli']","['Nov 9', '2012']",304.4M
2,The Dark Knight Rises,87,90,PG-13,"['Mystery&thriller', 'Fantasy', 'Action', 'Adventure']",['ChristopherNolan'],"['EmmaThomas', 'ChristopherNolan', 'CharlesRoven']","['Jul 20', '2012']",2
3,The Hobbit: An Unexpected Journey,64,83,PG-13,"['Fantasy', 'Adventure']",['PeterJackson'],"['CarolynneCunningham', 'ZaneWeiner', 'FranWalsh', 'PeterJackson']","['Dec 14', '2012']",303.0M
4,Ice Age 4: Continental Drift,37,62,PG,"['Adventure', 'Comedy', 'Kids&family', 'Animation']","['SteveMartino', 'MikeThurmeier']","['LoriForte', 'JohnC.Donkin']","['Jul 13', '2012']",
5,The Twilight Saga: Breaking Dawn - Part 2,49,70,PG-13,"['Romance', 'Fantasy']",['BillCondon'],"['WyckGodfrey', 'KarenRosenfelt', 'StephenieMeyer']","['Nov 16', '2012']",292.3M
6,The Amazing Spider-Man,72,77,PG-13,"['Mystery&thriller', 'Action', 'Adventure']",['MarcWebb'],"['LauraZiskin', 'AviArad', 'MatthewTolmach']","['Jul 3', '2012']",262.0M
7,Madagascar 3: Europe's Most Wanted,78,72,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['EricDarnell', 'TomMcGrath', 'ConradVernon']","['MireilleSoria', 'MarkSwift']","['Jun 8', '2012']",
8,The Hunger Games,84,81,PG-13,"['Action', 'Sci-fi', 'Adventure']",['GaryRoss'],"['NinaJacobson', 'JonKilik']","['Mar 23', '2012']",408.0M
9,Men in Black 3,68,70,PG-13,"['Sci-fi', 'Comedy', 'Action']",['BarrySonnenfeld'],"['WalterF.Parkes', 'LaurieMacDonald']","['May 25', '2012']",179.0M
10,Life of Pi,86,84,PG,"['Adventure', 'Drama']",['AngLee'],"['GilNetter', 'AngLee', 'DavidWomark']","['Nov 21', '2012']",125.0M
11,Ted,69,73,R,"['Fantasy', 'Comedy']",['SethMacFarlane'],"['ScottStuber', 'SethMacFarlane', 'JohnJacobs', 'JasonClark']","['Jun 29', '2012']",218.6M
12,Brave,78,75,PG,"['Adventure', 'Comedy', 'Kids&family', 'Animation']","['MarkAndrews', 'BrendaChapman']",['KatherineSarafian'],"['Jun 22', '2012']",
13,Wreck-It Ralph,87,86,PG,"['Adventure', 'Comedy', 'Kids&family', 'Animation']",['RichMoore'],['ClarkSpencer'],"['Nov 2', '2012']",189.4M
14,Les Misérables,70,79,PG-13,"['Drama', 'History', 'Musical']",['TomHooper'],"['TimBevan', 'EricFellner', 'DebraHayward', 'CameronMackintosh']","['Dec 25', '2012']",148.8M
15,Django Unchained,86,92,R,"['Drama', 'Western', 'Action']",['QuentinTarantino'],"['StaceySher', 'ReginaldHudlin', 'PilarSavone']","['Dec 25', '2012']",162.8M
16,Prometheus,73,68,R,"['Horror', 'Sci-fi', 'Mystery&thriller']",['RidleyScott'],"['RidleyScott', 'DavidGiler', 'WalterHill']","['Jun 8', '2012']",126.5M
17,Snow White and the Huntsman,49,52,PG-13,"['Fantasy', 'Action', 'Adventure']",['RupertSanders'],"['SamMercer', 'PalakPatel', 'JoeRoth']","['Jun 1', '2012']",155.1M
18,Taken 2,22,52,PG-13,"['Action', 'Mystery&thriller']",['OlivierMegaton'],['LucBesson'],"['Oct 5', '2012']",139.9M
19,Hotel Transylvania,45,71,PG,"['Kids&family', 'Fantasy', 'Comedy', 'Animation']",['GenndyTartakovsky'],['MichelleMurdocca'],"['Sep 28', '2012']",167.9M
20,Titanic 2012 3D Release,,,,,,,,
21,The Lorax,,83,,,['HawleyPratt'],,,
22,Journey 2: The Mysterious Island,45,59,PG,"['Fantasy', 'Adventure']",['BradPeyton'],"['BeauFlynn', 'TrippVinson', 'CharlotteHuggins']","['Feb 10', '2012']",103.8M
23,The Expendables 2,67,67,R,"['Adventure', 'Action']",['SimonWest'],"['LesWeldon', 'DannyLerner', 'KevinKingTempleton', 'AviLerner']","['Aug 17', '2012']",85.0M
24,Rise of the Guardians,75,80,PG,"['Kids&family', 'Fantasy', 'Animation', 'Adventure']",['PeterRamsey'],"['ChristinaSteinberg', 'NancyBernstein']","['Nov 21', '2012']",103.4M
25,Battleship,34,54,PG-13,"['Action', 'Sci-fi', 'Adventure']",['PeterBerg'],"['BrianGoldner', 'ScottStuber', 'PeterBerg', 'SarahAubrey', 'DuncanHenderson', 'BennettSchneir']","['May 18', '2012']",65.2M
26,Wrath of the Titans,26,49,PG-13,"['Adventure', 'Fantasy', 'Action']",['JonathanLiebesman'],"['BasilIwanyk', 'PollyJohnsen']","['Mar 30', '2012']",83.6M
27,John Carter,52,60,PG-13,"['Action', 'Sci-fi', 'Adventure']",['AndrewStanton'],"['JimMorris', 'ColinWilson', 'LindseyCollins']","['Mar 9', '2012']",73.1M
28,The Bourne Legacy,55,58,PG-13,"['Action', 'Mystery&thriller']",['TonyGilroy'],"['FrankMarshall', 'PatrickCrowley', 'JeffreyM.Weiner', 'BenSmith']","['Aug 10', '2012']",113.2M
29,Lincoln,,,,,,,,
30,We're the Millers,49,72,R,"['Comedy', 'Action']",['RawsonMarshallThurber'],"['VincentNewman', 'TuckerTooley', 'HappyWalters', 'ChrisBender']","['Aug 7', '2013']",150.4M
31,Dark Shadows,35,46,PG-13,"['Fantasy', 'Comedy']",['TimBurton'],"['TimBurton', 'RichardD.Zanuck', 'GrahamKing', 'JohnnyDepp', 'ChristiDembrowski', 'DavidKennedy']","['May 11', '2012']",79.7M
32,Resident Evil: Retribution,28,51,R,"['Horror', 'Action']",['PaulW.S.Anderson'],"['JeremyBolt', 'PaulW.S.Anderson', 'RobertKulzer', 'DonCarmody', 'SamuelHadida']","['Sep 14', '2012']",42.3M
33,Silver Linings Playbook,92,86,R,"['Romance', 'Comedy', 'Drama']",['DavidO.Russell'],"['DonnaGigliotti', 'BruceCohen', 'JonathanGordon']","['Nov 21', '2012']",132.1M
34,American Reunion,45,63,R,['Comedy'],"['JonHurwitz', 'HaydenSchlossberg']","['CraigPerry', 'WarrenZide', 'ChrisMoore', 'AdamHerz']","['Apr 6', '2012']",3.1M
35,Argo,96,90,R,"['Drama', 'History', 'Mystery&thriller']",['BenAffleck'],"['GrantHeslov', 'BenAffleck', 'GeorgeClooney']","['Oct 12', '2012']",136.0M
36,Jack Reacher,63,67,PG-13,"['Action', 'Mystery&thriller']",['ChristopherMcQuarrie'],"['TomCruise', 'DonGranger', 'PaulaWagner', 'GaryLevinsohn']","['Dec 21', '2012']",54.6M
37,Safe House,53,63,R,"['Action', 'Mystery&thriller']",['DanielEspinosa'],['ScottStuber'],"['Feb 10', '2012']",126.1M
38,21 Jump Street,85,82,R,"['Comedy', 'Action']","['PhilLord', 'ChrisMiller']","['NealH.Moritz', 'StephenJ.Cannell']","['Mar 16', '2012']",138.4M
39,Total Recall,31,47,PG-13,"['Action', 'Sci-fi', 'Adventure']",['LenWiseman'],"['NealH.Moritz', 'TobyJaffe']","['Aug 3', '2012']",58.9M
40,The Impossible,81,84,PG-13,['Drama'],['JuanAntonioBayona'],"['BelénAtienza', 'ÁlvaroAugustin', 'GhislainBarrois', 'EnriqueLópezLavigne']","['Dec 21', '2012']",19.0M
41,Lost in Thailand,67,49,,['Comedy'],['ZhengXu'],"['Chi-LeungChan', 'AbeKwongMan-Wai', 'ZhengXu']",,57.4K
42,The Vow,,100,,['Drama'],['HenrykSzabo'],,,
43,Mirror Mirror,50,46,PG,"['Adventure', 'Fantasy', 'Kids&family', 'Comedy']",['Tarsem'],"['BernieGoldmann', 'RyanKavanaugh', 'BrettRatner']","['Mar 30', '2012']",64.9M
44,The Dictator,57,44,R,['Comedy'],['LarryCharles'],"['SachaBaronCohen', 'AlecBerg', 'DavidMandel', 'JeffSchaffer', 'AnthonyHines', 'ScottRudin', 'ToddSchulman']","['May 16', '2012']",59.6M
45,Looper,93,82,R,"['Action', 'Sci-fi', 'Mystery&thriller']",['RianJohnson'],"['RamBergman', 'JamesD.Stern']","['Sep 28', '2012']",66.3M
46,Chinese Zodiac,25,45,PG-13,"['Comedy', 'Action']",['JackieChan'],,,
47,Magic Mike,79,60,R,"['Drama', 'Comedy']",['StevenSoderbergh'],"['NickWechsler', 'GregoryJacobs', 'ChanningTatum', 'ReidCarolin']","['Jun 29', '2012']",113.7M
48,Flight,77,75,R,"['Drama', 'Mystery&thriller']",['RobertZemeckis'],"['WalterF.Parkes', 'LaurieMacDonald', 'SteveStarkey', 'RobertZemeckis', 'JackRapke']","['Nov 2', '2012']",93.7M
49,Underworld: Awakening,26,62,R,"['Horror', 'Fantasy', 'Action']","['MånsMårlind', 'BjörnStein']","['TomRosenberg', 'GaryLucchesi', 'LenWiseman', 'RichardS.Wright']","['Jan 20', '2012']",62.3M
50,This Means War,26,56,PG-13,"['Comedy', 'Action']",['McG'],"['RobertSimonds', 'JamesLassiter', 'WillSmith', 'SimonKinberg']","['Feb 17', '2012']",54.8M
51,Paranormal Activity 4,23,34,R,"['Mystery&thriller', 'Horror']","['HenryJoost', 'ArielSchulman']","['JasonBlum', 'OrenPeli']","['Oct 18', '2012']",53.9M
