,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
19,19,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,38.8,209584693,61.2,12.0,51.0,G,MikeMitchell,"JaniceKarman,RossBagdasarianJr.",12-16-2011,133100000.0,4.3,34622,movie,Alvin and the Chipmunks: Chipwrecked,0,2011,87,"Adventure,Animation,Comedy"
20,20,Real Steel,299268508,85468508,28.6,213800000,71.4,60.0,73.0,PG-13,ShawnLevy,"DonMurphy,SusanMontford,ShawnLevy",10-7-2011,85500000.0,7.1,319842,movie,Real Steel,0,2011,127,"Action,Drama,Sci-Fi"
21,21,Bridesmaids,288383523,169106725,58.6,119276798,41.4,90.0,76.0,R,PaulFeig,"JuddApatow,ClaytonTownsend,BarryMendel",5-13-2011,169100000.0,6.8,286618,movie,Bridesmaids,0,2011,125,"Comedy,Romance"
22,22,Super 8,260095986,127004179,48.8,133091807,51.2,81.0,75.0,PG-13,J.J.Abrams,"StevenSpielberg,J.J.Abrams,BryanBurk",6-10-2011,127000000.0,7.0,350145,movie,Super 8,0,2011,112,"Action,Mystery,Sci-Fi"
23,23,Rango,245724603,123477607,50.3,122246996,49.7,88.0,69.0,PG,GoreVerbinski,"GoreVerbinski,GrahamKing,JohnB.Carls",3-4-2011,,7.2,256164,movie,Rango,0,2011,107,"Action,Adventure,Animation"
24,24,The Girl with the Dragon Tattoo,232617430,102515793,44.1,130101637,55.9,86.0,86.0,R,DavidFincher,"ScottRudin,OleSøndberg,SørenStærmose,CeánChaffin",12-20-2011,102500000.0,7.8,453469,movie,The Girl with the Dragon Tattoo,0,2011,158,"Crime,Drama,Mystery"
25,25,The Green Hornet,227817248,98780042,43.4,129037206,56.6,44.0,43.0,PG-13,MichelGondry,NealH.Moritz,1-14-2011,98800000.0,5.8,159609,movie,The Green Hornet,0,2011,119,"Action,Comedy,Crime"
26,26,Immortals,226904017,83504017,36.8,143400000,63.2,48.0,49.0,R,Tarsem,"GianniNunnari,MarkCanton,RyanKavanaugh",11-11-2011,83500000.0,6.0,166785,movie,Immortals,0,2011,110,"Action,Drama,Fantasy"
27,27,Green Lantern,219851172,116601172,53,103250000,47.0,26.0,45.0,PG-13,MartinCampbell,"DonaldDeLine,GregBerlanti",6-17-2011,116600000.0,5.5,280813,movie,Green Lantern,0,2011,114,"Action,Adventure,Sci-Fi"
28,28,The Help,216639112,169708112,78.3,46931000,21.7,76.0,89.0,PG-13,TateTaylor,"BrunsonGreen,ChrisColumbus,MichaelBarnathan",8-10-2011,169700000.0,8.1,447542,movie,The Help,0,2011,146,Drama
29,29,Bad Teacher,216197492,100292856,46.4,115904636,53.6,45.0,36.0,R,JakeKasdan,"JimmyMiller,DavidB.Householter",6-24-2011,100300000.0,5.7,201254,movie,Bad Teacher,0,2011,92,"Comedy,Romance"
30,30,Just Go with It,214945591,103028109,47.9,111917482,52.1,19.0,59.0,PG-13,DennisDugan,"AdamSandler,JackGiarraputo,HeatherParry",2-11-2011,103000000.0,6.4,238119,movie,Just Go with It,0,2011,117,"Comedy,Romance"
31,31,Battle Los Angeles,211819354,83552429,39.4,128266925,60.6,37.0,48.0,PG-13,JonathanLiebesman,"NealH.Moritz,OriMarmur",3-11-2011,83600000.0,5.7,178889,movie,Battle: Los Angeles,0,2011,116,"Action,Sci-Fi"
32,32,Horrible Bosses,209838559,117538559,56,92300000,44.0,69.0,70.0,R,SethGordon,"BrettRatner,JayStern",7-8-2011,117500000.0,6.9,441017,movie,Horrible Bosses,0,2011,98,"Comedy,Crime"
33,33,Paranormal Activity 3,207039844,104028807,50.2,103011037,49.8,66.0,51.0,R,"HenryJoost,ArielSchulman","JasonBlum,OrenPeli",10-21-2011,104000000.0,5.8,94086,movie,Paranormal Activity 3,0,2011,83,"Horror,Mystery"
34,34,Gnomeo & Juliet,193967670,99967670,51.5,94000000,48.5,55.0,54.0,G,KellyAsbury,"DavidFurnish,SteveHamiltonShaw,BakerBloodworth",2-11-2011,,5.9,55281,movie,Gnomeo & Juliet,0,2011,84,"Adventure,Animation,Comedy"
35,35,Mr. Popper's Penguins,187361754,68224452,36.4,119137302,63.6,47.0,53.0,PG,MarkWaters,JohnDavis,6-17-2011,68200000.0,6.0,94942,movie,Mr. Popper's Penguins,0,2011,94,"Comedy,Family,Fantasy"
36,36,Hugo,185770160,73864507,39.8,111905653,60.2,93.0,78.0,PG,MartinScorsese,"GrahamKing,TimHeadington,MartinScorsese,JohnnyDepp",11-23-2011,73800000.0,7.5,318539,movie,Hugo,0,2011,126,"Adventure,Drama,Family"
37,37,Hop,183953723,108085305,58.8,75868418,41.2,24.0,53.0,PG,TimHill,"ChristopherMeledandri,MicheleImperato",4-1-2011,108000000.0,5.4,33553,movie,Hop,0,2011,95,"Adventure,Animation,Comedy"
38,38,War Horse,177584879,79884879,45,97700000,55.0,75.0,74.0,PG-13,StevenSpielberg,"StevenSpielberg,KathleenKennedy",12-25-2011,79900000.0,7.2,155131,movie,War Horse,0,2011,146,"Action,Adventure,Drama"
39,39,The Descendants,177243185,82584160,46.6,94659025,53.4,87.0,79.0,R,AlexanderPayne,"JimBurke,AlexanderPayne,JimTaylor",11-23-2011,82600000.0,7.3,239958,movie,The Descendants,0,2011,115,"Comedy,Drama"
40,40,Cowboys & Aliens,174822325,100240551,57.3,74581774,42.7,44.0,43.0,PG-13,JonFavreau,"BrianGrazer,RonHoward,AlexKurtzman,RobertoOrci,ScottMitchellRosenberg",7-29-2011,100200000.0,6.0,218086,movie,Cowboys & Aliens,0,2011,119,"Action,Sci-Fi,Thriller"
41,41,In Time,173930596,37520095,21.6,136410501,78.4,37.0,51.0,PG-13,AndrewNiccol,"AndrewNiccol,EricNewman,MarcAbraham",10-28-2011,37600000.0,6.7,399985,movie,In Time,0,2011,109,"Action,Sci-Fi,Thriller"
42,42,Zookeeper,169852759,80360843,47.3,89491916,52.7,14.0,41.0,PG,FrankCoraci,"ToddGarner,KevinJames,AdamSandler,JackGiarraputo,WaltBecker",7-8-2011,80400000.0,5.2,60695,movie,Zookeeper,0,2011,102,"Comedy,Family,Fantasy"
43,43,The Muppets,165184237,88631237,53.7,76553000,46.3,95.0,80.0,PG,JamesBobin,"DavidHoberman,ToddLieberman",11-23-2011,88600000.0,7.1,91474,movie,The Muppets,0,2011,120,"Adventure,Comedy,Family"
44,44,Limitless,161849455,79249455,49,82600000,51.0,69.0,74.0,PG-13,NeilBurger,"LeslieDixon,ScottKroopf,RyanKavanaugh",3-18-2011,79200000.0,7.4,558787,movie,Limitless,0,2011,105,"Sci-Fi,Thriller"
45,45,Johnny English Reborn,160078586,8305970,5.2,151772616,94.8,38.0,45.0,PG,OliverParker,"TimBevan,EricFellner,ChrisClark",10-21-2011,8300000.000000001,6.3,128391,movie,Johnny English Reborn,0,2011,101,"Action,Adventure,Comedy"
46,46,Happy Feet Two,159196259,64006466,40.2,95189793,59.8,45.0,60.0,PG,GeorgeMiller,"GeorgeMiller,DougMitchell,BillMiller",11-18-2011,64000000.0,5.9,44353,movie,Happy Feet Two,0,2011,117,"Adventure,Animation,Comedy"
