movie,startdate,releasedate,Text,mean_google_trend_popularity
"As Above, So Below",2014-08-22,2014-08-29,,20.625
This Is Where I Leave You,2014-09-12,2014-09-19,,38.75
The November Man,2014-08-20,2014-08-27,,41.625
Sin City: A Dame to Kill For,2014-08-15,2014-08-22,,49.375
The Gambler,2014-12-18,2014-12-25,,25.5
Samba,2015-07-17,2015-07-24,,94.0
Women Who Flirt,2014-11-19,2014-11-26,,34.0
The Best of Me,2014-10-10,2014-10-17,,50.25
Million Dollar Arm,2014-05-09,2014-05-16,,66.875
The Water Diviner,2015-04-17,2015-04-24,,70.625
But Always,2014-08-29,2014-09-05,,83.125
Devil's Due,2014-01-10,2014-01-17,,45.375
A Most Wanted Man,2014-07-25,2014-08-01,,61.5
When Marnie Was There,2015-05-15,2015-05-22,,49.125
Endless Love,2014-02-07,2014-02-14,,45.375
Get on Up,2014-07-25,2014-08-01,,45.5
Girls,2004-04-23,2004-04-30,,77.875
Winter's Tale,2014-02-07,2014-02-14,,39.5
Wild Tales,2015-02-13,2015-02-20,,53.125
When the Game Stands Tall,2014-08-15,2014-08-22,,38.5
Draft Day,2014-04-04,2014-04-11,,64.625
Big Eyes,2014-12-18,2014-12-25,,48.375
Maya the Bee Movie,2015-04-24,2015-05-01,,56.0
Left Behind,2014-09-26,2014-10-03,,41.875
A Hard Day,2015-07-10,2015-07-17,,71.375
Top Five,2014-12-05,2014-12-12,,45.5
Iceman,2019-03-08,2019-03-15,,85.25
"Love, Rosie",2015-01-30,2015-02-06,,68.25
A Haunted House 2,2014-04-11,2014-04-18,,39.875
And So It Goes,2014-07-18,2014-07-25,,28.75
Fading Gigolo,2014-04-11,2014-04-18,,46.125
