movie,startdate,releasedate,Text,mean_google_trend_popularity
Frozen,2013-11-20,2013-11-27,,59.0
Iron Man 3,2013-04-26,2013-05-03,,81.625
Despicable Me 2,2013-06-26,2013-07-03,,55.125
The Hobbit: The Desolation of Smaug,2013-12-06,2013-12-13,,42.625
The Hunger Games: Catching Fire,2013-11-15,2013-11-22,,46.625
Fast & Furious 6,2013-05-17,2013-05-24,,55.125
Monsters University,2013-06-14,2013-06-21,,41.125
Gravity,2013-09-27,2013-10-04,,49.5
Man of Steel,2013-06-07,2013-06-14,,35.125
Thor: The Dark World,2013-11-01,2013-11-08,,68.5
The Croods,2013-03-15,2013-03-22,,53.375
World War Z,2013-06-14,2013-06-21,,38.25
Oz the Great and Powerful,2013-03-01,2013-03-08,,40.875
Star Trek Into Darkness,2013-05-09,2013-05-16,,68.25
The Wolverine,2013-07-19,2013-07-26,,39.125
Pacific Rim,2013-07-05,2013-07-12,,36.375
The Wolf of Wall Street,2013-12-18,2013-12-25,,46.0
G.I. Joe: Retaliation,2013-03-21,2013-03-28,,46.0
The Hangover Part III,2013-05-16,2013-05-23,,39.75
The Great Gatsby,2013-05-03,2013-05-10,,49.875
Now You See Me,2013-05-24,2013-05-31,,37.0
The Smurfs 2,2013-07-24,2013-07-31,,54.25
The Conjuring,2013-07-12,2013-07-19,,35.125
A Good Day to Die Hard,2013-02-07,2013-02-14,,47.5
Oblivion,2013-04-12,2013-04-19,,70.625
Elysium,2013-08-02,2013-08-09,,43.375
Turbo,2013-07-10,2013-07-17,,88.75
Cloudy with a Chance of Meatballs 2,2013-09-20,2013-09-27,,52.0
Epic,2013-05-17,2013-05-24,,75.5
The Lone Ranger,2013-06-26,2013-07-03,,44.75
American Hustle,2013-12-13,2013-12-20,,74.0
Grown Ups 2,2013-07-05,2013-07-12,,38.375
After Earth,2013-05-24,2013-05-31,,41.0
Planes,2013-08-02,2013-08-09,,69.375
Hansel & Gretel: Witch Hunters,2013-01-18,2013-01-25,,50.0
Captain Phillips,2013-10-04,2013-10-11,,44.5
White House Down,2013-06-21,2013-06-28,,37.5
Percy Jackson: Sea of Monsters,2013-07-31,2013-08-07,,49.125
Jack the Giant Slayer,2013-02-22,2013-03-01,,31.375
12 Years a Slave,2013-10-11,2013-10-18,,38.0
Lee Daniels' The Butler,2013-08-09,2013-08-16,,49.875
Identity Thief,2013-02-01,2013-02-08,,38.875
Anchorman 2: The Legend Continues,2013-12-11,2013-12-18,,37.125
Olympus Has Fallen,2013-03-15,2013-03-22,,40.125
Insidious: Chapter 2,2013-09-06,2013-09-13,,30.625
Lone Survivor,2014-01-03,2014-01-10,,68.75
Jackass Presents: Bad Grandpa,2013-10-18,2013-10-25,,49.25
