movie,startdate,releasedate,Text,mean_google_trend_popularity
47 Ronin,2013-12-18,2013-12-25,,42.5
RED 2,2013-07-12,2013-07-19,,65.75
Mama,2013-01-11,2013-01-18,,67.375
Escape Plan,2013-10-11,2013-10-18,,49.0
2 Guns,2013-07-26,2013-08-02,,41.25
This Is the End,2013-06-05,2013-06-12,,38.25
Ender's Game,2013-10-25,2013-11-01,,40.5
Prisoners,2013-09-13,2013-09-20,,41.875
Saving Mr. Banks,2013-12-13,2013-12-20,,77.875
Warm Bodies,2013-01-25,2013-02-01,,48.0
Personal Tailor,2013-12-13,2013-12-20,,45.25
Free Birds,2013-10-25,2013-11-01,,49.375
Gangster Squad,2013-01-04,2013-01-11,,41.0
Instructions Not Included,2013-08-23,2013-08-30,,27.625
Philomena,2013-11-15,2013-11-22,,69.5
Blue Jasmine,2013-07-19,2013-07-26,,38.25
Riddick,2013-08-30,2013-09-06,,50.5
Safe Haven,2013-02-07,2013-02-14,,51.25
Evil Dead,2013-03-29,2013-04-05,,42.875
42,2013-04-05,2013-04-12,,77.25
The Mortal Instruments: City of Bones,2013-08-14,2013-08-21,,50.375
Rush,2013-09-20,2013-09-27,,80.5
Police Story: Lockdown,2015-05-29,2015-06-05,,47.125
The Internship,2013-05-31,2013-06-07,,41.5
The Purge,2013-05-31,2013-06-07,,40.0
Dhoom 3,2013-12-13,2013-12-20,,23.375
Pain & Gain,2013-04-19,2013-04-26,,45.375
About Time,2013-11-01,2013-11-08,,85.125
Snowpiercer,2014-06-20,2014-06-27,,43.375
Carrie,2013-10-11,2013-10-18,,69.625
The Family,2013-09-06,2013-09-13,,81.25
Scary Movie V,2013-04-05,2013-04-12,,44.5
R.I.P.D.,2013-07-12,2013-07-19,,48.875
Tiny Times,2013-07-19,2013-07-26,,63.0
The Book Thief,2013-11-01,2013-11-08,,61.625
Escape from Planet Earth,2013-02-08,2013-02-15,,31.125
August: Osage County,2014-01-03,2014-01-10,,60.5
The Best Man Holiday,2013-11-08,2013-11-15,,34.0
The Counselor,2013-10-18,2013-10-25,,44.125
The Call,2013-03-08,2013-03-15,,79.75
One Direction: This Is Us,2013-08-23,2013-08-30,,56.125
Thunder and the House of Magic,2014-08-29,2014-09-05,,45.5
The Grandmaster,2013-08-16,2013-08-23,,49.125
Side Effects,2013-02-01,2013-02-08,,88.25
The Host,2020-01-10,2020-01-17,,93.375
Runner Runner,2013-09-27,2013-10-04,,84.5
The Face Reader,2013-09-27,2013-10-04,,54.5
The Legend of Hercules,2014-01-03,2014-01-10,,39.625
Kick-Ass 2,2013-08-09,2013-08-16,,49.25
A Haunted House,2013-01-04,2013-01-11,,45.875
Beautiful Creatures,2013-02-07,2013-02-14,,59.5
Snitch,2013-02-15,2013-02-22,,48.25
The Physician,2014-11-28,2014-12-05,,82.5
Dallas Buyers Club,2013-10-25,2013-11-01,,37.125
A Madea Christmas,2013-12-06,2013-12-13,,39.5
Temptation: Confessions of a Marriage Counselor,2013-03-22,2013-03-29,,41.75
Delivery Man,2013-11-15,2013-11-22,,46.0
Dragon Ball Z: Battle of Gods,2014-07-29,2014-08-05,,46.875
The Berlin File,2013-02-08,2013-02-15,,38.125
Her,2014-01-03,2014-01-10,,90.25
Homefront,2013-11-20,2013-11-27,,59.375
The Last Stand,2013-01-11,2013-01-18,,44.625
21 & Over,2013-02-22,2013-03-01,,52.75
Texas Chainsaw,2012-12-28,2013-01-04,,42.75
The Place Beyond the Pines,2013-03-22,2013-03-29,,58.625
Parker,2013-01-18,2013-01-25,,86.875
The Big Wedding,2013-04-19,2013-04-26,,45.125
The World's End,2013-08-16,2013-08-23,,36.25
Grudge Match,2013-12-18,2013-12-25,,40.625
Tarzan,2014-05-02,2014-05-09,,77.5
Jobs,2013-08-09,2013-08-16,,88.125
No Man's Land,2021-01-15,2021-01-22,,52.25
Don Jon,2013-09-20,2013-09-27,,45.75
"Like Father, Like Son",2014-01-10,2014-01-17,,59.125
The Terror Live,2013-08-02,2013-08-09,,32.0
Hide and Seek,2021-11-12,2021-11-19,,76.75
Broken City,2013-01-11,2013-01-18,,44.875
Inside Llewyn Davis,2013-12-13,2013-12-20,,79.875
Mud,2013-05-03,2013-05-10,,74.75
Kevin Hart: Let Me Explain,2013-06-26,2013-07-03,,34.125
Underdogs,2013-10-25,2013-11-01,,56.375
Spring Breakers,2013-03-08,2013-03-15,,68.0
New World,2013-03-15,2013-03-22,,95.625
Special ID,2014-02-28,2014-03-07,,75.375
I Give It a Year,2013-08-02,2013-08-09,,67.375
Mandela: Long Walk to Freedom,2013-12-18,2013-12-25,,70.5
Dark Skies,2013-02-15,2013-02-22,,44.0
Nebraska,2013-11-08,2013-11-15,,69.0
The Incredible Burt Wonderstone,2013-03-08,2013-03-15,,40.75
Khumba,2013-11-29,2013-12-06,,62.75
You're Next,2013-08-16,2013-08-23,,31.375
The Way Way Back,2013-07-19,2013-07-26,,81.75
Unbeatable,2009-06-05,2009-06-12,,64.0
Enough Said,2013-09-11,2013-09-18,,42.25
The Last Exorcism Part II,2013-02-22,2013-03-01,,40.25
Drug War,2013-07-19,2013-07-26,,68.5
The Tale of The Princess Kaguya,2014-10-10,2014-10-17,,35.125
Trance,2013-03-29,2013-04-05,,75.375
The Railway Man,2014-04-04,2014-04-11,,52.125
Baggage Claim,2013-09-20,2013-09-27,,34.0
