,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Star Wars: Episode VIII - The Last Jedi,,,,,,,,
1,Beauty and the Beast,71,80,PG,"['Fantasy', 'Musical', 'Kids&family', 'Romance']",['BillCondon'],"['DavidHoberman', 'ToddLieberman']","['Mar 17', '2017']",504.0M
2,The Fate of the Furious,67,72,PG-13,"['Adventure', 'Action', 'Mystery&thriller']",['F.GaryGray'],"['NealH.Moritz', 'VinDiesel', 'MichaelFottrell', 'ChrisMorgan']","['Apr 14', '2017']",225.7M
3,Despicable Me 3,59,53,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['PierreCoffin', 'KyleBalda']","['ChristopherMeledandri', 'JanetHealy']","['Jun 30', '2017']",264.6M
4,Jumanji: Welcome to the Jungle,76,87,PG-13,"['Fantasy', 'Comedy', 'Action', 'Adventure']",['JakeKasdan'],"['MatthewTolmach', 'WilliamTeitler']","['Dec 20', '2017']",404.6M
5,Spider-Man: Homecoming,92,87,PG-13,"['Adventure', 'Comedy', 'Action', 'Fantasy']",['JonWatts'],"['AmyPascal', 'KevinFeige']","['Jul 7', '2017']",334.4M
6,Wolf Warrior 2,69,75,,"['Action', 'Adventure']",['JingWu'],,"['Jul 28', '2017']",2.7M
7,Guardians of the Galaxy Vol. 2,85,87,PG-13,"['Fantasy', 'Sci-fi', 'Adventure', 'Comedy', 'Action']",['JamesGunn'],['KevinFeige'],"['May 5', '2017']",389.8M
8,Thor: Ragnarok,93,87,PG-13,"['Adventure', 'Action', 'Comedy', 'Fantasy', 'Sci-fi']",['TaikaWaititi'],['KevinFeige'],"['Nov 3', '2017']",315.0M
9,Wonder Woman,93,83,PG-13,"['Fantasy', 'Action', 'Adventure']",['PattyJenkins'],"['CharlesRoven', 'DeborahSnyder', 'ZackSnyder', 'RichardSuckle']","['Jun 2', '2017']",412.8M
10,Coco,97,94,PG,"['Animation', 'Comedy', 'Adventure', 'Music']",['LeeUnkrich'],['DarlaK.Anderson'],"['Nov 22', '2017']",210.5M
11,Pirates of the Caribbean: Dead Men Tell No Tales,30,60,PG-13,"['Adventure', 'Fantasy', 'Action']","['JoachimRønning', 'EspenSandberg']",['JerryBruckheimer'],"['May 26', '2017']",172.5M
12,It,,,,,,,,
13,Justice League,39,68,PG-13,"['Fantasy', 'Action', 'Adventure']",['ZackSnyder'],"['CharlesRoven', 'DeborahSnyder', 'JonBerg', 'GeoffJohns']","['Nov 17', '2017']",227.0M
14,Logan,94,90,R,"['Fantasy', 'Action', 'Adventure']",['JamesMangold'],"['HutchParker', 'SimonKinberg', 'LaurenShulerDonner']","['Mar 3', '2017']",226.3M
15,Transformers: The Last Knight,15,43,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['MichaelBay'],"['DonMurphy', 'TomDeSanto', 'LorenzodiBonaventura', 'IanBryce']","['Jun 21', '2017']",130.1M
16,Kong: Skull Island,75,69,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['JordanVogt-Roberts'],"['JonJashni', 'AlexGarcia', 'ThomasTull', 'MaryParent']","['Mar 10', '2017']",168.0M
17,The Boss Baby,53,51,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['TomMcGrath'],['RamseyAnnNaito'],"['Mar 31', '2017']",174.9M
18,Dunkirk,92,81,PG-13,"['War', 'History', 'Drama']",['ChristopherNolan'],"['EmmaThomas', 'ChristopherNolan']","['Jul 21', '2017']",188.0M
19,War for the Planet of the Apes,94,84,PG-13,"['Action', 'Sci-fi', 'Adventure']",['MattReeves'],"['PeterChernin', 'DylanClark', 'RickJaffa', 'AmandaSilver']","['Jul 14', '2017']",146.8M
20,The Greatest Showman,56,86,PG,"['Biography', 'History', 'Musical', 'Drama']",['MichaelGracey'],"['LaurenceMark', 'PeterChernin', 'JennoTopping']","['Dec 20', '2017']",174.0M
21,Kingsman: The Golden Circle,50,64,R,"['Comedy', 'Action', 'Adventure']",['MatthewVaughn'],"['MatthewVaughn', 'DavidReid', 'AdamBohling']","['Sep 22', '2017']",100.2M
22,The Mummy,16,35,PG-13,"['Fantasy', 'Adventure', 'Horror', 'Action']",['AlexKurtzman'],"['AlexKurtzman', 'ChrisMorgan', 'SeanDaniel', 'SarahBradshaw']","['Jun 9', '2017']",80.1M
23,Cars 3,69,69,G,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['BrianFee'],['KevinReher'],"['Jun 16', '2017']",152.9M
24,Fifty Shades Darker,11,48,R,"['Drama', 'Romance']",['JamesFoley'],"['MichaelDeLuca', 'E.L.James', 'DanaBrunetti', 'MarcusViscidi']","['Feb 10', '2017']",114.4M
25,Murder on the Orient Express,90,78,PG,['Mystery&thriller'],['SidneyLumet'],"['JohnBrabourne', 'RichardGoodwin']","['Nov 24', '1974']",
26,xXx: Return of Xander Cage,45,37,PG-13,"['Adventure', 'Action', 'Mystery&thriller']",['D.J.Caruso'],"['JoeRoth', 'JeffKirschenbaum', 'VinDiesel', 'SamanthaVincent']","['Jan 20', '2017']",44.9M
27,Never Say Die,,43,,['Comedy'],['YangSong'],,,680.0K
28,The Lego Batman Movie,90,80,PG,"['Adventure', 'Kids&family', 'Comedy', 'Animation', 'Action']",['ChrisMcKay'],"['DanLin', 'PhilLord', 'ChrisMiller', 'RoyLee']","['Feb 10', '2017']",175.7M
29,The Ex-File 3: The Return of The Exes,,46,,"['Comedy', 'Romance']",['Yu-shengTian'],,"['Dec 29', '2017']",805.0K
30,Annabelle: Creation,71,67,R,"['Horror', 'Mystery&thriller']",['DavidF.Sandberg'],"['PeterSafran', 'JamesWan']","['Aug 11', '2017']",102.1M
31,Wonder,86,88,PG,['Drama'],['StephenChbosky'],"['DavidHoberman', 'ToddLieberman']","['Nov 17', '2017']",132.4M
32,Ferdinand,72,51,PG,"['Adventure', 'Comedy', 'Kids&family', 'Animation']",['CarlosSaldanha'],"['BruceAnderson', 'JohnDavis', 'LoriForte', 'LisaMarieStetler']","['Dec 15', '2017']",84.2M
33,Split,,51,,"['Comedy', 'Romance']",['JamieBuckner'],"['JamieBuckner', 'LymanCreason', 'LauraMorton', 'ElizabethSorrell']",,
34,Blade Runner 2049,88,81,R,"['Sci-fi', 'Mystery&thriller']",['DenisVilleneuve'],"['AndrewA.Kosove', 'BroderickJohnson', 'BudYorkin', 'CynthiaSikesYorkin']","['Oct 6', '2017']",91.5M
35,Kung Fu Yoga,48,37,,"['Sports&fitness', 'Comedy', 'Action', 'Adventure']",['StanleyTong'],"['BarbieTung', 'StanleyTong']","['Jan 27', '2017']",357.3K
36,Get Out,98,86,R,"['Horror', 'Comedy', 'Mystery&thriller']",['JordanPeele'],"['SeanMcKittrick', 'JasonBlum', 'TedHamm', 'JordanPeele']","['Feb 24', '2017']",176.0M
