,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
89,The Last Exorcism,72,35,PG-13,"['Horror', 'Mystery&thriller']",['DanielStamm'],"['EliRoth', 'EricNewman', 'MarcAbraham', 'ThomasA.Bliss']","['Aug 27', '2010']",41.0M
90,Takers,28,62,PG-13,"['Drama', 'Mystery&thriller', 'Action', 'Crime']",['JohnLuessenhop'],"['WillPacker', 'T.I.', 'JasonGeter']","['Aug 27', '2010']",57.7M
91,Bestseller,,,,,,,,
92,Legion,,17,TV14,['Sci-fi'],['JonHess'],['AviNesher'],,
93,The American,86,,,['Documentary'],"['UdiAloni', '']","['UdiAloni', '']","['Jun 19', '2020']",
94,The Next Three Days,50,66,PG-13,"['Drama', 'Action', 'Crime', 'Mystery&thriller']",['PaulHaggis'],"['PaulHaggis', 'MichaelNozik', 'OlivierDelbosc', 'MarcMissonnier']","['Nov 19', '2010']",21.1M
95,Skyline,15,18,PG-13,"['Sci-fi', 'Mystery&thriller']","['ColinStrause', 'GregStrause']","['ColinStrause', 'GregStrause', 'KristianJamesAndresen', ""LiamO'Donnell""]","['Nov 12', '2010']",21.4M
96,Hot Tub Time Machine,64,56,R,"['Fantasy', 'Comedy']",['StevePink'],"['JohnCusack', 'GraceLoh', 'MattMoore']","['Mar 26', '2010']",50.2M
97,Elite Squad 2: The Enemy Within,,,,,,,,
98,Devil,49,43,PG-13,"['Horror', 'Mystery&thriller']",['JohnErickDowdle'],"['M.NightShyamalan', 'SamMercer']","['Sep 17', '2010']",33.6M
99,127 Hours,93,85,R,"['Drama', 'Biography']",['DannyBoyle'],"['ChristianColson', 'DannyBoyle', 'JohnSmithson']","['Jan 28', '2011']",18.3M
100,Why Did I Get Married Too?,27,68,PG-13,"['Romance', 'Comedy', 'Drama']",['TylerPerry'],"['TylerPerry', 'ReubenCannon']","['Apr 2', '2010']",60.1M
101,The Ghost Writer,84,70,PG-13,"['Drama', 'Mystery&thriller']",['RomanPolanski'],"['RomanPolanski', 'RobertBenmussa', 'AlainSarde']","['Mar 19', '2010']",15.5M
102,Secretariat,64,76,PG,"['Drama', 'Biography']",['RandallWallace'],"['MarkCiardi', 'GordonGray']","['Oct 8', '2010']",59.7M
103,Morning Glory,55,51,PG-13,"['Comedy', 'Romance']",['RogerMichell'],"['J.J.Abrams', 'BryanBurk']","['Nov 10', '2010']",31.0M
104,Green Zone 2010 Re-release,,,,,,,,
105,Remember Me,,78,,"['Drama', 'Romance', 'Comedy']",['MartínRosete'],"['DavidNaranjo', 'MartínRosete', 'AtitShah', 'GonzaloSalazar-Simpson']",,
106,Cop Out,18,39,R,"['Drama', 'Comedy', 'Action', 'Crime']",['KevinSmith'],"['MarcPlatt', 'MichaelTadross', 'PollyJohnsen']","['Feb 26', '2010']",44.9M
107,Veda - Atatürk,,67,,"['Sci-fi', 'Animation']",['MokonaApapa'],,,
108,The Crazies,71,56,R,"['Horror', 'Mystery&thriller']",['BreckEisner'],"['RobCowan', 'MichaelAguilar', 'DeanGeorgaris']","['Feb 26', '2010']",39.1M
