,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Avengers: Infinity War,85,91,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']","['AnthonyRusso', 'JoeRusso']",['KevinFeige'],"['Apr 27', '2018']",678.8M
1,Black Panther,96,79,PG-13,"['Adventure', 'Fantasy', 'Action']",['RyanCoogler'],['KevinFeige'],"['Feb 16', '2018']",700.2M
2,Jurassic World: Fallen Kingdom,47,48,PG-13,"['Mystery&thriller', 'Sci-fi', 'Action', 'Adventure']",['JuanAntonioBayona'],"['FrankMarshall', 'BelénAtienza', 'PatrickCrowley']","['Jun 22', '2018']",416.7M
3,Incredibles 2,93,84,PG,"['Adventure', 'Kids&family', 'Comedy', 'Animation', 'Action']",['BradBird'],"['JohnWalker', 'NicoleParadisGrindle']","['Jun 15', '2018']",608.6M
4,Aquaman,65,73,PG-13,"['Fantasy', 'Action', 'Adventure']",['JamesWan'],"['PeterSafran', 'RobCowan']","['Dec 21', '2018']",335.0M
5,Bohemian Rhapsody,60,85,PG-13,"['Drama', 'History', 'Music', 'Biography', 'Lgbtq+']",['BryanSinger'],"['GrahamKing', 'JimBeach', 'PeterOberth']","['Nov 2', '2018']",216.3M
6,Venom,30,81,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['RubenFleischer'],"['AviArad', 'MatthewTolmach', 'AmyPascal']","['Oct 5', '2018']",213.5M
7,Mission: Impossible - Fallout,97,88,PG-13,"['Adventure', 'Mystery&thriller', 'Action']",['ChristopherMcQuarrie'],"['TomCruise', 'ChristopherMcQuarrie', 'JakeMyers', 'J.J.Abrams']","['Jul 27', '2018']",220.1M
8,Deadpool 2,84,85,R,"['Adventure', 'Fantasy', 'Comedy', 'Action']",['DavidLeitch'],"['RyanReynolds', 'SimonKinberg', 'LaurenShulerDonner']","['May 18', '2018']",324.3M
9,Fantastic Beasts: The Crimes of Grindelwald,36,54,PG-13,"['Fantasy', 'Adventure']",['DavidYates'],"['DavidHeyman', 'LionelWigram', 'SteveKloves', 'J.K.Rowling']","['Nov 16', '2018']",159.4M
10,Ant-Man and the Wasp,87,81,PG-13,"['Fantasy', 'Comedy', 'Action', 'Adventure']",['PeytonReed'],"['KevinFeige', 'StephenBroussard']","['Jul 6', '2018']",216.6M
11,Ready Player One,72,77,PG-13,"['Fantasy', 'Action', 'Sci-fi', 'Adventure']",['StevenSpielberg'],"['StevenSpielberg', 'DonaldDeLine', 'DanFarah', 'KristieMacoskoKrieger']","['Mar 29', '2018']",137.0M
