,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
0,Harry Potter and the Deathly Hallows: Part 2,96,89,PG-13,"['Fantasy', 'Adventure']",['DavidYates'],"['DavidHeyman', 'DavidBarron', 'J.K.Rowling']","['Jul 15', '2011']",381.0M
1,Transformers: Dark of the Moon,35,55,PG-13,"['Sci-fi', 'Action', 'Adventure']",['MichaelBay'],"['LorenzodiBonaventura', 'TomDeSanto', 'DonMurphy', 'IanBryce']","['Jun 29', '2011']",352.4M
2,Pirates of the Caribbean: On Stranger Tides,33,54,PG-13,"['Adventure', 'Action', 'Fantasy']",['RobMarshall'],['JerryBruckheimer'],"['May 20', '2011']",241.1M
3,The Twilight Saga: Breaking Dawn - Part 1,25,60,PG-13,"['Fantasy', 'Romance']",['BillCondon'],"['WyckGodfrey', 'KarenRosenfelt', 'StephenieMeyer']","['Nov 18', '2011']",281.3M
4,Mission: Impossible - Ghost Protocol,93,76,PG-13,"['Mystery&thriller', 'Action', 'Adventure']",['BradBird'],"['TomCruise', 'J.J.Abrams', 'BryanBurk']","['Dec 21', '2011']",209.4M
5,Kung Fu Panda 2,80,74,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['JenniferYuhNelson'],['MelissaCobb'],"['May 26', '2011']",
6,Fast Five,77,83,PG-13,['Action'],['JustinLin'],"['NealH.Moritz', 'VinDiesel', 'MichaelFottrell']","['Apr 29', '2011']",209.8M
7,The Hangover Part II,34,52,R,['Comedy'],['ToddPhillips'],"['ToddPhillips', 'DanGoldberg']","['May 26', '2011']",254.5M
8,The Smurfs,21,43,PG,"['Kids&family', 'Fantasy', 'Comedy', 'Adventure']",['RajaGosnell'],['JordanKerner'],"['Jul 29', '2011']",142.6M
9,Cars 2,39,49,G,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['JohnLasseter'],['DeniseReam'],"['Jun 24', '2011']",
10,Puss in Boots,86,67,PG,"['Adventure', 'Comedy', 'Kids&family', 'Animation']",['ChrisMiller'],"['JoeAguilar', 'LatifaOuaou']","['Oct 28', '2011']",149.2M
11,Sherlock Holmes: A Game of Shadows,59,77,PG-13,"['Adventure', 'Action', 'Mystery&thriller']",['GuyRitchie'],"['JoelSilver', 'LionelWigram', 'SusanDowney', 'DanLin']","['Dec 16', '2011']",186.8M
12,Rio,72,71,G,"['Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['CarlosSaldanha'],"['BruceAnderson', 'JohnC.Donkin']","['Apr 15', '2011']",
13,Rise of the Planet of the Apes,82,77,PG-13,"['Action', 'Sci-fi', 'Adventure']",['RupertWyatt'],"['PeterChernin', 'DylanClark', 'RickJaffa', 'AmandaSilver']","['Aug 5', '2011']",176.7M
14,Thor,77,76,PG-13,"['Fantasy', 'Action', 'Adventure']",['KennethBranagh'],['KevinFeige'],"['May 6', '2011']",268.0M
15,The Intouchables,75,93,R,"['Drama', 'Comedy']","['OlivierNakache', 'EricToledano']","['NicolasDuval-Adassovsky', 'LaurentZeitoun', 'YannZenou']","['May 25', '2012']",13.2M
16,The Adventures of Tintin,74,74,PG,"['Kids&family', 'Animation', 'Adventure']",['StevenSpielberg'],"['StevenSpielberg', 'KathleenKennedy', 'PeterJackson']","['Dec 21', '2011']",77.6M
17,Captain America: The First Avenger,79,75,PG-13,"['Fantasy', 'Action', 'Adventure']",['JoeJohnston'],['KevinFeige'],"['Jul 22', '2011']",176.6M
18,X-Men: First Class,86,87,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['MatthewVaughn'],"['BryanSinger', 'LaurenShulerDonner', 'SimonKinberg', 'GregoryGoodman']","['Jun 3', '2011']",146.4M
19,Alvin and the Chipmunks: Chipwrecked,12,51,G,"['Kids&family', 'Comedy', 'Adventure']",['MikeMitchell'],"['JaniceKarman', 'RossBagdasarianJr.']","['Dec 16', '2011']",133.1M
20,Real Steel,60,73,PG-13,"['Drama', 'Sci-fi', 'Action']",['ShawnLevy'],"['DonMurphy', 'SusanMontford', 'ShawnLevy']","['Oct 7', '2011']",85.5M
21,Bridesmaids,90,76,R,['Comedy'],['PaulFeig'],"['JuddApatow', 'ClaytonTownsend', 'BarryMendel']","['May 13', '2011']",169.1M
22,Super 8,81,75,PG-13,"['Sci-fi', 'Mystery&thriller']",['J.J.Abrams'],"['StevenSpielberg', 'J.J.Abrams', 'BryanBurk']","['Jun 10', '2011']",127.0M
23,Rango,88,69,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']",['GoreVerbinski'],"['GoreVerbinski', 'GrahamKing', 'JohnB.Carls']","['Mar 4', '2011']",
24,The Girl with the Dragon Tattoo,86,86,R,"['Drama', 'Crime', 'Mystery&thriller']",['DavidFincher'],"['ScottRudin', 'OleSøndberg', 'SørenStærmose', 'CeánChaffin']","['Dec 20', '2011']",102.5M
25,The Green Hornet,44,43,PG-13,"['Action', 'Adventure']",['MichelGondry'],['NealH.Moritz'],"['Jan 14', '2011']",98.8M
26,Immortals,48,49,R,"['Fantasy', 'Action', 'Adventure']",['Tarsem'],"['GianniNunnari', 'MarkCanton', 'RyanKavanaugh']","['Nov 11', '2011']",83.5M
27,Green Lantern,26,45,PG-13,"['Fantasy', 'Sci-fi', 'Action', 'Adventure']",['MartinCampbell'],"['DonaldDeLine', 'GregBerlanti']","['Jun 17', '2011']",116.6M
28,The Help,76,89,PG-13,['Drama'],['TateTaylor'],"['BrunsonGreen', 'ChrisColumbus', 'MichaelBarnathan']","['Aug 10', '2011']",169.7M
29,Bad Teacher,45,36,R,['Comedy'],['JakeKasdan'],"['JimmyMiller', 'DavidB.Householter']","['Jun 24', '2011']",100.3M
30,Just Go with It,19,59,PG-13,"['Comedy', 'Romance']",['DennisDugan'],"['AdamSandler', 'JackGiarraputo', 'HeatherParry']","['Feb 11', '2011']",103.0M
31,Battle Los Angeles,37,48,PG-13,"['Action', 'Sci-fi']",['JonathanLiebesman'],"['NealH.Moritz', 'OriMarmur']","['Mar 11', '2011']",83.6M
32,Horrible Bosses,69,70,R,['Comedy'],['SethGordon'],"['BrettRatner', 'JayStern']","['Jul 8', '2011']",117.5M
33,Paranormal Activity 3,66,51,R,"['Mystery&thriller', 'Horror']","['HenryJoost', 'ArielSchulman']","['JasonBlum', 'OrenPeli']","['Oct 21', '2011']",104.0M
34,Gnomeo & Juliet,55,54,G,"['Adventure', 'Kids&family', 'Romance', 'Comedy', 'Animation']",['KellyAsbury'],"['DavidFurnish', 'SteveHamiltonShaw', 'BakerBloodworth']","['Feb 11', '2011']",
35,Mr. Popper's Penguins,47,53,PG,"['Kids&family', 'Comedy']",['MarkWaters'],['JohnDavis'],"['Jun 17', '2011']",68.2M
36,Hugo,93,78,PG,"['Drama', 'Fantasy', 'Adventure']",['MartinScorsese'],"['GrahamKing', 'TimHeadington', 'MartinScorsese', 'JohnnyDepp']","['Nov 23', '2011']",73.8M
37,The Lion King 2011 3D Release,,,,,,,,
38,Hop,24,53,PG,"['Other', 'Kids&family', 'Comedy']",['TimHill'],"['ChristopherMeledandri', 'MicheleImperato']","['Apr 1', '2011']",108.0M
39,War Horse,75,74,PG-13,"['Drama', 'History', 'War']",['StevenSpielberg'],"['StevenSpielberg', 'KathleenKennedy']","['Dec 25', '2011']",79.9M
40,The Descendants,87,79,R,"['Drama', 'Comedy']",['AlexanderPayne'],"['JimBurke', 'AlexanderPayne', 'JimTaylor']","['Nov 23', '2011']",82.6M
41,Cowboys & Aliens,44,43,PG-13,"['Western', 'Action', 'Sci-fi']",['JonFavreau'],"['BrianGrazer', 'RonHoward', 'AlexKurtzman', 'RobertoOrci', 'ScottMitchellRosenberg']","['Jul 29', '2011']",100.2M
42,In Time,37,51,PG-13,"['Action', 'Sci-fi']",['AndrewNiccol'],"['AndrewNiccol', 'EricNewman', 'MarcAbraham']","['Oct 28', '2011']",37.6M
43,Zookeeper,14,41,PG,"['Fantasy', 'Comedy']",['FrankCoraci'],"['ToddGarner', 'KevinJames', 'AdamSandler', 'JackGiarraputo', 'WaltBecker']","['Jul 8', '2011']",80.4M
44,The Muppets,95,80,PG,"['Comedy', 'Kids&family']",['JamesBobin'],"['DavidHoberman', 'ToddLieberman']","['Nov 23', '2011']",88.6M
45,Limitless,69,74,PG-13,"['Action', 'Mystery&thriller']",['NeilBurger'],"['LeslieDixon', 'ScottKroopf', 'RyanKavanaugh']","['Mar 18', '2011']",79.2M
46,Johnny English Reborn,38,45,PG,"['Comedy', 'Action']",['OliverParker'],"['TimBevan', 'EricFellner', 'ChrisClark']","['Oct 21', '2011']",8.3M
47,Happy Feet Two,45,60,PG,"['Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['GeorgeMiller'],"['GeorgeMiller', 'DougMitchell', 'BillMiller']","['Nov 18', '2011']",64.0M
48,Final Destination 5,62,52,R,"['Horror', 'Mystery&thriller']",['StevenQuale'],"['CraigPerry', 'WarrenZide']","['Aug 12', '2011']",42.6M
49,Tower Heist,68,48,PG-13,"['Comedy', 'Adventure']",['BrettRatner'],"['BrianGrazer', 'EddieMurphy', 'KimRoth']","['Nov 4', '2011']",78.0M
50,Midnight in Paris,,,,['Documentary'],"['JamesBlagden', 'RoniMoore']",['BenjaminGilovitz'],,
51,I Am Number Four,33,57,PG-13,"['Sci-fi', 'Action', 'Mystery&thriller']",['D.J.Caruso'],['MichaelBay'],"['Feb 18', '2011']",55.1M
52,Jack and Jill,3,36,PG,['Comedy'],['DennisDugan'],"['ToddGarner', 'AdamSandler', 'JackGiarraputo']","['Nov 11', '2011']",74.2M
53,Friends with Benefits,68,65,R,"['Comedy', 'Romance']",['WillGluck'],"['MartinShafer', 'LizGlotzer', 'JerryZucker', 'JanetZucker', 'WillGluck']","['Jul 22', '2011']",55.8M
54,No Strings Attached,48,51,R,"['Comedy', 'Romance']",['IvanReitman'],"['IvanReitman', 'JoeMedjuck', 'JeffreyClifford']","['Jan 21', '2011']",70.6M
55,Arthur Christmas,92,76,PG,"['Drama', 'Fantasy', 'Other', 'Kids&family', 'Comedy', 'Animation']",['SarahSmith'],"['PeterLord', 'DavidSproxton', 'CarlaShelley', 'StevePegram']","['Nov 23', '2011']",46.4M
56,Source Code,92,82,PG-13,"['Action', 'Sci-fi', 'Mystery&thriller']",['DuncanJones'],"['MarkGordon', 'PhilippeRousselet', 'JordanWynn']","['Apr 1', '2011']",54.7M
57,"Crazy, Stupid, Love.",79,78,PG-13,"['Comedy', 'Romance']","['GlennFicarra', 'JohnRequa']","['SteveCarell', 'DeniseDiNovi']","['Jul 29', '2011']",84.3M
58,New Year's Eve,7,45,PG-13,"['Romance', 'Other', 'Comedy']",['GarryMarshall'],"['MikeKarz', 'WayneAllanRice', 'GarryMarshall']","['Dec 9', '2011']",54.5M
59,Contagion,85,63,PG-13,"['Drama', 'Mystery&thriller']",['StevenSoderbergh'],"['MichaelShamberg', 'StaceySher', 'GregoryJacobs']","['Sep 9', '2011']",75.6M
