Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Captain America: Civil War,2500,331,208,1961
Rogue One: A Star Wars Story,2500,173,41,2286
Finding Dory,2500,1020,1146,334
Zootopia,2500,1181,973,346
The Jungle Book,2500,1005,1225,270
The Secret Life of Pets,2500,1377,899,224
Batman v Superman: Dawn of Justice,2500,2409,42,49
Fantastic Beasts and Where to Find Them,2500,2413,48,39
Deadpool,2500,1246,850,404
Suicide Squad,2500,511,183,1806
Doctor Strange,2500,1183,344,973
Moana,2500,1373,829,298
Sing,2500,1305,802,393
The Mermaid,2500,811,1325,364
X-Men: Apocalypse,2500,939,1199,362
Kung Fu Panda 3,2500,433,22,2045
La La Land,2500,1406,804,290
Warcraft,2500,1003,1177,320
Jason Bourne,2500,903,1203,394
Ice Age 5: Collision Course,820,328,30,462
Independence Day: Resurgence,2500,628,1567,305
Your Name.,2500,1244,777,479
The Legend of Tarzan,2500,609,1717,174
The Angry Birds Movie,2500,328,74,2098
Trolls,2500,1045,683,772
Star Trek Beyond,2500,1124,1064,312
The Great Wall,2500,2203,160,137
Now You See Me 2,2500,657,1700,143
The Conjuring 2,2500,702,1187,611
Resident Evil: The Final Chapter,2500,88,71,2341
Dangal,2500,1446,747,307
Passengers,2500,947,893,660
Alice Through the Looking Glass,2500,902,1350,248
Miss Peregrine's Home for Peculiar Children,2500,767,1591,142
Teenage Mutant Ninja Turtles: Out of the Shadows,2500,422,1964,114
Sully,2500,970,1004,526
Assassin's Creed,2500,834,1419,247
Hidden Figures,2500,1495,637,368
Ghostbusters,2500,1371,640,489
Inferno,753,237,369,147
Central Intelligence,2500,2178,208,114
Bridget Jones's Baby,2500,1270,969,261
Me Before You,2500,954,873,673
London Has Fallen,2500,677,204,1619
Arrival,2500,1200,954,346
The BFG,2500,1242,1050,208
Bad Moms,2500,819,289,1392
Storks,2500,1624,728,148
Hacksaw Ridge,2500,1238,934,328
Allegiant,2500,766,1427,307
The Girl on the Train,2500,1005,1145,350
The Huntsman: Winter's War,2500,127,150,2223
The Magnificent Seven,2500,2403,41,56
Jack Reacher: Never Go Back,2500,561,1687,252
Don't Breathe,2500,746,1263,491
The Accountant,2500,896,1347,257
Lights Out,2500,794,1143,563
Pete's Dragon,2500,1053,1072,375
Sausage Party,2500,1911,181,408
Lion,2500,963,937,600
Mechanic: Resurrection,2500,446,1893,161
Deepwater Horizon,2500,931,949,620
Allied,2500,1038,1009,453
The Shallows,2500,746,933,821
The Purge: Election Year,2500,843,1273,384
Why Him?,2500,1293,917,290
Office Christmas Party,2500,2043,251,206
How to Be Single,2500,1045,1146,309
10 Cloverfield Lane,2500,1022,1049,429
Neighbors 2: Sorority Rising,2500,768,1465,267
Dirty Grandpa,2500,827,333,1340
Ben-Hur,2500,598,836,1066
Money Monster,2500,953,1236,311
My Big Fat Greek Wedding 2,2500,1404,885,211
Collateral Beauty,2500,2071,189,240
Sultan,1715,727,769,219
War Dogs,2500,692,281,1527
Nerve,2500,879,888,733
Leap!,2500,1370,828,302
Ouija: Origin of Evil,2500,172,135,2193
Underworld: Blood Wars,2500,521,117,1862
Manchester by the Sea,2500,960,1059,481
The Boss,2500,1036,1015,449
Mike and Dave Need Wedding Dates,2500,1427,812,261
Kubo and the Two Strings,2500,1247,1007,246
Boo! A Madea Halloween,2500,1107,920,473
Miracles from Heaven,2500,2146,244,110
Moonlight,2500,1061,1098,341
Monster Trucks,2500,1049,749,702
Fences,2500,1004,1050,446
The Nice Guys,2500,2218,47,235
Nine Lives,2500,1932,376,192
Zoolander 2,2500,1043,892,565
Barbershop: The Next Cut,2500,992,118,1390
Patriots Day,555,242,221,92
The Finest Hours,2500,745,1594,161
Florence Foster Jenkins,2500,1188,1010,302
Mother's Day,2500,1591,693,216
A Monster Calls,1250,562,448,240
Risen,2500,1001,968,531
Eddie the Eagle,2500,1979,462,59
Blair Witch,2500,565,209,1726
Caf̩ Society,2500,939,1247,314
Almost Christmas,2500,1597,729,174
The Witch,2500,487,225,1788
The Wild Life,2500,1316,944,240
The Forest,2500,772,1171,557
Absolutely Fabulous: The Movie,2500,2392,15,93
Hell or High Water,2500,397,151,1952
Snowden,2500,805,1120,575
Eye in the Sky,2500,775,855,870
Ae Dil Hai Mushkil,2500,785,1210,505
Norm of the North,2500,1419,772,309
When the Bough Breaks,2500,1014,1046,440
Nocturnal Animals,2500,1144,948,408
Keeping Up with the Joneses,2500,1059,1181,260
Jackie,2500,1198,841,461
Masterminds,2500,1031,1031,438
The Brothers Grimsby,2500,826,1066,608
The Light Between Oceans,2500,991,1104,405
A Beautiful Planet,2500,2385,97,18
Born in China,2500,1049,1289,162
Race,2500,1021,926,553
Free State of Jones,2500,2110,128,262
Whiskey Tango Foxtrot,2500,819,1093,588
God's Not Dead 2,2500,2349,32,119
The Founder,2500,688,1079,733
Bad Santa 2,2500,535,67,1898
Silence,2500,958,659,883
Kevin Hart: What Now?,2500,1157,1194,149
No manches Frida,1090,494,246,350
Middle School: The Worst Years of My Life,1881,73,44,1764
Triple 9,2500,1016,1035,449
Rock Dog,2500,2332,127,41
