,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
28,Peter Rabbit,"351,266,433","115,253,424",32.8,"236,013,009",67.2,63.0,56.0,PG,WillGluck,"WillGluck,ZarehNalbandian",2-9-2018,115200000.0,6.6,41555,movie,Peter Rabbit,0,2018,95,"Adventure,Animation,Comedy"
29,Mary Poppins Returns,"349,537,494","171,958,438",49.2,"177,579,056",50.8,80.0,65.0,PG,RobMarshall,"RobMarshall,JohnDeLuca,MarcPlatt",12-19-2018,172000000.0,6.7,86145,movie,Mary Poppins Returns,0,2018,130,"Adventure,Comedy,Family"
30,A Quiet Place,"340,939,361","188,024,361",55.1,"152,915,000",44.9,96.0,83.0,PG-13,JohnKrasinski,"MichaelBay,AndrewForm,BradFuller",4-6-2018,68400000.0,7.5,503125,movie,A Quiet Place,0,2018,90,"Drama,Horror,Sci-Fi"
31,Green Book,"321,752,656","85,080,171",26.4,"236,672,485",73.6,77.0,91.0,PG-13,PeterFarrelly,"JimBurke,CharlesB.Wessler,PeterFarrelly,BrianCurrie,NickVallelonga",11-21-2018,85100000.0,8.2,458573,movie,Green Book,0,2018,130,"Biography,Comedy,Drama"
32,Skyscraper,"304,868,961","68,420,120",22.4,"236,448,841",77.6,48.0,68.0,PG-13,RawsonMarshallThurber,"BeauFlynn,DwayneJohnson,RawsonMarshallThurber,HiramGarcia",7-13-2018,67800000.0,5.8,119197,movie,Skyscraper,0,2018,102,"Action,Adventure,Thriller"
33,Ocean's Eight,"297,718,711","140,218,711",47.1,"157,500,000",52.9,68.0,46.0,PG-13,GaryRoss,"StevenSoderbergh,SusanEkins",6-8-2018,139400000.0,6.3,210575,movie,Ocean's Eight,0,2018,110,"Action,Comedy,Crime"
34,Pacific Rim: Uprising,"290,930,148","59,874,525",20.6,"231,055,623",79.4,42.0,38.0,PG-13,StevenS.DeKnight,"MaryParent,CaleBoyter,GuillermodelToro,JohnBoyega,FemiOguns,ThomasTull,JonJashni",3-23-2018,59200000.0,5.6,114695,movie,Pacific Rim: Uprising,0,2018,111,"Action,Adventure,Sci-Fi"
35,Maze Runner: The Death Cure,"288,175,335","58,032,443",20.1,"230,142,892",79.9,43.0,58.0,PG-13,WesBall,"EllenGoldsmith-Vein,WyckGodfrey,MartyBowen,LeeStollman",1-26-2018,57400000.0,6.2,132376,movie,Maze Runner: The Death Cure,0,2018,143,"Action,Adventure,Sci-Fi"
36,Tomb Raider,"274,650,803","58,250,803",21.2,"216,400,000",78.8,52.0,55.0,PG-13,RoarUthaug,GrahamKing,3-16-2018,57300000.0,6.3,209380,movie,Tomb Raider,0,2018,119,"Action,Adventure,Fantasy"
37,Halloween,"255,485,178","159,342,015",62.4,"96,143,163",37.6,28.0,59.0,R,RobZombie,"RobZombie,MalekAkkad,AndyGould",8-31-2007,58300000.0,6.5,144593,movie,Halloween,0,2018,106,"Crime,Horror,Thriller"
