,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Frozen,"1,280,802,282","400,738,009",31.3,"880,064,273",68.7,90.0,85.0,PG,"ChrisBuck,JenniferLee","MikeHuang,PeterDelVecho,KristinYadamec,AngelaFrancesDanna,DaraMcgarry,KellyEisert,JamesEHasman,NathanCurtis,JulieBaner,SheriPatterson",11-27-2013,401000000.0,7.5,608533,movie,Frozen,0,2013,102,"Adventure,Animation,Comedy"
1,Iron Man 3,"1,214,811,252","409,013,994",33.7,"805,797,258",66.3,79.0,78.0,PG-13,ShaneBlack,KevinFeige,5-3-2013,409000000.0,7.2,820282,movie,Iron Man Three,0,2013,130,"Action,Adventure,Sci-Fi"
2,Despicable Me 2,"970,766,005","368,065,385",37.9,"602,700,620",62.1,75.0,85.0,PG,"ChrisRenaud,PierreCoffin","ChristopherMeledandri,JanetHealy",7-3-2013,368000000.0,7.3,389969,movie,Despicable Me 2,0,2013,98,"Adventure,Animation,Comedy"
3,The Hobbit: The Desolation of Smaug,"958,366,855","258,366,855",27,"700,000,000",73,74.0,85.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-13-2013,258399999.99999997,7.8,640048,movie,The Hobbit: The Desolation of Smaug,0,2013,161,"Adventure,Fantasy"
4,The Hunger Games: Catching Fire,"865,011,746","424,668,047",49.1,"440,343,699",50.9,90.0,89.0,PG-13,FrancisLawrence,"JonKilik,NinaJacobson",11-22-2013,,7.5,648558,movie,The Hunger Games: Catching Fire,0,2013,146,"Action,Adventure,Drama"
5,Fast & Furious 6,"788,679,850","238,679,850",30.3,"550,000,000",69.7,71.0,84.0,PG-13,JustinLin,"NealH.Moritz,VinDiesel,ClaytonTownsend",5-24-2013,238700000.0,7.1,388161,movie,Furious 6,0,2013,130,"Action,Crime,Thriller"
6,Monsters University,"743,559,607","268,492,764",36.1,"475,066,843",63.9,80.0,81.0,G,DanScanlon,KoriRae,6-21-2013,268500000.0,7.3,348397,movie,Monsters University,0,2013,104,"Adventure,Animation,Comedy"
7,Gravity,"723,192,705","274,092,705",37.9,"449,100,000",62.1,,,,,,,,7.7,808963,movie,Gravity,0,2013,91,"Action,Drama,Sci-Fi"
8,Man of Steel,"668,045,518","291,045,518",43.6,"377,000,000",56.4,56.0,75.0,PG-13,ZackSnyder,"CharlesRoven,ChristopherNolan,EmmaThomas,DeborahSnyder",6-14-2013,291000000.0,7.1,749635,movie,Man of Steel,0,2013,143,"Action,Adventure,Sci-Fi"
9,Thor: The Dark World,"644,783,140","206,362,140",32,"438,421,000",68,66.0,75.0,PG-13,AlanTaylor,KevinFeige,11-8-2013,206400000.0,6.8,653648,movie,Thor: The Dark World,0,2013,112,"Action,Adventure,Fantasy"
10,The Croods,"587,204,668","187,168,425",31.9,"400,036,243",68.1,72.0,77.0,PG,"ChristopherSanders,KirkDeMicco","KristineBelson,JaneHartwell",3-22-2013,187200000.0,7.2,209335,movie,The Croods,0,2013,98,"Adventure,Animation,Comedy"
11,World War Z,"540,007,876","202,359,711",37.5,"337,648,165",62.5,66.0,72.0,PG-13,MarcForster,"BradPitt,DedeGardner,JeremyKleiner,IanBryce",6-21-2013,202400000.0,7.0,644784,movie,World War Z,0,2013,116,"Action,Adventure,Horror"
12,Oz the Great and Powerful,"493,311,825","234,911,825",47.6,"258,400,000",52.4,57.0,56.0,PG,SamRaimi,JoeRoth,3-8-2013,234900000.0,6.3,205745,movie,Oz the Great and Powerful,0,2013,130,"Adventure,Family,Fantasy"
13,Star Trek Into Darkness,"467,365,246","228,778,661",49,"238,586,585",51,84.0,89.0,PG-13,J.J.Abrams,"J.J.Abrams,BryanBurk,DamonLindelof,AlexKurtzman,RobertoOrci",5-16-2013,228800000.0,7.7,478249,movie,Star Trek Into Darkness,0,2013,132,"Action,Adventure,Sci-Fi"
14,The Wolverine,"414,828,246","132,556,852",32,"282,271,394",68,71.0,69.0,PG-13,JamesMangold,"LaurenShulerDonner,HutchParker,HughJackman",7-26-2013,132500000.0,6.7,454929,movie,The Wolverine,0,2013,126,"Action,Sci-Fi"
15,Pacific Rim,"411,002,906","101,802,906",24.8,"309,200,000",75.2,72.0,77.0,PG-13,GuillermodelToro,"ThomasTull,JonJashni,GuillermodelToro,MaryParent",7-12-2013,101800000.0,6.9,490612,movie,Pacific Rim,0,2013,131,"Action,Adventure,Sci-Fi"
16,The Wolf of Wall Street,"392,000,694","116,900,694",29.8,"275,100,000",70.2,79.0,83.0,R,MartinScorsese,"MartinScorsese,LeonardoDiCaprio,RizaAziz,JoeyMcFarland,EmmaTillingerKoskoff",12-25-2013,116900000.0,8.2,1329990,movie,The Wolf of Wall Street,0,2013,180,"Biography,Comedy,Crime"
17,G.I. Joe: Retaliation,"375,740,705","122,523,060",32.6,"253,217,645",67.4,29.0,48.0,PG-13,JonM.Chu,"LorenzodiBonaventura,BrianGoldner",3-28-2013,122500000.0,5.8,180206,movie,G.I. Joe: Retaliation,0,2013,110,"Action,Adventure,Sci-Fi"
18,The Hangover Part III,"362,000,072","112,200,072",31,"249,800,000",69,20.0,44.0,R,ToddPhillips,"ToddPhillips,DanGoldberg",5-23-2013,112200000.0,5.8,309190,movie,The Hangover Part III,0,2013,100,"Comedy,Crime"
