Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Avengers: Endgame,2500,1124,828,548,0.3444976077
The Lion King,2500,1195,760,545,0.3735632184
Frozen II,2475,1298,784,393,0.5351862803
Spider-Man: Far from Home,2500,1169,978,353,0.5361366623
Captain Marvel,2500,1982,240,278,0.7539823009
Joker,2416,1800,78,538,0.5397775877
Star Wars: Episode IX - The Rise of Skywalker,2500,352,67,2081,-0.7106452939
Toy Story 4,2500,810,1221,469,0.2666145426
Aladdin,2078,1251,531,296,0.6173238526
Jumanji: The Next Level,2500,1203,1065,232,0.6766550523
Fast & Furious Presents: Hobbs & Shaw,2500,225,46,2229,-0.8166259169
Ne Zha,2500,866,412,1222,-0.1704980843
The Wandering Earth,1308,772,419,117,0.7367829021
How to Train Your Dragon: The Hidden World,2500,1042,1137,321,0.5289801908
Maleficent: Mistress of Evil,2500,380,267,1853,-0.6596506941
It Chapter Two,2500,934,958,608,0.2114137484
Pok̩mon Detective Pikachu,2500,1503,702,295,0.6718576196
The Secret Life of Pets 2,2500,1178,1020,302,0.5918918919
Alita: Battle Angel,2500,944,76,1480,-0.2211221122
Godzilla: King of the Monsters,2500,955,1162,383,0.4275037369
1917,1503,688,393,422,0.2396396396
Once Upon a Time... In Hollywood,2500,1068,985,447,0.4099009901
Shazam!,2500,1408,755,337,0.6137535817
Dumbo,1827,816,638,373,0.3725820017
John Wick: Chapter 3 - Parabellum,2500,847,1329,324,0.4466268147
Knives Out,2500,1472,713,315,0.6474538332
Terminator: Dark Fate,2500,953,820,727,0.1345238095
Parasite,2500,1066,804,630,0.2570754717
Us,2500,1466,450,584,0.4302439024
Men in Black: International,2500,766,1191,543,0.1703590527
X-Men: Dark Phoenix,2500,999,686,815,0.1014332966
Glass,2500,1202,814,484,0.4258600237
Annabelle Comes Home,2500,950,951,599,0.226597805
Ford v Ferrari,2500,1484,718,298,0.6655443322
Little Women,2500,1486,594,420,0.5592864638
