Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Captain America: Civil War,2500,331,208,1961,-0.7111692845
Rogue One: A Star Wars Story,2500,173,41,2286,-0.8592923953
Finding Dory,2500,1020,1146,334,0.5066469719
Zootopia,2500,1181,973,346,0.5468238376
The Jungle Book,2500,1005,1225,270,0.5764705882
The Secret Life of Pets,2500,1377,899,224,0.7201748907
Batman v Superman: Dawn of Justice,2500,2409,42,49,0.9601301871
Fantastic Beasts and Where to Find Them,2500,2413,48,39,0.9681892333
Deadpool,2500,1246,850,404,0.5103030303
Suicide Squad,2500,511,183,1806,-0.5589123867
Doctor Strange,2500,1183,344,973,0.0974025974
Moana,2500,1373,829,298,0.6433273489
Sing,2500,1305,802,393,0.5371024735
The Mermaid,2500,811,1325,364,0.3804255319
X-Men: Apocalypse,2500,939,1199,362,0.4435049962
Kung Fu Panda 3,2500,433,22,2045,-0.6505246166
La La Land,2500,1406,804,290,0.6580188679
Warcraft,2500,1003,1177,320,0.5162509448
Jason Bourne,2500,903,1203,394,0.3924441018
Ice Age 5: Collision Course,820,328,30,462,-0.1696202532
Independence Day: Resurgence,2500,628,1567,305,0.3461950697
Your Name.,2500,1244,777,479,0.4439930354
The Legend of Tarzan,2500,609,1717,174,0.5555555556
The Angry Birds Movie,2500,328,74,2098,-0.7295960429
Trolls,2500,1045,683,772,0.150247661
Star Trek Beyond,2500,1124,1064,312,0.56545961
The Great Wall,2500,2203,160,137,0.8829059829
Now You See Me 2,2500,657,1700,143,0.6425
The Conjuring 2,2500,702,1187,611,0.06930693069
Resident Evil: The Final Chapter,2500,88,71,2341,-0.9275421984
Dangal,2500,1446,747,307,0.6497432972
Passengers,2500,947,893,660,0.1785936528
Alice Through the Looking Glass,2500,902,1350,248,0.5686956522
Miss Peregrine's Home for Peculiar Children,2500,767,1591,142,0.6875687569
Teenage Mutant Ninja Turtles: Out of the Shadows,2500,422,1964,114,0.5746268657
Sully,2500,970,1004,526,0.2967914439
Assassin's Creed,2500,834,1419,247,0.5430157262
Hidden Figures,2500,1495,637,368,0.6049382716
Ghostbusters,2500,1371,640,489,0.4741935484
Inferno,753,237,369,147,0.234375
Central Intelligence,2500,2178,208,114,0.9005235602
Bridget Jones's Baby,2500,1270,969,261,0.6590463749
Me Before You,2500,954,873,673,0.1727105101
London Has Fallen,2500,677,204,1619,-0.4102787456
Arrival,2500,1200,954,346,0.552393273
The BFG,2500,1242,1050,208,0.7131034483
Bad Moms,2500,819,289,1392,-0.2591587517
Storks,2500,1624,728,148,0.8329571106
Hacksaw Ridge,2500,1238,934,328,0.5810983397
Allegiant,2500,766,1427,307,0.4277726002
The Girl on the Train,2500,1005,1145,350,0.4833948339
The Huntsman: Winter's War,2500,127,150,2223,-0.8919148936
The Magnificent Seven,2500,2403,41,56,0.9544530297
Jack Reacher: Never Go Back,2500,561,1687,252,0.3800738007
Don't Breathe,2500,746,1263,491,0.2061438965
The Accountant,2500,896,1347,257,0.554206418
Lights Out,2500,794,1143,563,0.1702284451
Pete's Dragon,2500,1053,1072,375,0.474789916
Sausage Party,2500,1911,181,408,0.6481241915
Lion,2500,963,937,600,0.2322456814
Mechanic: Resurrection,2500,446,1893,161,0.4695222405
Deepwater Horizon,2500,931,949,620,0.2005157963
Allied,2500,1038,1009,453,0.3923541247
The Shallows,2500,746,933,821,-0.04786215699
The Purge: Election Year,2500,843,1273,384,0.3740831296
Why Him?,2500,1293,917,290,0.6336070752
Office Christmas Party,2500,2043,251,206,0.81680747
How to Be Single,2500,1045,1146,309,0.5435745938
10 Cloverfield Lane,2500,1022,1049,429,0.4086836664
Neighbors 2: Sorority Rising,2500,768,1465,267,0.484057971
Dirty Grandpa,2500,827,333,1340,-0.2367328103
Ben-Hur,2500,598,836,1066,-0.28125
Money Monster,2500,953,1236,311,0.5079113924
My Big Fat Greek Wedding 2,2500,1404,885,211,0.7386996904
Collateral Beauty,2500,2071,189,240,0.7922977066
Sultan,1715,727,769,219,0.5369978858
War Dogs,2500,692,281,1527,-0.3762956287
Nerve,2500,879,888,733,0.0905707196
Leap!,2500,1370,828,302,0.6387559809
Ouija: Origin of Evil,2500,172,135,2193,-0.8545454545
Underworld: Blood Wars,2500,521,117,1862,-0.562736047
Manchester by the Sea,2500,960,1059,481,0.33240805
The Boss,2500,1036,1015,449,0.3952861953
Mike and Dave Need Wedding Dates,2500,1427,812,261,0.6907582938
Kubo and the Two Strings,2500,1247,1007,246,0.6704621567
Boo! A Madea Halloween,2500,1107,920,473,0.4012658228
Miracles from Heaven,2500,2146,244,110,0.9024822695
Moonlight,2500,1061,1098,341,0.5135520685
Monster Trucks,2500,1049,749,702,0.1981724729
Fences,2500,1004,1050,446,0.3848275862
The Nice Guys,2500,2218,47,235,0.8083978801
Nine Lives,2500,1932,376,192,0.8192090395
Zoolander 2,2500,1043,892,565,0.2972636816
Barbershop: The Next Cut,2500,992,118,1390,-0.1670864819
Patriots Day,555,242,221,92,0.4491017964
The Finest Hours,2500,745,1594,161,0.6445916115
Florence Foster Jenkins,2500,1188,1010,302,0.5946308725
Mother's Day,2500,1591,693,216,0.7609297178
A Monster Calls,1250,562,448,240,0.4014962594
Risen,2500,1001,968,531,0.3067885117
Eddie the Eagle,2500,1979,462,59,0.9421000981
Blair Witch,2500,565,209,1726,-0.5067656045
Caf̩ Society,2500,939,1247,314,0.4988028731
Almost Christmas,2500,1597,729,174,0.803500847
The Witch,2500,487,225,1788,-0.5718681319
The Wild Life,2500,1316,944,240,0.6915167095
The Forest,2500,772,1171,557,0.1617757713
Absolutely Fabulous: The Movie,2500,2392,15,93,0.9251509054
Hell or High Water,2500,397,151,1952,-0.6619838229
Snowden,2500,805,1120,575,0.1666666667
Eye in the Sky,2500,775,855,870,-0.05775075988
Ae Dil Hai Mushkil,2500,785,1210,505,0.2170542636
Norm of the North,2500,1419,772,309,0.6423611111
When the Bough Breaks,2500,1014,1046,440,0.3947730399
Nocturnal Animals,2500,1144,948,408,0.4742268041
Keeping Up with the Joneses,2500,1059,1181,260,0.6057619409
Jackie,2500,1198,841,461,0.4442435202
Masterminds,2500,1031,1031,438,0.40367597
The Brothers Grimsby,2500,826,1066,608,0.1520223152
The Light Between Oceans,2500,991,1104,405,0.4197707736
A Beautiful Planet,2500,2385,97,18,0.9850187266
Born in China,2500,1049,1289,162,0.7324525186
Race,2500,1021,926,553,0.2973316391
Free State of Jones,2500,2110,128,262,0.7790893761
Whiskey Tango Foxtrot,2500,819,1093,588,0.1641791045
God's Not Dead 2,2500,2349,32,119,0.9035656402
The Founder,2500,688,1079,733,-0.03166783955
Bad Santa 2,2500,535,67,1898,-0.5602137279
Silence,2500,958,659,883,0.04073872895
Kevin Hart: What Now?,2500,1157,1194,149,0.7718223583
No manches Frida,1090,494,246,350,0.1706161137
Middle School: The Worst Years of My Life,1881,73,44,1764,-0.9205225912
Triple 9,2500,1016,1035,449,0.3870307167
Rock Dog,2500,2332,127,41,0.9654445849
