Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
The Batman,2500,1105,969,426,0.4435009798
Water Gate Bridge,41,15,9,17,-0.0625
Uncharted,2500,1058,896,546,0.319201995
Too Cool to Kill,119,35,5,79,-0.3859649123
Scream,2500,617,109,1774,-0.4838979506
Death on the Nile,2500,537,98,1865,-0.5528726062
Jackass Forever,2500,924,280,1296,-0.1675675676
Dog,2500,1099,620,781,0.1691489362
Marry Me,2500,1126,1063,311,0.5671537926
Moonfall,2500,1038,762,700,0.1944764097
BTS Permission to Dance on Stage - Seoul: Live Viewing,810,236,496,78,0.5031847134
The 355,2500,1085,835,580,0.3033033033
The Kashmir Files,2500,1027,608,865,0.08562367865
Radhe Shyam,2500,1041,899,560,0.3004372267
Blacklight,2500,1085,892,523,0.3495024876
Redeeming Love,1840,1564,144,132,0.8443396226
Cyrano,2500,1406,619,475,0.4949494949
The Cherry Bushido,112,55,33,24,0.3924050633
The Cursed,2500,945,883,672,0.1688311688
X,1240,570,426,244,0.4004914005
Gangubai Kathiawadi,2500,1280,848,372,0.5496368039
Studio 666,2500,1235,529,736,0.2531709792
The Beatles: Get Back - The Rooftop Concert,237,57,168,12,0.652173913
The King's Daughter,1461,631,527,303,0.3511777302
The Outfit,2500,1437,705,358,0.6011142061
Umma,1321,496,505,320,0.2156862745
The Tiger Rising,289,130,130,29,0.6352201258
The Family,2500,1213,889,398,0.5058969584
Tyson's Run,300,170,101,29,0.7085427136
Clean,2500,2083,53,364,0.7024928484
Sundown,2500,1092,840,568,0.3156626506
Alice,1811,854,608,349,0.4197838736
