Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Spider-Man: No Way Home,2500,902,66,1532,-0.2588331964
The Battle at Lake Changjin,405,61,10,334,-0.6911392405
No Time to Die,2500,392,123,1985,-0.6701724863
F9: The Fast Saga,2043,768,857,418,0.2951096121
Venom: Let There Be Carnage,2500,1089,1003,408,0.4549098196
Godzilla vs. Kong,2500,1186,807,507,0.4010632014
Shang-Chi and the Legend of the Ten Rings,2500,1173,1157,170,0.746835443
Eternals,2500,1242,786,472,0.4492415403
Dune,2500,1104,875,521,0.3587692308
Black Widow,2500,1121,862,517,0.3687423687
Sing 2,2500,1292,783,425,0.504950495
Free Guy,2500,2104,156,240,0.795221843
A Quiet Place Part II,2500,1073,945,482,0.3800643087
Encanto,803,415,250,138,0.5009041591
Cruella,1425,692,425,308,0.384
Jungle Cruise,2500,1354,743,403,0.5412635174
Raging Fire,1856,367,137,1352,-0.5730075625
The Conjuring: The Devil Made Me Do It,2500,203,25,2272,-0.835959596
Ghostbusters: Afterlife,2500,1504,672,324,0.6455142232
The Suicide Squad,2500,466,65,1969,-0.61724846
Space Jam: A New Legacy,2500,2410,61,29,0.9762197622
House of Gucci,2500,800,1191,509,0.2223071047
The Matrix Resurrections,2500,1039,968,493,0.3563968668
Peter Rabbit 2: The Runaway,585,206,300,79,0.4456140351
The Boss Baby 2: Family Business,412,177,181,54,0.5324675325
PAW Patrol: The Movie,2500,1170,1007,323,0.5673141326
Tom & Jerry: The Movie,706,341,270,95,0.5642201835
Jujutsu Kaisen 0: The Movie,633,385,179,69,0.6960352423
Halloween Kills,2500,537,294,1669,-0.5131459655
Raya and the Last Dragon,2500,1047,1215,238,0.6295719844
The King's Man,2500,977,1022,501,0.3220568336
The Addams Family 2,2500,996,1051,453,0.3747412008
Clifford the Big Red Dog,2500,1144,961,395,0.4866796621
Wrath of Man,2500,1122,979,399,0.4753451677
Old,2500,1115,662,723,0.2132752992
Mortal Kombat,2500,1171,722,607,0.3172103487
Candyman,2500,991,793,716,0.1611013474
The Forever Purge,2500,931,940,629,0.1935897436
West Side Story,2500,1228,793,479,0.438781488
Hitman's Wife's Bodyguard,2500,1058,1026,416,0.4355495251
Belle,984,455,387,142,0.5242881072
Ron's Gone Wrong,2500,821,157,1522,-0.2991890738
Nobody,2500,1184,522,794,0.1971688574
Escape Room: Tournament of Champions,1626,1479,50,97,0.8769035533
Don't Breathe 2,2500,994,1057,449,0.3776853777
My Hero Academia: World Heroes' Mission,2058,1992,25,41,0.9596655189
The French Dispatch,2500,1029,1119,352,0.490224475
In the Heights,2500,1100,846,554,0.3301088271
Belfast,2500,1380,678,442,0.5148188804
Spirit Untamed,2500,2005,270,225,0.798206278
Spiral,2500,1015,693,792,0.1234089651
Snake Eyes,2500,1181,779,540,0.3724578733
Nomadland,2500,1388,698,414,0.5405105438
Resident Evil: Welcome to Raccoon City,2500,781,86,1633,-0.3529411765
King Richard,2500,1376,785,339,0.604664723
Nightmare Alley,2500,1155,831,514,0.3840623128
Malignant,2500,1072,604,824,0.1308016878
Respect,2500,2003,67,430,0.6465269215
The Unholy,2500,795,935,770,0.01597444089
The Last Duel,2500,1096,790,614,0.281871345
Licorice Pizza,2500,1293,682,525,0.4224422442
The Little Things,2500,1479,645,376,0.5946091644
Escape from Mogadishu,514,331,99,84,0.5951807229
American Underdog,2500,1560,659,281,0.6947311244
Chaos Walking,2500,796,335,1369,-0.264665127
The Courier,2500,1233,690,577,0.3624309392
Those Who Wish Me Dead,2500,885,59,1556,-0.2748873413
The Marksman,1991,733,978,280,0.4471865745
Last Night in Soho,2500,1004,1024,472,0.3604336043
Spencer,2500,1215,774,511,0.4078794902
Kaamelott: First Installment,2,0,2,0,#DIV/0!
After We Fell,2500,1243,560,697,0.281443299
Stillwater,2500,1244,739,517,0.4128336173
Dear Evan Hansen,2500,1763,182,555,0.5211389129
The Green Knight,2500,1132,811,557,0.3404381291
Antlers,2082,929,621,532,0.2717316906
Bo Gia,113,49,56,8,0.7192982456
The Dry,2500,1324,621,555,0.4092602448
The Wolf and the Lion,267,150,84,33,0.6393442623
Reminiscence,2500,1240,719,541,0.392476137
The Night House,2500,1058,731,711,0.1961560204
Minari,2129,1183,709,237,0.6661971831
Anita,1523,889,436,198,0.6356945722
Cry Macho,2500,679,285,1536,-0.3869074492
Sword Art Online: Progressive - Aria of a Starless Night,504,161,301,42,0.5862068966
Christmas with the Chosen: The Messengers,209,71,127,11,0.7317073171
The Many Saints of Newark,2500,978,886,636,0.2118959108
Aline,419,217,149,53,0.6074074074
The Worst Person in the World,2500,520,72,1908,-0.5716639209
The Prot̩g̩,2500,1088,904,508,0.3634085213
Pushpa: The Rise - Part 1,176,43,118,15,0.4827586207
The Mauritanian,2500,1137,952,411,0.4689922481
