Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Mojin: The Worm Valley,96,21,59,16
Masquerade Hotel,63,44,11,8
Long Day's Journey Into Night,252,95,115,42
Crazy Alien,236,83,63,90
The New King of Comedy,136,121,10,5
The Knight of Shadows: Between Yin and Yang,116,25,84,7
Peppa Celebrates Chinese New Year,96,96,0,0
Fall In Love At First Kiss,419,416,0,3
Fly Me to the Saitama,3,0,3,0
Total Dhamaal,2500,1297,933,270
Greta,2500,1253,620,627
My Best Summer,2500,2384,23,93
The Queen's Corgi,130,66,44,20
P Storm,158,48,73,37
Mia and the White Lion,381,156,39,186
Detective Conan: The Fist of Blue Sapphire,93,23,66,4
Always Miss You,2500,1861,39,600
Pok̩mon Detective Pikachu,2500,1510,703,287
The Souvenir,2146,1157,637,352
Chasing the Dragon II: Wild Wild Bunch,67,15,45,7
Fantastica: A Boonie Bears Adventure,64,63,1,0
The White Storm 2: Drug Lords,145,46,81,18
Dying to Survive,75,24,33,18
One Piece: Stampede,371,73,42,256
Line Walker 2: Invisible Spy,50,21,24,5
The Battle: Roar to Victory,142,46,9,87
Bodies at Rest,136,55,56,25
One Cut of the Dead,848,139,8,701
Jade Dynasty,1000,431,411,158
Hit Me Anyone One More Time!,12,6,3,3
"My People, My Country",824,457,130,237
The Specials,2500,1128,876,496
A Witness Out of the Blue,37,11,15,11
Better Days,2500,2237,71,192
My Dear Liar,117,50,2,65
White Snake,2500,1207,957,336
Somewhere Winter,139,71,60,8
An Officer and a Spy,220,113,50,57
Start-Up,2500,1467,782,251
Sheep Without a Shepherd,192,93,20,79
Only Cloud Knows,217,94,90,33
The Wild Goose Lake,96,42,31,23
My Mom Is a Character 2,25,10,9,6
My Mom is a Character 3,26,10,11,5
Tolo Tolo,106,28,61,17
"Turu, the Wacky Hen",1,1,0,0
Tanhaji: The Unsung Warrior,2500,1069,1227,204
Spycies,33,29,2,2
Secret Zoo,358,118,221,19
The Heist of the Century,91,37,35,19
Hitman: Agent Jun,13,7,5,1
Street Dancer 3D,2500,1112,1071,317
Cindy La Regia,96,11,68,17
The Man Standing Next,412,209,122,81
Adu,875,474,290,111
Wotakoi: Love Is Hard for Otaku,173,169,0,4
365 Days,2500,1359,658,483
Ayyappanum Koshiyum,1610,587,779,244
The Marriage Escape,24,12,1,11
Love Aaj Kal,2500,1624,477,399
Digimon Adventure: Last Evolution Kizuna,603,568,10,25
Shubh Mangal Zyada Saavdhan,2199,1146,803,250
Hotel Belgrade,62,35,24,3
Fukushima 50,24,8,10,6
Military Wives,2500,1555,718,227
How to Be a Good Wife,52,47,1,4
Trolls 2: World Tour,354,129,181,44
My Spy,2500,1529,635,336
Bigfoot Family,133,43,78,12
The Real Exorcist,231,94,43,94
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,0,0,0,0
The Broken Hearts Gallery,1676,1513,27,136
Antebellum,2500,929,911,660
Break the Silence: The Movie,2500,941,1039,520
Midnight Swan,308,154,124,30
Legend of Deification,322,141,148,33
Dragon Rider,618,366,133,119
The Asadas,229,99,89,41
A Rainy Day in New York,625,194,33,398
"My People, My Homeland",204,112,73,19
Soul,2500,1223,593,684
Twiceborn,1432,593,412,427
Bye Bye Morons,673,152,17,504
Samjin Company English Class,83,23,59,1
Beasts Clawing at Straws,87,38,24,25
The Sacrifice,2500,1412,426,662
The Secret Garden,2500,1323,879,298
Your Eyes Tell,2500,1808,573,119
The Voice of Sin,541,195,13,333
Sacrifice,2500,1470,371,659
Caught in Time,2500,1174,510,816
New Interpretation Records of the Three Kingdoms,7,1,5,1
Shock Wave 2,128,47,19,62
A Little Red Flower,152,64,66,22
The Last Warrior: Root of Evil,2,0,0,2
Gintama: The Final,650,281,266,103
Big Red Envelope,38,14,22,2
Skyfire,717,311,273,133
Detective Chinatown 3,548,205,258,85
A Writer's Odyssey,290,122,130,38
Ainbo,6,4,2,0
Upon the Magic Roads,7,3,4,0
Couple from the Future,535,393,59,83
The Yinyang Master,669,354,245,70
The Vault,2500,1166,856,478
Violet Evergarden: The Movie,553,254,210,89
The Eleventh Chapter,43,11,24,8
Signal: The Movie,397,207,121,69
Vakeel Saab,1893,846,582,465
Nezha Reborn,733,299,324,110
Monkey King Reborn,6,6,0,0
Detective Conan: The Scarlet Bullet,247,74,154,19
My Wonderful Wanda,108,103,5,0
Cliff Walkers,503,222,226,55
Break Through the Darkness,186,45,2,139
Once Upon a Time in Hong Kong,33,11,19,3
Rurouni Kenshin Part I: Origins,3,0,3,0
Wish Dragon,2500,2156,187,157
Something About Love,935,827,19,89
Rurouni Kenshin: The Legend Ends,126,32,87,7
Luca,1543,775,489,279
Rurouni Kenshin: Final Chapter Part I - The Final,12,2,10,0
Hard Hit,2500,972,109,1419
The Ice Road,2500,967,998,535
1921,1374,512,469,393
The Tomorrow War,2500,463,139,1898
My Brothers and I,2500,1362,378,760
White Snake 2: Green Snake,14,3,10,1
Chinese Doctors,1678,692,334,652
OSS 117: From Africa with Love,103,94,9,0
Sinkhole,2500,870,812,818
Howling Village,246,48,64,134
Man in Love,1397,1296,45,56
Hostage: Missing Celebrity,103,22,13,68
The Prot̩g̩,2500,1086,909,505
All About My Mother,216,84,96,36
Mayday,1319,526,451,342
"My Country, My Parents",635,333,88,214
Baragaki: Unbroken Samurai,23,8,6,9
De Gaulle,559,215,188,156
Cloudy Mountain,869,476,237,156
Sooryavanshi,2500,1107,1068,325
Krime Story,4,2,1,1
Boiling Point,2500,970,526,1004
Railway Heroes,359,305,22,32
Arthur Rambo,17,8,6,3
Schemes in Antiques,221,95,96,30
The Last Warrior: A Messenger of Darkness,1,1,0,0
83,2047,785,720,542
Poupelle of Chimney Town,295,133,132,30
The Policeman's Lineage,152,55,76,21
Super Sharanya,431,232,169,30
Special Delivery,2500,2244,90,166
Naai Sekar,1598,879,571,148
