Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Bride Wars,1844,449,74,1321
Secret Reunion,35,18,16,1
Recep Ivedik 3,3,1,2,0
Eyyvah Eyvah 2,0,0,0,0
Alice in Wonderland,2500,1369,830,301
Heartbreaker,2500,524,109,1867
22 Bullets,38,8,22,8
71: Into the Fire,378,106,72,200
Aftershock,2500,1028,959,513
The Man from Nowhere,184,74,84,26
Step Up,2500,1254,843,403
Under the Hawthorn Tree,34,11,23,0
Umizaru 3: The Last Message,0,0,0,0
Little White Lies 2,9,3,1,5
Act of Vengeance,64,14,45,5
If You Are the One 2,117,49,57,11
Season of the Witch,2500,611,101,1788
Qualunquemente,73,9,54,10
My Own Swordsman,24,19,4,1
"All's Well, Ends Well 2011",163,162,1,0
Arthur 3: The War of the Two Worlds,93,2,3,88
Detective Conan: Quarter of Silence,102,22,77,3
Gantz,253,111,93,49
Gantz: Perfect Answer,214,204,3,7
Andalucia: Revenge of the Goddess,2,0,0,2
Gooische vrouwen,41,17,15,9
The Front Line,2500,1067,700,733
War of the Arrows,4,0,0,4
You Are the Apple of My Eye,806,427,353,26
Unfair: The Answer,76,29,2,45
A Ghost of a Chance,1075,271,42,762
Hollywoo,1411,595,553,263
A Monster in Paris,60,27,27,6
Friends: Naki on the Monster Island,1,1,0,0
The Adventurers,229,205,5,19
Norwegian Wood,2500,981,1033,486
Agneepath,2500,1186,900,414
The Grey,2500,1893,128,479
Conquest 1453,105,23,66,16
Liar Game: Reborn,121,10,6,105
Architecture 101,369,148,152,69
StreetDance 2,2500,1446,845,209
HOUBA! On the Trail of the Marsupilami,10,3,7,0
Housefull 2,2500,1228,980,292
The 8-Year Engagement,2,1,1,0
All About My Wife,329,179,117,33
Rust and Bone,1609,648,639,322
Polisse,1223,527,552,144
Hotaru the Movie: It's Only a Little Light in My Life,9,0,7,2
Beasts of the Southern Wild,2500,1117,1147,236
Adventures in Zambezia,9,8,1,0
Brave Hearts: Umizaru,45,45,0,0
Wolf Children,203,93,84,26
The Grand Heist,99,97,0,2
Tad: The Lost Explorer,47,13,0,34
Bayside Shakedown the Final,32,17,13,2
A Werewolf Boy,1388,735,486,167
The Floating Castle,39,16,15,8
Kon-Tiki,346,179,157,10
Confession of Murder,150,10,24,116
Lesson of the Evil,93,2,2,89
Evangelion: 3.0 You Can (Not) Redo,912,137,721,54
Bait,2500,959,952,589
Lost in Thailand,40,17,3,20
One Piece Film Z,496,231,203,62
Les Mis̩rables,2500,1141,1014,345
The Last Tycoon,459,199,222,38
Bring Happiness Home,538,523,2,13
Finding Mr. Right,423,230,133,60
"The Chef, The Actor, The Scoundrel",27,4,19,4
A Wedding Invitation,1376,825,409,142
American Dreams in China,172,168,1,3
Secretly Greatly,2156,1307,792,57
Badges of Fury,559,99,37,423
Midsummer's Equation,7,1,5,1
Cold Eyes,2500,1403,935,162
Blind Detective,554,153,61,340
Tiny Times 2.0,61,7,52,2
One Night Surprise,822,685,40,97
The Stolen Years,22,4,1,17
Silent Witness,823,296,384,143
Antoine and Sebastian,2,1,1,0
Baggage Claim,2500,1068,1172,260
Out of Inferno,149,54,69,26
Sole a catinelle,140,35,96,9
The Kiyosu Conference,10,2,7,1
"Me, Myself and Mum",20,9,10,1
The White Storm,640,227,362,51
Firestorm,2500,778,1022,700
The Suspect,2500,641,65,1794
The Secret Life of Walter Mitty,2500,1267,1075,158
Boonie Bears: To the Rescue,4,4,0,0
Miss Granny,2500,1721,283,496
"I, Frankenstein",2497,1039,937,521
Beijing Love Story,720,474,240,6
The End of Endless Love,128,116,4,8
Recep Ivedik 4,371,103,266,2
Supercondriaque,110,53,54,3
Stalingrad,2500,485,1632,383
Spanish Affair,58,10,45,3
The Pirate Fairy,2500,1260,1181,59
Fading Gigolo,2500,933,1162,405
Detective Conan: The Sniper from Another Dimension,57,7,49,1
My Old Classmate,349,184,98,67
Thermae Romae,192,66,114,12
Thermae Romae II,41,11,28,2
The Great Hypnotist,123,121,1,1
The Fatal Encounter,2500,13,0,2487
Coming Home,2500,972,1029,499
The Breakup Guru,120,19,92,9
Mrs. Brown's Boys D'Movie,2500,990,1092,418
The Divine Move,1574,1557,5,12
Nicholas on Holiday,9,5,2,2
Old Boys: The Way of the Dragon,1,0,1,0
Tiny Times 3.0,304,122,168,14
Kundo: Age of the Rampant,1257,655,599,3
The White Haired Witch of Lunar Kingdom,219,19,10,190
The Inbetweeners 2,2500,1138,1105,257
Stand by Me Doraemon,1056,210,692,154
"As Above, So Below",2500,697,1145,658
Tazza: The Hidden Card,11,7,4,0
Breakup Buddies,647,316,316,15
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2500,19,1,2480
Default,2500,1082,859,559
Kung Fu Jungle,465,89,34,342
Women Who Flirt,392,215,145,32
Rise of the Legend,1203,237,909,57
Fleet of Time,134,12,116,6
Gone with the Bullets,856,307,198,351
Love on the Cloud,68,51,8,9
Ode to My Father,2068,1192,819,57
"Love, Rosie",1875,1651,136,88
Detective K: Secret of the Lost Island,652,193,4,455
"McFarland, USA",2500,1011,1424,65
Tinker Bell and the Legend of the NeverBeast,2500,1341,1124,35
Zhongkui: Snow Girl and the Dark Crystal,14,3,11,0
Let's Get Married,2500,1241,886,373
The Left Ear,1074,520,335,219
You Are My Sunshine,2500,2472,11,17
Maya the Bee Movie,464,234,159,71
The Taking of Tiger Mountain,185,43,134,8
When Marnie Was There,2220,763,1181,276
Grace of Monaco,2221,1517,342,362
Serial Teachers 2,37,0,36,1
Monk Comes Down the Mountain,418,21,376,21
The Boy and the Beast,538,105,382,51
Jian Bing Man,66,10,53,3
Northern Limit Line,1119,378,538,203
Samba,561,203,307,51
The Four 2,1059,421,448,190
To the Fore,2500,803,1591,106
Go Away Mr. Tumor,460,75,5,380
The Hundred Regiments Offensive,1,0,0,1
Huevos: Little Rooster's Egg-cellent Adventure,1,1,0,0
Lost in Hong Kong,1389,433,150,806
Chronicles of the Ghostly Tribe,166,7,149,10
Saving Mr. Wu,215,61,95,59
Look Who's Back,2500,839,1443,218
Goodbye Mr. Loser,509,388,1,120
The New Adventures of Aladdin,44,44,0,0
Inside Men,277,146,92,39
Legend,2500,1131,1031,338
Spanish Affair 2,70,27,33,10
Youth,2500,1204,838,458
Heidi,1204,621,395,188
Mojin: The Lost Legend,328,35,20,273
