Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Quo vado?,97,22,62,13
Detective Chinatown,435,259,154,22
Ip Man 3,2500,672,1429,399
Nobunaga Concerto: The Movie,12,3,8,1
A Violent Prosecutor,453,172,40,241
The Monkey King 2,998,232,694,72
"Hail, Caesar!",2500,1853,220,427
The Choice,2500,1491,672,337
From Vegas to Macau III,194,52,117,25
Spirits' Homecoming,141,57,70,14
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2500,657,1688,155
Doraemon the Movie: Nobita and the Birth of Japan,8,0,8,0
Assassination Classroom: The Graduation,9,1,0,8
My Beloved Bodyguard,92,92,0,0
Flight Crew,2500,1165,759,576
The Wailing,2077,839,871,367
The Witness,2500,891,1108,501
Be Somebody,2500,1221,969,310
"My Love, Don't Cross That River",245,243,0,2
Bounty Hunters,2500,1029,1250,221
Cold War 2,1809,97,58,1654
Caf̩ Society,2500,935,1252,313
Train to Busan,2205,900,998,307
One Piece Film: Gold,24,8,14,2
Monkey King: Hero Is Back,38,35,3,0
Shin Godzilla,1753,624,784,345
League of Gods,836,282,423,131
The Little Prince,2500,1236,921,343
Time Raiders,1021,445,446,130
Line Walker,327,77,220,30
Call of Heroes,143,125,15,3
Skiptrace,2500,871,1448,181
A Chinese Odyssey: Part Three,12,3,9,0
A Silent Voice: The Movie,11,6,4,1
The Age of Shadows,1568,819,693,56
Penny Pincher!,2500,2336,104,60
Operation Mekong,249,60,165,24
I Belonged to You,285,51,226,8
L.O.R.D: Legend of Ravaging Dynasties,75,11,61,3
Mission Milano,73,31,40,2
M.S. Dhoni: The Untold Story,2500,682,1664,154
Luck-Key,122,58,63,1
The Handmaiden,2500,1107,1079,314
Mr. Donkey,185,75,80,30
Welcome to Germany,300,276,9,15
I Am Not Madame Bovary,295,95,91,109
Billy Lynn's Long Halftime Walk,2500,626,1573,301
Two Is a Family,10,1,6,3
Railroad Tigers,2500,685,1639,176
The Invisible Guest,7,2,5,0
Gongjo,8,5,3,0
Kung Fu Yoga,2393,769,518,1106
Buddies in India,92,36,31,25
Journey to the West: The Demons Strike Back,632,92,21,519
Duckweed,431,181,199,51
Jolly LLB 2,2500,2020,384,96
Alibi.com,303,122,142,39
Recep Ivedik 5,39,3,36,0
Sword Art Online the Movie: Ordinal Scale,883,266,592,25
Doraemon: Great Adventure in the Antarctic Kachi Kochi,3,3,0,0
Badrinath Ki Dulhania,2500,1265,960,275
T2 Trainspotting,2500,1004,1284,212
The Devotion of Suspect X,192,176,5,11
Extraordinary Mission,82,32,41,9
Detective Conan: Crimson Love Letter,72,68,4,0
Battle of Memories,584,157,22,405
Love Off the Cuff,212,181,28,3
Shock Wave,2500,836,960,704
This Is Not What I Expected,623,189,312,122
"Everything, Everything",2500,1455,801,244
Hindi Medium,2500,1339,997,164
Wolf Warrior,532,123,361,48
The Founding of an Army,379,60,283,36
The Battleship Island,1137,418,532,187
I Want to Eat Your Pancreas,33,28,1,4
Midnight Runners,2500,1370,978,152
The Glass Castle,2500,1055,1097,348
What Happened to Monday,2500,1023,1127,350
I Can Speak,2500,1309,640,551
Chasing the Dragon,990,228,557,205
Sky Hunter,363,172,151,40
Judwaa 2,2500,1336,883,281
Never Say Die,2500,1929,361,210
Secret Superstar,2500,1221,1026,253
"Three Billboards Outside Ebbing, Missouri",2500,1287,894,319
The Swindlers,880,507,313,60
"I, Tonya",2500,1100,919,481
Steel Rain,235,95,57,83
The Thousand Faces of Dunjia,174,33,128,13
Along With the Gods: The Two Worlds,680,313,347,20
Legend of the Demon Cat,44,11,29,4
1987: When the Day Comes,103,36,61,6
The Ex-File 3: The Return of The Exes,12,6,6,0
Goldbuster,58,23,27,8
Hanson and the Beast,129,55,73,1
Namiya,236,80,128,28
Mary and the Witch's Flower,2500,1258,1020,222
The Crimes That Bind,8,2,4,2
Till The End Of The World,623,378,141,104
Pad Man,2500,1319,889,292
Detective Chinatown 2,344,96,203,45
The Monkey King 3,350,112,211,27
The Faces of My Gene,3,0,3,0
Operation Red Sea,437,131,244,62
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,5,5,0,0
Doraemon the Movie: Nobita's Treasure Island,14,14,0,0
Us and Them,2500,987,920,593
"Love, Simon",2500,2178,141,181
Hichki,2500,1383,924,193
"Paul, Apostle of Christ",2500,1149,1155,196
Baaghi 2,2500,1192,1035,273
Big Fish & Begonia,523,225,256,42
Detective Conan: Zero the Enforcer,46,8,37,1
Son of Bigfoot,246,50,180,16
Amazing China,294,195,84,15
How Long Will I Love U,98,88,1,9
Won't You Be My Neighbor?,2500,1325,933,242
The Guernsey Literary and Potato Peel Pie Society,432,188,206,38
The Accidental Detective 2: In Action,78,38,2,38
The Witch: Part 1 - The Subversion,21,4,0,17
Fireworks,2500,1172,746,582
Bleeding Steel,281,87,101,93
Detective Dee: The Four Heavenly Kings,214,205,5,4
Along With the Gods: The Last 49 Days,383,115,224,44
The Island,2500,1224,690,586
The Spy Gone North,261,134,113,14
Go Brother!,2500,1342,452,706
Europe Raiders,1639,649,631,359
L Storm,75,51,15,9
The Snow Queen 3: Fire and Ice,2,1,0,1
Capernaum,709,374,206,129
Golden Job,308,119,125,64
Fat Buddies,82,49,22,11
Dark Figure of Crime,112,11,42,59
Project Gutenberg,483,298,134,51
"Hello, Mrs. Money",48,25,18,5
Andhadhun,2500,1720,579,201
Sink or Swim,2500,1101,808,591
Intimate Strangers,181,121,48,12
Thugs of Hindostan,2500,820,970,710
A Cool Fish,64,56,2,6
Mirai,309,143,103,63
Head Full of Honey,203,42,136,25
