,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
81,Going in Style,"84,918,541","45,018,541",53,"39,900,000",47,47.0,57.0,PG-13,ZachBraff,DonaldDeLine,4-7-2017,45000000.0,6.6,83791,movie,Going in Style,0,2017,96,"Comedy,Crime"
82,Rings,"83,080,890","27,793,018",33.5,"55,287,872",66.5,8.0,23.0,PG-13,F.JavierGutiérrez,"WalterF.Parkes,LaurieMacDonald",2-3-2017,27800000.0,4.5,40172,movie,Rings,0,2017,102,"Drama,Horror,Mystery"
83,Once Upon A Time,"82,886,178","485,728",0.6,"82,400,450",99.4,88.0,88.0,R,HarkTsui,HarkTsui,5-20-1992,,5.3,1383,movie,Once Upon a Time,0,2017,109,"Drama,Fantasy,Romance"
84,Paradox,"79,226,860",-,-,"79,226,860",100,,26.0,,MichaelHurst,"RickBenattar,NigelThomas",4-15-2016,,6.5,3889,movie,Saat po long: Taam long,0,2017,101,"Action,Adventure,Crime"
85,Lady Bird,"78,965,611","48,958,273",62,"30,007,338",38,99.0,79.0,R,GretaGerwig,"ScottRudin,EliBush,EvelynO'Neill",11-22-2017,48900000.0,7.4,276237,movie,Lady Bird,0,2017,94,"Comedy,Drama"
86,Fantastica: A Boonie Bears Adventure,"77,151,096",-,-,"77,151,096",100,,50.0,G,LeonDing,DaoqiangLiu,6-14-2019,,5.6,184,movie,Boonie Bears: Entangled Worlds,0,2017,89,"Action,Adventure,Animation"
87,The Nut Job 2: Nutty by Nature,"68,743,485","28,370,522",41.3,"40,372,963",58.7,14.0,43.0,PG,CalBrunker,"HarryLinden,KimJong-su,LeeYoungki,JonghanKim,BobBarlen",8-11-2017,28300000.0,5.5,6534,movie,The Nut Job 2: Nutty by Nature,0,2017,91,"Adventure,Animation,Comedy"
88,American Assassin,"67,234,188","36,249,674",53.9,"30,984,514",46.1,34.0,60.0,R,MichaelCuesta,"LorenzodiBonaventura,NickWechsler",9-15-2017,36200000.0,6.2,80077,movie,American Assassin,0,2017,111,"Action,Thriller"
89,Victoria & Abdul,"66,558,465","22,245,070",33.4,"44,313,395",66.6,66.0,68.0,PG-13,StephenFrears,"TimBevan,EricFellner,BeebanKidron,TraceySeaward",10-6-2017,22200000.0,6.8,35333,movie,Victoria & Abdul,0,2017,111,"Biography,Drama,History"
90,Suck Me Shakespeer 3,"64,236,772",-,-,"64,236,772",100,,,,,,,,5.4,5746,movie,Fack ju Göhte 3,0,2017,120,Comedy
91,Detective Conan: Crimson Love Letter,"63,144,805",-,-,"63,144,805",100,,,,,,,,6.5,1222,movie,Meitantei Conan: Karakurenai no raburetâ,0,2017,112,"Action,Adventure,Animation"
92,The Mountain Between Us,"62,832,209","30,348,555",48.3,"32,483,654",51.7,39.0,47.0,PG-13,HanyAbu-Assad,"PeterChernin,JennoTopping,DavidReady",10-6-2017,30300000.0,6.4,73821,movie,The Mountain Between Us,0,2017,112,"Action,Adventure,Drama"
93,The Star,"62,812,974","40,852,824",65,"21,960,150",35,,,,,,,,6.3,8012,movie,The Star,0,2017,86,"Adventure,Animation,Comedy"
94,How to Be a Latin Lover,"62,547,032","32,149,404",51.4,"30,397,628",48.6,39.0,61.0,PG-13,KenMarino,"EugenioDerbez,BenOdell",4-28-2017,32100000.0,6.0,15900,movie,How to Be a Latin Lover,0,2017,115,"Comedy,Drama"
95,47 Meters Down,"62,187,529","44,307,191",71.2,"17,880,338",28.8,53.0,35.0,PG-13,JohannesRoberts,"MarkLane,JamesHarris",6-16-2017,44300000.0,5.6,53723,movie,47 Meters Down,0,2017,89,"Adventure,Drama,Horror"
96,"Everything, Everything","61,621,140","34,121,140",55.4,"27,500,000",44.6,45.0,61.0,PG-13,StellaMeghie,"LeslieMorgenstein,ElysaKoplovitzDutton",5-19-2017,34100000.0,6.4,37639,movie,"Everything, Everything",0,2017,96,"Drama,Romance"
97,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"61,153,455",-,-,"61,153,455",100,,,,,,,,6.8,842,movie,Eiga Doraemon: Nobita no nankyoku kachikochi daibouken,0,2017,101,"Adventure,Animation,Comedy"
98,Snatched,"60,845,711","45,852,178",75.4,"14,993,533",24.6,36.0,29.0,R,JonathanLevine,"PeterChernin,PaulFeig,JessieHenderson,JennoTopping",5-12-2017,45800000.0,4.6,35184,movie,Snatched,0,2017,90,"Action,Adventure,Comedy"
99,The Founding of an Army,"60,600,361",-,-,"60,600,361",100,,,,,,,,4.4,994,movie,Jian jun da ye,0,2017,133,"Action,Drama,History"
