Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Harry Potter and the Deathly Hallows: Part 2,2500,593,1721,186,0.5224646983
Transformers: Dark of the Moon,2500,602,1617,281,0.3635334088
Pirates of the Caribbean: On Stranger Tides,2500,538,1728,234,0.3937823834
The Twilight Saga: Breaking Dawn - Part 1,2500,343,2085,72,0.6530120482
Mission: Impossible - Ghost Protocol,2500,786,78,1636,-0.3509496284
Kung Fu Panda 2,2500,403,36,2061,-0.6728896104
Fast Five,2500,1006,1180,314,0.5242424242
The Hangover Part II,2500,615,1488,397,0.2154150198
The Smurfs,2500,812,1003,685,0.08483633935
Cars 2,2500,1139,1065,296,0.587456446
Puss in Boots,2500,1167,1108,225,0.6767241379
Sherlock Holmes: A Game of Shadows,2500,434,1966,100,0.6254681648
Rio,859,328,338,193,0.2591170825
Rise of the Planet of the Apes,2500,1116,1130,254,0.6291970803
Thor,2500,1185,986,329,0.5653896962
The Intouchables,2500,1284,1081,135,0.8097251586
The Adventures of Tintin,2500,2363,22,115,0.9071832123
Captain America: The First Avenger,2500,503,1873,124,0.6044657097
X-Men: First Class,2500,1108,1119,273,0.604634323
Alvin and the Chipmunks: Chipwrecked,2500,523,1895,82,0.7289256198
Real Steel,2500,1267,957,276,0.6422553467
Bridesmaids,2500,1433,785,282,0.6711370262
Super 8,2500,2266,126,108,0.9090143218
Rango,1759,769,735,255,0.501953125
The Girl with the Dragon Tattoo,2500,964,1188,348,0.4695121951
The Green Hornet,2500,1110,1017,373,0.4969656102
Immortals,2500,1099,982,419,0.4479578393
Green Lantern,2500,1127,881,492,0.3922174182
The Help,2500,2138,173,189,0.837559089
Bad Teacher,2500,531,146,1823,-0.5488530161
Just Go with It,2500,1256,989,255,0.662475182
Battle Los Angeles,2500,919,126,1455,-0.2257792755
Horrible Bosses,2500,673,180,1647,-0.4198275862
Paranormal Activity 3,2500,727,1119,654,0.0528602462
Gnomeo & Juliet,2500,1379,811,310,0.6329188869
Mr. Popper's Penguins,2500,1148,1119,233,0.6625633599
Hugo,1574,709,636,229,0.5117270789
Hop,2500,1173,914,413,0.4791929382
War Horse,2500,666,184,1650,-0.4248704663
The Descendants,2500,1134,1043,323,0.5566231984
Cowboys & Aliens,2500,977,1170,353,0.4691729323
In Time,2500,1265,829,406,0.5140634351
Zookeeper,2500,1150,958,392,0.4915693904
The Muppets,2500,1176,984,340,0.5514511873
Limitless,2500,1328,879,293,0.6384947563
Johnny English Reborn,2500,818,1553,129,0.7275607181
Happy Feet Two,2500,2364,72,64,0.9472817133
Final Destination 5,2500,759,1279,462,0.2432432432
Tower Heist,2500,1102,1038,360,0.5075239398
Midnight in Paris,2500,1125,1160,215,0.6791044776
I Am Number Four,2500,2186,32,282,0.7714748784
Jack and Jill,2500,935,991,574,0.239231279
Friends with Benefits,2500,2246,158,96,0.9180187874
No Strings Attached,2500,1152,426,922,0.1108968177
Arthur Christmas,2500,1029,1326,145,0.7529812606
Source Code,2500,1127,1113,260,0.6250901226
"Crazy, Stupid, Love.",2500,1317,139,1044,0.1156289708
New Year's Eve,2500,1305,1040,155,0.7876712329
Contagion,2500,422,267,1811,-0.6220331393
Unknown,2500,969,900,631,0.21125
The Artist,2500,1083,987,430,0.4315928619
The Three Musketeers,2500,882,1357,261,0.5433070866
We Bought a Zoo,2500,1333,958,209,0.728923476
Water for Elephants,2500,1077,1191,232,0.6455309396
The Iron Lady,2500,851,1269,380,0.3826157595
Moneyball,2500,1133,1047,320,0.5595320028
Insidious,2500,807,908,785,0.01381909548
Justin Bieber: Never Say Never,2500,1471,734,295,0.6659116648
Paul,2500,1145,948,407,0.4755154639
Scream 4,2500,843,288,1369,-0.2377938517
The Rite,2500,1012,965,523,0.3185667752
Dolphin Tale,2500,1221,918,361,0.5436156764
Red Riding Hood,2500,1037,1097,366,0.4782608696
Sucker Punch,2500,653,265,1582,-0.4156599553
The Inbetweeners,2500,1210,854,436,0.4702308627
The Lincoln Lawyer,2500,1137,1147,216,0.6807095344
Hall Pass,2500,1191,864,445,0.45599022
Spy Kids 4: All the Time in the World,1662,147,1469,46,0.5233160622
J. Edgar,2500,873,1167,460,0.3098274569
"Big Mommas: Like Father, Like Son",2500,2427,23,50,0.959628583
Abduction,2500,259,52,2189,-0.7883986928
Tinker Tailor Soldier Spy,2500,917,1248,335,0.46485623
Priest,2500,877,808,815,0.036643026
Drive,2500,968,874,658,0.1906519065
The Ides of March,2500,971,1231,298,0.5303388495
The Mechanic,2500,814,1447,239,0.5460588794
The Change-Up,2500,970,1147,383,0.4338507021
Larry Crowne,2500,1132,1102,266,0.6194563662
Diary of a Wimpy Kid: Rodrick Rules,2500,597,36,1867,-0.5154220779
