Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
The Avengers,2500,1104,1030,366,0.5020408163
Skyfall,2500,1216,979,305,0.5989480605
The Dark Knight Rises,2500,938,1254,308,0.5056179775
The Hobbit: An Unexpected Journey,2500,454,1961,85,0.6846011132
Ice Age 4: Continental Drift,2500,906,1516,78,0.8414634146
The Twilight Saga: Breaking Dawn - Part 2,2500,511,1894,95,0.6864686469
The Amazing Spider-Man,2500,2468,6,26,0.9791499599
Madagascar 3: Europe's Most Wanted,2500,326,2132,42,0.7717391304
The Hunger Games,2500,971,146,1383,-0.1750212404
Men in Black 3,2500,1032,1066,402,0.4393305439
Life of Pi,2500,1251,992,257,0.6591511936
Ted,2500,971,1165,364,0.4546816479
Brave,2500,2278,86,136,0.8873239437
Wreck-It Ralph,2500,995,1263,242,0.6087308003
Les Mis̩rables,2500,1135,1015,350,0.5286195286
Django Unchained,2500,1030,1127,343,0.5003641661
Prometheus,2500,955,1086,459,0.3507779349
Snow White and the Huntsman,2500,911,1379,210,0.6253345227
Taken 2,2500,1016,953,531,0.3135100194
Hotel Transylvania,2500,1091,1184,225,0.6580547112
The Lorax,2500,1243,1012,245,0.6706989247
Journey 2: The Mysterious Island,2500,583,1803,114,0.6728837877
The Expendables 2,2500,752,1540,208,0.5666666667
Rise of the Guardians,2500,967,1287,246,0.5943940643
Battleship,2500,998,828,674,0.1937799043
Wrath of the Titans,2500,740,1409,351,0.3565536205
John Carter,2500,1034,1068,398,0.4441340782
The Bourne Legacy,2500,925,1150,425,0.3703703704
Lincoln,2500,1030,1087,383,0.457891012
We're the Millers,2500,1095,1169,236,0.645379414
Dark Shadows,2500,1075,1112,313,0.5489913545
Resident Evil: Retribution,2500,206,78,2216,-0.8298926507
Silver Linings Playbook,2500,1605,708,187,0.7912946429
American Reunion,2500,1020,1148,332,0.5088757396
Argo,2500,1276,884,340,0.5792079208
Jack Reacher,2500,1240,964,296,0.6145833333
Safe House,2500,1995,273,232,0.7916479569
21 Jump Street,2500,1249,927,324,0.5880483153
Total Recall,2500,903,1093,504,0.2835820896
The Impossible,2500,1101,1030,369,0.4979591837
The Vow,2500,1134,969,397,0.4813847159
Mirror Mirror,2500,1178,1025,297,0.5972881356
The Dictator,2500,1077,1123,300,0.5642701525
Looper,2500,1195,876,429,0.4716748768
Magic Mike,2500,1043,1119,338,0.5104996379
Flight,2500,1103,886,511,0.3667905824
Underworld: Awakening,2500,997,1213,290,0.5493395493
This Means War,2500,627,189,1684,-0.4573777585
Paranormal Activity 4,2500,879,909,712,0.1049654305
Step Up Revolution,2500,1141,1120,239,0.6536231884
The Best Exotic Marigold Hotel,2500,2484,4,12,0.9903846154
The Wind Rises,2500,1267,819,414,0.50743605
Last Vegas,2500,1326,946,228,0.7065637066
Zero Dark Thirty,2500,846,1045,609,0.1628865979
Ghost Rider: Spirit of Vengeance,2500,523,21,1956,-0.5780556676
Cloud Atlas,2500,1157,984,359,0.5263852243
The Woman in Black,2500,850,1089,561,0.2048192771
