Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Ramona and Beezus,2500,1486,806,208,0.7544273908
Let Me In,2500,1151,842,507,0.3884197829
Fair Game,2500,2054,143,303,0.7428935087
Biutiful,2004,910,770,324,0.4748784441
Elle s'appelait Sarah,21,8,13,0,1
Lottery Ticket,2500,1227,951,322,0.5842479019
The Way Back,2500,1242,664,594,0.3529411765
Villain,2500,762,126,1612,-0.3580454928
A Thousand Words,2500,865,1319,316,0.4648602879
Moss,2500,1158,885,457,0.4340557276
Just Wright,2500,1280,946,274,0.6473616474
My Soul to Take,2500,780,896,824,-0.02743142145
Our Family Wedding,2500,1347,868,285,0.6507352941
Country Strong,2500,2207,174,119,0.8976784179
Beck,2070,919,744,407,0.3861236802
Another Year,2500,1408,653,439,0.5246345425
Youth in Revolt,2500,1237,978,285,0.6254927727
Buried,2500,1206,685,609,0.3289256198
