Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
One Night Surprise,822,685,40,97,75.19181586
Detective Conan: The Sniper from Another Dimension,57,7,49,1,75
I Want to Eat Your Pancreas,33,28,1,4,75
Hitman: Agent Jun,13,7,5,1,75
Big Red Envelope,38,14,22,2,75
StreetDance 2,2500,1446,845,209,74.74320242
Military Wives,2500,1555,718,227,74.52300786
Women Who Flirt,392,215,145,32,74.08906883
I Belonged to You,285,51,226,8,72.88135593
Secret Zoo,358,118,221,19,72.26277372
A Silent Voice: The Movie,11,6,4,1,71.42857143
1987: When the Day Comes,103,36,61,6,71.42857143
"Everything, Everything",2500,1455,801,244,71.2772219
Naai Sekar,1598,879,571,148,71.1781889
"My People, My Homeland",204,112,73,19,70.99236641
"Paul, Apostle of Christ",2500,1149,1155,196,70.85501859
Start-Up,2500,1467,782,251,70.77997672
Project Gutenberg,483,298,134,51,70.77363897
A Wedding Invitation,1376,825,409,142,70.63081696
Detective Conan: The Fist of Blue Sapphire,93,23,66,4,70.37037037
Love on the Cloud,68,51,8,9,70
Mary and the Witch's Flower,2500,1258,1020,222,70
L Storm,75,51,15,9,70
Thermae Romae,192,66,114,12,69.23076923
Thermae Romae II,41,11,28,2,69.23076923
Masquerade Hotel,63,44,11,8,69.23076923
Won't You Be My Neighbor?,2500,1325,933,242,69.11295469
All About My Wife,329,179,117,33,68.86792453
The Taking of Tiger Mountain,185,43,134,8,68.62745098
Big Fish & Begonia,523,225,256,42,68.53932584
Pok̩mon Detective Pikachu,2500,1510,703,287,68.05787423
Tanhaji: The Unsung Warrior,2500,1069,1227,204,67.94972506
The Last Tycoon,459,199,222,38,67.93248945
