Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Eyyvah Eyvah 2,0,0,0,0,#DIV/0!
Umizaru 3: The Last Message,0,0,0,0,#DIV/0!
Old Boys: The Way of the Dragon,1,0,1,0,#DIV/0!
Doraemon the Movie: Nobita and the Birth of Japan,8,0,8,0,#DIV/0!
The Faces of My Gene,3,0,3,0,#DIV/0!
Fly Me to the Saitama,3,0,3,0,#DIV/0!
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,0,0,0,0,#DIV/0!
Rurouni Kenshin Part I: Origins,3,0,3,0,#DIV/0!
Recep Ivedik 3,3,1,2,0,100
Under the Hawthorn Tree,34,11,23,0,100
"All's Well, Ends Well 2011",163,162,1,0,100
Friends: Naki on the Monster Island,1,1,0,0,100
HOUBA! On the Trail of the Marsupilami,10,3,7,0,100
The 8-Year Engagement,2,1,1,0,100
Adventures in Zambezia,9,8,1,0,100
Brave Hearts: Umizaru,45,45,0,0,100
Antoine and Sebastian,2,1,1,0,100
Boonie Bears: To the Rescue,4,4,0,0,100
Tazza: The Hidden Card,11,7,4,0,100
Zhongkui: Snow Girl and the Dark Crystal,14,3,11,0,100
Huevos: Little Rooster's Egg-cellent Adventure,1,1,0,0,100
The New Adventures of Aladdin,44,44,0,0,100
My Beloved Bodyguard,92,92,0,0,100
Monkey King: Hero Is Back,38,35,3,0,100
A Chinese Odyssey: Part Three,12,3,9,0,100
The Invisible Guest,7,2,5,0,100
Gongjo,8,5,3,0,100
Recep Ivedik 5,39,3,36,0,100
Doraemon: Great Adventure in the Antarctic Kachi Kochi,3,3,0,0,100
Detective Conan: Crimson Love Letter,72,68,4,0,100
The Ex-File 3: The Return of The Exes,12,6,6,0,100
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,5,5,0,0,100
Doraemon the Movie: Nobita's Treasure Island,14,14,0,0,100
Peppa Celebrates Chinese New Year,96,96,0,0,100
Fantastica: A Boonie Bears Adventure,64,63,1,0,100
"Turu, the Wacky Hen",1,1,0,0,100
Ainbo,6,4,2,0,100
Upon the Magic Roads,7,3,4,0,100
Monkey King Reborn,6,6,0,0,100
My Wonderful Wanda,108,103,5,0,100
Rurouni Kenshin: Final Chapter Part I - The Final,12,2,10,0,100
OSS 117: From Africa with Love,103,94,9,0,100
The Last Warrior: A Messenger of Darkness,1,1,0,0,100
Love Is Better Than Life,222,221,1,0,100
Kundo: Age of the Rampant,1257,655,599,3,99.0881459
You Are My Sunshine,2500,2472,11,17,98.63398955
Fall In Love At First Kiss,419,416,0,3,98.56801909
The Divine Move,1574,1557,5,12,98.47036329
"My Love, Don't Cross That River",245,243,0,2,98.36734694
The Great Hypnotist,123,121,1,1,98.36065574
Beijing Love Story,720,474,240,6,97.5
Love Off the Cuff,212,181,28,3,96.73913043
Luck-Key,122,58,63,1,96.61016949
American Dreams in China,172,168,1,3,96.49122807
Hanson and the Beast,129,55,73,1,96.42857143
Recep Ivedik 4,371,103,266,2,96.19047619
Detective Dee: The Four Heavenly Kings,214,205,5,4,96.1722488
The Grand Heist,99,97,0,2,95.95959596
Wotakoi: Love Is Hard for Otaku,173,169,0,4,95.37572254
Call of Heroes,143,125,15,3,95.3125
Bring Happiness Home,538,523,2,13,95.14925373
Penny Pincher!,2500,2336,104,60,94.99165275
Tinker Bell and the Legend of the NeverBeast,2500,1341,1124,35,94.9127907
Gantz: Perfect Answer,214,204,3,7,93.36492891
My Best Summer,2500,2384,23,93,92.49091643
The New King of Comedy,136,121,10,5,92.06349206
Man in Love,1397,1296,45,56,91.71597633
Samjin Company English Class,83,23,59,1,91.66666667
Secretly Greatly,2156,1307,792,57,91.64222874
Digimon Adventure: Last Evolution Kizuna,603,568,10,25,91.5682968
The Pirate Fairy,2500,1260,1181,59,91.05382866
Breakup Buddies,647,316,316,15,90.93655589
Jolly LLB 2,2500,2020,384,96,90.92627599
Ode to My Father,2068,1192,819,57,90.87269816
My Own Swordsman,24,19,4,1,90
"Love, Rosie",1875,1651,136,88,89.87924094
Welcome to Germany,300,276,9,15,89.69072165
Secret Reunion,35,18,16,1,89.47368421
Kon-Tiki,346,179,157,10,89.41798942
Supercondriaque,110,53,54,3,89.28571429
Ek Love Ya,482,329,134,19,89.08045977
You Are the Apple of My Eye,806,427,353,26,88.5209713
The Devotion of Suspect X,192,176,5,11,88.23529412
Along With the Gods: The Two Worlds,680,313,347,20,87.98798799
"McFarland, USA",2500,1011,1424,65,87.91821561
Mission Milano,73,31,40,2,87.87878788
Your Eyes Tell,2500,1808,573,119,87.64919564
The Age of Shadows,1568,819,693,56,87.2
The End of Endless Love,128,116,4,8,87.09677419
Spycies,33,29,2,2,87.09677419
Wish Dragon,2500,2156,187,157,86.42455685
Special Delivery,2500,2244,90,166,86.22406639
Amazing China,294,195,84,15,85.71428571
"Love, Simon",2500,2178,141,181,84.65451462
Detective Chinatown,435,259,154,22,84.34163701
How to Be a Good Wife,52,47,1,4,84.31372549
Hotel Belgrade,62,35,24,3,84.21052632
Better Days,2500,2237,71,192,84.19102511
The Broken Hearts Gallery,1676,1513,27,136,83.50515464
The Adventurers,229,205,5,19,83.03571429
Sword Art Online the Movie: Ordinal Scale,883,266,592,25,82.81786942
Intimate Strangers,181,121,48,12,81.95488722
How Long Will I Love U,98,88,1,9,81.44329897
The Pirates: The Last Royal Treasure,81,58,17,6,81.25
The Spy Gone North,261,134,113,14,81.08108108
Railway Heroes,359,305,22,32,81.00890208
A Cool Fish,64,56,2,6,80.64516129
Something About Love,935,827,19,89,80.56768559
