,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
34,X-Men: Dark Phoenix,Sophie Turner,17.375,James McAvoy,27.215,Nicholas Hoult,28.892,Tye Sheridan,15.242,Michael Fassbender,20.902,34,252442974,65845974,26.1,186597000,73.9,,,,,,,,5.7,179013,movie,Dark Phoenix,0,2019,113,"Action,Adventure,Sci-Fi"
35,Glass,James McAvoy,30.715,Bruce Willis,25.856,Samuel L. Jackson,56.705,Anya Taylor-Joy,38.002,Sarah Paulson,16.392,35,246999039,111048468,45,135950571,55,36.0,67.0,PG-13,M.NightShyamalan,"JasonBlum,M.NightShyamalan,AshwinRajan,MarcBienstock",1-18-2019,111000000.0,6.6,233319,movie,Glass,0,2019,129,"Drama,Sci-Fi,Thriller"
36,The Bravest,,,,,,,,,,,36,245179562,290217,0.1,244889345,99.9,,,,TonyChan,"AndrewLauWai-Keung,PeggyLeeKam-Man",8-9-2019,278.1K,5.7,940,movie,Lie huo ying xiong,0,2019,118,"Action,Drama,Family"
37,Annabelle Comes Home,Mckenna Grace,57.227,Madison Iseman,15.595,Katie Sarife,4.493,Vera Farmiga,28.396,Patrick Wilson,31.977,37,231252591,74152591,32.1,157100000,67.9,64.0,70.0,R,GaryDauberman,"PeterSafran,JamesWan",6-26-2019,74100000.0,5.9,71834,movie,Annabelle Comes Home,0,2019,106,"Horror,Mystery,Thriller"
38,Better Days,Cody Brotter,0.6,Zachary Mooren,1.4,Mitch Eakins,1.465,Sara Lindsey,4.93,Jodi Moore Lewis,0.6,38,225918798,1921657,0.9,223997141,99.1,97.0,97.0,,DerekTsang,Yuet-JanHui,11-8-2019,1900000.0,4.9,115,movie,Better Days,0,2019,89,"Comedy,Drama"
39,Better Days,Cody Brotter,0.6,Zachary Mooren,1.4,Mitch Eakins,1.465,Sara Lindsey,4.93,Jodi Moore Lewis,0.6,39,225918798,1921657,0.9,223997141,99.1,97.0,97.0,,DerekTsang,Yuet-JanHui,11-8-2019,1900000.0,7.5,8725,movie,Shaonian de ni,0,2019,135,"Crime,Drama,Romance"
40,Ford v Ferrari,Christian Bale,26.638,Matt Damon,23.323,Jon Bernthal,24.637,Caitriona Balfe,8.68,Josh Lucas,10.904,40,225508210,117624357,52.2,107883853,47.8,92.0,98.0,PG-13,JamesMangold,"PeterChernin,JennoTopping,JamesMangold",11-15-2019,117600000.0,8.1,361640,movie,Ford v Ferrari,0,2019,152,"Action,Biography,Drama"
41,Little Women,Saoirse Ronan,21.955,Florence Pugh,21.962,Emma Watson,69.598,Eliza Scanlen,10.572,Laura Dern,14.988,41,216601214,108101214,49.9,108500000,50.1,95.0,92.0,PG,GretaGerwig,"DeniseDiNovi,AmyPascal,RobinSwicord",12-25-2019,108100000.0,7.8,188252,movie,Little Women,0,2019,135,"Drama,Romance"
42,The Addams Family,Oscar Isaac,60.716,Charlize Theron,40.523,Javon Walton,7.591,Chloë Grace Moretz,56.69,Nick Kroll,14.161,42,203044905,100044905,49.3,103000000,50.7,45.0,69.0,PG,"ConradVernon,GregTiernan","GailBerman,ConradVernon,AlexSchwartz,AlisonO'Brien",10-11-2019,673.0K,5.8,37219,movie,The Addams Family,0,2019,86,"Animation,Comedy,Family"
43,Rocketman,Taron Egerton,16.392,Jamie Bell,19.222,Richard Madden,25.349,Bryce Dallas Howard,24.741,Gemma Jones,8.025,43,195320400,96368160,49.3,98952240,50.7,89.0,88.0,R,DexterFletcher,"MatthewVaughn,DavidFurnish,AdamBohling,DavidReid",5-31-2019,96300000.0,7.3,167861,movie,Rocketman,0,2019,121,"Biography,Drama,Musical"
