,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,The Avengers,Robert Downey Jr.,38.361,Chris Evans,15.319,Mark Ruffalo,9.185,Chris Hemsworth,36.221,Scarlett Johansson,38.188,0,1518812988,623357910,41,895455078,59,,,,JohnH.Auer,,,,8.1,1347324,movie,The Avengers,0,2012,143,"Action,Adventure,Sci-Fi"
1,Skyfall,Daniel Craig,18.56,Judi Dench,8.949,Javier Bardem,24.038,Ralph Fiennes,32.618,Naomie Harris,15.392,1,1108561013,304360277,27.5,804200736,72.5,92.0,86.0,PG-13,SamMendes,"MichaelG.Wilson,BarbaraBroccoli",11-9-2012,304400000.0,7.8,682291,movie,Skyfall,0,2012,143,"Action,Adventure,Thriller"
2,The Dark Knight Rises,Christian Bale,26.638,Michael Caine,14.985,Gary Oldman,27.283,Anne Hathaway,36.931,Tom Hardy,59.898,2,1081041287,448139099,41.5,632902188,58.5,87.0,90.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan,CharlesRoven",7-20-2012,2000000.0,8.4,1640861,movie,The Dark Knight Rises,0,2012,164,"Action,Crime,Drama"
3,The Hobbit: An Unexpected Journey,Ian McKellen,15.137,Martin Freeman,18.272,Richard Armitage,16.794,James Nesbitt,6.15,Ken Stott,6.503,3,1017003568,303003568,29.8,714000000,70.2,64.0,83.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-14-2012,303000000.0,7.8,800714,movie,The Hobbit: An Unexpected Journey,0,2012,169,"Adventure,Fantasy"
4,Ice Age 4: Continental Drift,Ray Romano,9.767,John Leguizamo,11.213,Denis Leary,16.184,Seann William Scott,13.293,Josh Peck,15.704,4,877244782,161321843,18.4,715922939,81.6,37.0,62.0,PG,"SteveMartino,MikeThurmeier","LoriForte,JohnC.Donkin",7-13-2012,,6.5,204792,movie,Ice Age: Continental Drift,0,2012,88,"Adventure,Animation,Comedy"
5,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart,28.953,Robert Pattinson,26.955,Taylor Lautner,22.521,Peter Facinelli,17.93,Elizabeth Reaser,16.164,5,829746820,292324737,35.2,537422083,64.8,49.0,70.0,PG-13,BillCondon,"WyckGodfrey,KarenRosenfelt,StephenieMeyer",11-16-2012,292300000.0,5.6,244509,movie,The Twilight Saga: Breaking Dawn - Part 2,0,2012,115,"Adventure,Drama,Fantasy"
6,The Amazing Spider-Man,Andrew Garfield,34.741,Emma Stone,40.711,Rhys Ifans,55.189,Denis Leary,16.184,Martin Sheen,6.304,6,757930663,262030663,34.6,495900000,65.4,72.0,77.0,PG-13,MarcWebb,"LauraZiskin,AviArad,MatthewTolmach",7-3-2012,262000000.0,7.0,634606,movie,The Amazing Spider-Man,0,2012,136,"Action,Adventure,Sci-Fi"
7,Madagascar 3: Europe's Most Wanted,Ben Stiller,11.792,Chris Rock,20.036,David Schwimmer,8.695,Jada Pinkett Smith,33.927,Frances McDormand,16.265,7,746921274,216391482,29,530529792,71,78.0,72.0,PG,"EricDarnell,TomMcGrath,ConradVernon","MireilleSoria,MarkSwift",6-8-2012,,6.8,176542,movie,Madagascar 3: Europe's Most Wanted,0,2012,95,"Adventure,Animation,Comedy"
8,The Hunger Games,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855,8,694394724,408010692,58.8,286384032,41.2,84.0,81.0,PG-13,GaryRoss,"NinaJacobson,JonKilik",3-23-2012,408000000.0,7.2,894681,movie,The Hunger Games,0,2012,142,"Action,Adventure,Sci-Fi"
9,Men in Black 3,Will Smith,33.966,Tommy Lee Jones,27.694,Josh Brolin,39.186,Jemaine Clement,11.301,Emma Thompson,24.804,9,624026776,179020854,28.7,445005922,71.3,68.0,70.0,PG-13,BarrySonnenfeld,"WalterF.Parkes,LaurieMacDonald",5-25-2012,179000000.0,6.8,354548,movie,Men in Black 3,0,2012,106,"Action,Adventure,Comedy"
