,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Toy Story 3,Tom Hanks,27.299,Tim Allen,18.361,Joan Cusack,14.925,Don Rickles,6.514,Wallace Shawn,23.955,0,1066969703,415004880,38.9,651964823,61.1,98.0,90.0,G,LeeUnkrich,DarlaK.Anderson,6-18-2010,415000000.0,8.3,809276,movie,Toy Story 3,0,2010,103,"Adventure,Animation,Comedy"
1,Alice in Wonderland,Kathryn Beaumont,3.164,Ed Wynn,5.868,Richard Haydn,5.899,Sterling Holloway,4.586,Jerry Colonna,3.879,1,1025467110,334191110,32.6,691276000,67.4,,48.0,,"CecilM.Hepworth,PercyStow",,10-17-1903,,6.4,405035,movie,Alice in Wonderland,0,2010,108,"Adventure,Family,Fantasy"
2,Alice in Wonderland,Kathryn Beaumont,3.164,Ed Wynn,5.868,Richard Haydn,5.899,Sterling Holloway,4.586,Jerry Colonna,3.879,2,1025467110,334191110,32.6,691276000,67.4,,48.0,,"CecilM.Hepworth,PercyStow",,10-17-1903,,7.2,12,movie,Alice in Wonderland,0,2010,99,"Fantasy,Musical"
3,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe,24.549,Rupert Grint,11.399,Emma Watson,69.598,Helena Bonham Carter,40.369,Robbie Coltrane,11.869,3,976536918,295983305,30.3,680553613,69.7,77.0,85.0,PG-13,DavidYates,"DavidHeyman,DavidBarron,J.K.Rowling",11-19-2010,295000000.0,7.7,527205,movie,Harry Potter and the Deathly Hallows: Part 1,0,2010,146,"Adventure,Family,Fantasy"
4,Inception,Leonardo DiCaprio,24.953,Joseph Gordon-Levitt,20.585,Ken Watanabe,19.69,Tom Hardy,59.898,Elliot Page,20.968,4,826137188,292576195,35.4,533560993,64.6,87.0,91.0,PG-13,ChristopherNolan,"ChristopherNolan,EmmaThomas",7-16-2010,292600000.0,8.8,2255111,movie,Inception,0,2010,148,"Action,Adventure,Sci-Fi"
5,Shrek Forever After,Mike Myers,16.026,Eddie Murphy,13.301,Cameron Diaz,18.596,Antonio Banderas,18.301,Julie Andrews,12.132,5,752600867,238736787,31.7,513864080,68.3,58.0,54.0,PG,MikeMitchell,"GinaShay,TeresaCheng",5-21-2010,,6.3,199029,movie,Shrek Forever After,0,2010,93,"Adventure,Animation,Comedy"
6,The Twilight Saga: Eclipse,Kristen Stewart,28.953,Robert Pattinson,26.955,Taylor Lautner,22.521,Ashley Greene,24.874,Peter Facinelli,17.93,6,698491347,300531751,43,397959596,57,48.0,60.0,PG-13,DavidSlade,"WyckGodfrey,KarenRosenfelt",6-30-2010,300500000.0,5.0,241520,movie,The Twilight Saga: Eclipse,0,2010,124,"Action,Adventure,Drama"
7,Iron Man 2,Robert Downey Jr.,38.361,Gwyneth Paltrow,15.957,Don Cheadle,12.494,Scarlett Johansson,38.188,Sam Rockwell,13.281,7,623933331,312433331,50.1,311500000,49.9,72.0,71.0,PG-13,JonFavreau,KevinFeige,5-7-2010,312100000.0,7.0,787754,movie,Iron Man 2,0,2010,124,"Action,Adventure,Sci-Fi"
8,Tangled,Mandy Moore,15.654,Zachary Levi,21.383,Donna Murphy,7.898,Ron Perlman,19.305,M.C. Gainey,4.138,8,592461732,200821936,33.9,391639796,66.1,,40.0,,,,,,7.8,437762,movie,Tangled,0,2010,100,"Adventure,Animation,Comedy"
9,Despicable Me,Steve Carell,18.584,Miranda Cosgrove,32.281,Dana Gaier,7.253,Elsie Fisher,12.425,Jason Segel,9.132,9,543113985,251513985,46.3,291600000,53.7,81.0,82.0,PG,"ChrisRenaud,PierreCoffin","ChristopherMeledandri,JohnCohen,JanetHealy",7-9-2010,251500000.0,7.6,530731,movie,Despicable Me,0,2010,95,"Adventure,Animation,Comedy"
