,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
116,117,Logan Lucky,"$48,453,605","$27,780,977",57.3%,"$20,672,628",42.7%
117,118,Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",97.9%,"$1,014,360",2.1%
118,119,Sky Hunter,"$48,065,601",-,-,"$48,065,601",100%
119,120,Phantom Thread,"$47,756,590","$21,198,205",44.4%,"$26,558,385",55.6%
120,121,Rough Night,"$47,347,283","$22,105,643",46.7%,"$25,241,640",53.3%
121,122,Son of Bigfoot,"$47,046,281","$289,308",0.6%,"$46,756,973",99.4%
122,123,Three Seconds,"$46,596,415",-,-,"$46,596,415",100%
123,124,The Thousand Faces of Dunjia,"$46,263,237","$124,187",0.3%,"$46,139,050",99.7%
124,125,The Battleship Island,"$46,183,383","$1,104,957",2.4%,"$45,078,426",97.6%
125,126,Hanson and the Beast,"$46,154,323",-,-,"$46,154,323",100%
126,127,Gintama Live Action the Movie,"$45,746,967",-,-,"$45,746,967",100%
127,128,Guilty of Mind,"$45,698,503",-,-,"$45,698,503",100%
128,129,Flatliners,"$45,158,254","$16,883,115",37.4%,"$28,275,139",62.6%
129,130,Bad Genius,"$44,560,421",-,-,"$44,560,421",100%
130,131,Mother!,"$44,516,999","$17,800,004",40%,"$26,716,995",60%
131,132,Wind River,"$43,980,821","$33,800,859",76.9%,"$10,179,962",23.1%
132,133,Battle of Memories,"$43,892,362","$594,552",1.4%,"$43,297,810",98.6%
133,134,The Snowman,"$43,155,261","$6,700,035",15.5%,"$36,455,226",84.5%
134,135,Gifted,"$43,046,590","$24,801,212",57.6%,"$18,245,378",42.4%
135,136,Loving Vincent,"$42,187,665","$6,735,118",16%,"$35,452,547",84%
136,137,Mary and the Witch's Flower,"$41,978,431","$2,418,404",5.8%,"$39,560,027",94.2%
137,138,Call Me by Your Name,"$41,887,595","$18,095,701",43.2%,"$23,791,894",56.8%
138,139,T2 Trainspotting,"$41,681,746","$2,402,004",5.8%,"$39,279,742",94.2%
139,140,Fist Fight,"$41,087,017","$32,187,017",78.3%,"$8,900,000",21.7%
140,141,The Circle,"$40,656,399","$20,497,844",50.4%,"$20,158,555",49.6%
141,142,Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",51.7%,"$19,402,248",48.3%
142,143,Brotherhood of Blades 2,"$39,966,092","$14,204",<0.1%,"$39,951,888",100%
143,144,Midnight Runners,"$39,730,433",-,-,"$39,730,433",100%
144,145,The King,"$37,886,707",-,-,"$37,886,707",100%
145,146,Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",6.4%,"$35,150,422",93.6%
146,147,Home Again,"$37,270,721","$27,020,284",72.5%,"$10,250,437",27.5%
147,148,The Adventurers,"$36,796,816","$216,556",0.6%,"$36,580,260",99.4%
148,149,"Tad, the Lost Explorer, and the Secret of King Midas","$35,704,046","$5,874",<0.1%,"$35,698,172",100%
149,150,Hostiles,"$35,669,017","$29,819,114",83.6%,"$5,849,903",16.4%
150,151,Namiya,"$35,351,623","$70,814",0.2%,"$35,280,809",99.8%
151,152,Destiny: The Tale of Kamakura,"$35,166,640",-,-,"$35,166,640",100%
152,153,The Liquidator,"$35,046,130",-,-,"$35,046,130",100%
153,154,Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%
154,155,R.A.I.D. Special Unit,"$34,598,750",-,-,"$34,598,750",100%
155,156,The House,"$34,184,504","$25,584,504",74.8%,"$8,600,000",25.2%
156,157,I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.8%,"$33,470,987",99.2%
157,158,Perfect Strangers,"$33,262,366","$1,014,507",3.1%,"$32,247,859",96.9%
158,159,Sleepless,"$32,917,353","$20,783,704",63.1%,"$12,133,649",36.9%
159,160,Hindi Medium,"$32,841,493",-,-,"$32,841,493",100%
160,161,Steel Rain,"$32,783,733",-,-,"$32,783,733",100%
161,162,The House That Never Dies II,"$32,433,588",-,-,"$32,433,588",100%
162,163,The Invisible Guest,"$31,191,910",-,-,"$31,191,910",100%
163,164,This Is Not What I Expected,"$30,996,615","$337,670",1.1%,"$30,658,945",98.9%
164,165,The Last Warrior,"$30,618,274",-,-,"$30,618,274",100%
165,166,Reset 2017 Re-release,"$29,949,252","$108,970",0.4%,"$29,840,282",99.6%
166,167,The Bye Bye Man,"$29,874,280","$22,395,806",75%,"$7,478,474",25%
167,168,The Disaster Artist,"$29,820,616","$21,120,616",70.8%,"$8,700,000",29.2%
168,169,The Swindlers,"$29,721,916","$241,916",0.8%,"$29,480,000",99.2%
169,170,Alibi.com,"$29,370,592",-,-,"$29,370,592",100%
170,171,Sword Art Online the Movie: Ordinal Scale,"$29,322,339","$1,522,976",5.2%,"$27,799,363",94.8%
171,172,Recep Ivedik 5,"$28,952,258",-,-,"$28,952,258",100%
172,173,Judwaa 2,"$28,733,523","$1,431,255",5%,"$27,302,268",95%
173,174,The Fortress,"$28,645,448","$252,895",0.9%,"$28,392,553",99.1%
174,175,What Happened to Monday,"$27,975,429",-,-,"$27,975,429",100%
175,176,Monster Family,"$27,890,108","$127,259",0.5%,"$27,762,849",99.5%
176,177,The Beguiled,"$27,869,129","$10,709,995",38.4%,"$17,159,134",61.6%
177,178,CHIPS,"$26,800,152","$18,600,152",69.4%,"$8,200,000",30.6%
178,179,A Cure for Wellness,"$26,620,002","$8,106,986",30.5%,"$18,513,016",69.5%
179,180,Only the Brave,"$26,351,322","$18,343,983",69.6%,"$8,007,339",30.4%
180,181,Twenty Two,"$26,289,378","$46,796",0.2%,"$26,242,582",99.8%
181,182,The Zookeeper's Wife,"$26,152,835","$17,571,660",67.2%,"$8,581,175",32.8%
182,183,Badrinath Ki Dulhania,"$26,134,309","$1,993,259",7.6%,"$24,141,050",92.4%
183,184,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,"$25,960,664",-,-,"$25,960,664",100%
184,185,Love Off the Cuff,"$25,959,989",-,-,"$25,959,989",100%
185,186,Fireworks,"$25,672,406","$525,280",2%,"$25,147,126",98%
186,187,Father Figures,"$25,601,244","$17,501,244",68.4%,"$8,100,000",31.6%
187,188,Money,"$25,403,753",-,-,"$25,403,753",100%
188,189,The Death of Stalin,"$24,646,055","$8,047,856",32.7%,"$16,598,199",67.3%
189,190,The 8-Year Engagement,"$24,425,963",-,-,"$24,425,963",100%
190,191,Jolly LLB 2,"$24,214,186","$1,654,254",6.8%,"$22,559,932",93.2%
191,192,I Can Speak,"$24,024,444","$63,239",0.3%,"$23,961,205",99.7%
192,193,Wish Upon,"$23,468,586","$14,301,505",60.9%,"$9,167,081",39.1%
193,194,Detroit,"$23,355,100","$16,790,139",71.9%,"$6,564,961",28.1%
194,195,Extraordinary Mission,"$22,757,764","$54,174",0.2%,"$22,703,590",99.8%
195,196,The Glass Castle,"$22,088,533","$17,273,059",78.2%,"$4,815,474",21.8%
196,197,Leap! 2017 Re-release,"$21,929,861","$21,858,070",99.7%,"$71,791",0.3%
197,198,Épouse-moi mon pote,"$21,571,464",-,-,"$21,571,464",100%
198,199,The Prison,"$21,205,329","$207,481",1%,"$20,997,848",99%
199,200,One Hundred Thousand Bad Jokes 2,"$20,460,352",-,-,"$20,460,352",100%
