,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
0,1,The Batman,"$603,263,177","$302,863,177",50.2%,"$300,400,000",49.8%
1,2,Water Gate Bridge,"$480,203,271","$117,294",<0.1%,"$480,085,977",100%
2,3,Uncharted,"$337,762,979","$126,362,979",37.4%,"$211,400,000",62.6%
3,4,Too Cool to Kill,"$217,255,728","$185,882",<0.1%,"$217,069,846",99.9%
4,5,Scream,"$139,813,281","$81,413,281",58.2%,"$58,400,000",41.8%
5,6,Death on the Nile,"$131,096,416","$43,696,919",33.3%,"$87,399,497",66.7%
6,7,Jackass Forever,"$78,026,022","$57,326,022",73.5%,"$20,700,000",26.5%
7,8,Dog,"$64,425,030","$54,484,581",84.6%,"$9,940,449",15.4%
8,9,Marry Me,"$49,050,410","$22,351,410",45.6%,"$26,699,000",54.4%
9,10,Moonfall,"$39,146,894","$19,060,660",48.7%,"$20,086,234",51.3%
10,11,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
11,12,The 355,"$27,401,205","$14,570,455",53.2%,"$12,830,750",46.8%
12,13,The Kashmir Files,"$24,242,170","$1,485,000",6.1%,"$22,757,170",93.9%
13,14,Radhe Shyam,"$15,956,283","$1,860,000",11.7%,"$14,096,283",88.3%
14,15,Bheemla Nayak,"$15,021,965",-,-,"$15,021,965",100%
15,16,Super-héros malgré lui,"$14,280,614",-,-,"$14,280,614",100%
16,17,Blacklight,"$14,072,601","$9,570,333",68%,"$4,502,268",32%
17,18,Maison de retraite,"$13,782,342",-,-,"$13,782,342",100%
18,19,Valimai,"$13,276,393",-,-,"$13,276,393",100%
19,20,Wunderschön,"$12,626,169",-,-,"$12,626,169",100%
20,21,The Pirates: The Last Royal Treasure,"$10,266,142",-,-,"$10,266,142",100%
21,22,Vaillante,"$9,904,495",-,-,"$9,904,495",100%
22,23,Redeeming Love,"$9,436,988","$9,214,020",97.6%,"$222,968",2.4%
23,24,Turning Red,"$8,643,727",-,-,"$8,643,727",100%
24,25,The Bad Guys,"$8,438,000",-,-,"$8,438,000",100%
25,26,The Last 10 Years,"$7,993,429",-,-,"$7,993,429",100%
26,27,Doraemon the Movie: Nobita's Little Star Wars 2021,"$6,984,462",-,-,"$6,984,462",100%
27,28,Cyrano,"$6,089,666","$3,719,743",61.1%,"$2,369,923",38.9%
28,29,Kingmaker,"$6,049,436",-,-,"$6,049,436",100%
29,30,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
30,31,Adieu Monsieur Haffmann,"$5,781,484",-,-,"$5,781,484",100%
31,32,The Duke,"$5,652,619",-,-,"$5,652,619",100%
32,33,The Cherry Bushido,"$5,119,325","$14,182",0.3%,"$5,105,143",99.7%
33,34,Chickenhare and the Hamster of Darkness,"$4,967,154",-,-,"$4,967,154",100%
34,35,The Cursed,"$4,579,023","$4,579,023",100%,-,-
35,36,Waiting for Bojangles,"$4,457,845",-,-,"$4,457,845",100%
36,37,X,"$4,407,750","$4,407,750",100%,-,-
37,38,Ambulance,"$4,274,000",-,-,"$4,274,000",100%
38,39,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
39,40,The Godfather 2022 Re-release,"$4,134,385","$1,334,385",32.3%,"$2,800,000",67.7%
40,41,Bheeshma Parvam,"$4,068,477",-,-,"$4,068,477",100%
41,42,Maigret,"$3,974,524",-,-,"$3,974,524",100%
42,43,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
43,44,Beautiful Minds,"$3,651,250",-,-,"$3,651,250",100%
44,45,Un Autre Monde,"$3,570,119",-,-,"$3,570,119",100%
45,46,Special Delivery,"$3,536,617",-,-,"$3,536,617",100%
46,47,King,"$3,516,803",-,-,"$3,516,803",100%
47,48,Belli ciao,"$3,423,847",-,-,"$3,423,847",100%
48,49,Between Two Worlds,"$3,317,253",-,-,"$3,317,253",100%
49,50,Goliath,"$3,276,852",-,-,"$3,276,852",100%
50,51,Etharkkum Thunindhavan,"$3,264,667",-,-,"$3,264,667",100%
51,52,Gangubai Kathiawadi,"$3,192,000","$592,000",18.5%,"$2,600,000",81.5%
52,53,Studio 666,"$2,988,867","$2,513,963",84.1%,"$474,904",15.9%
53,54,The Young Lovers,"$2,955,577",-,-,"$2,955,577",100%
54,55,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
55,56,Permis de construire,"$2,717,103",-,-,"$2,717,103",100%
56,57,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
57,58,Chuyen Ma Gan Nhà,"$2,569,119",-,-,"$2,569,119",100%
58,59,Promises,"$2,533,430",-,-,"$2,533,430",100%
59,60,¡Qué Despadre!,"$2,486,337",-,-,"$2,486,337",100%
60,61,The Glance of Music,"$2,427,186",-,-,"$2,427,186",100%
61,62,Disobedient,"$2,246,180",-,-,"$2,246,180",100%
62,63,The Beatles: Get Back - The Rooftop Concert,"$2,176,712","$976,712",44.9%,"$1,200,000",55.1%
63,64,Around the World in 80 Days,"$2,084,626",-,-,"$2,084,626",100%
64,65,Notre-Dame brûle,"$2,072,569",-,-,"$2,072,569",100%
65,66,The Exorcism of God,"$2,064,669",-,-,"$2,064,669",100%
66,67,Tajemství staré bambitky 2,"$2,056,980",-,-,"$2,056,980",100%
67,68,Fireheart,"$2,036,108",-,-,"$2,036,108",100%
68,69,Bergen,"$2,024,204",-,-,"$2,024,204",100%
69,70,The Grandmother,"$1,953,729",-,-,"$1,953,729",100%
70,71,The Beatles: Get Back,"$1,939,141",-,-,"$1,939,141",100%
71,72,In Our Prime,"$1,933,361",-,-,"$1,933,361",100%
72,73,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
73,74,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
74,75,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
75,76,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
76,77,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
77,78,Ensemble Stars!! Road to Show!!,"$1,701,793",-,-,"$1,701,793",100%
78,79,The Outfit,"$1,649,335","$1,649,335",100%,-,-
79,80,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
80,81,Heart of Oak,"$1,613,736",-,-,"$1,613,736",100%
81,82,Undercover,"$1,601,934",-,-,"$1,601,934",100%
82,83,Gierek,"$1,531,831",-,-,"$1,531,831",100%
