,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Star Wars: Episode VIII - The Last Jedi,Mark Hamill,19.041,Carrie Fisher,9.03,Adam Driver,18.735,Daisy Ridley,20.045,John Boyega,7.174,0,1332539889,620181382,46.5,712358507,53.5,,,,,,,,6.9,608098,movie,Star Wars: Episode VIII - The Last Jedi,0,2017,152,"Action,Adventure,Fantasy"
1,Beauty and the Beast,Paige O'Hara,5.62,Robby Benson,14.18,Richard White,2.212,Jerry Orbach,11.406,David Ogden Stiers,5.66,1,1263521126,504014165,39.9,759506961,60.1,71.0,80.0,PG,BillCondon,"DavidHoberman,ToddLieberman",3-17-2017,504000000.0,7.1,299157,movie,Beauty and the Beast,0,2017,129,"Adventure,Family,Fantasy"
2,The Fate of the Furious,Vin Diesel,29.696,Jason Statham,68.171,Dwayne Johnson,29.99,Michelle Rodriguez,23.481,Tyrese Gibson,8.218,2,1236005118,226008385,18.3,1009996733,81.7,67.0,72.0,PG-13,F.GaryGray,"NealH.Moritz,VinDiesel,MichaelFottrell,ChrisMorgan",4-14-2017,225700000.0,6.6,225701,movie,The Fate of the Furious,0,2017,136,"Action,Crime,Thriller"
3,Despicable Me 3,Steve Carell,18.584,Kristen Wiig,16.468,Trey Parker,19.567,Miranda Cosgrove,32.281,Dana Gaier,7.253,3,1034799409,264624300,25.6,770175109,74.4,59.0,53.0,PG,"PierreCoffin,KyleBalda","ChristopherMeledandri,JanetHealy",6-30-2017,264600000.00000003,6.3,128233,movie,Despicable Me 3,0,2017,89,"Adventure,Animation,Comedy"
4,Jumanji: Welcome to the Jungle,Dwayne Johnson,29.99,Jack Black,23.771,Kevin Hart,14.271,Karen Gillan,37.205,Nick Jonas,9.775,4,962077546,404515480,42,557562066,58.0,76.0,87.0,PG-13,JakeKasdan,"MatthewTolmach,WilliamTeitler",12-20-2017,404600000.0,6.9,362255,movie,Jumanji: Welcome to the Jungle,0,2017,119,"Action,Adventure,Comedy"
5,Spider-Man: Homecoming,Tom Holland,128.32,Michael Keaton,17.975,Robert Downey Jr.,38.361,Marisa Tomei,23.257,Jon Favreau,13.562,5,880166924,334201140,38,545965784,62.0,92.0,87.0,PG-13,JonWatts,"AmyPascal,KevinFeige",7-7-2017,334400000.0,7.4,621059,movie,Spider-Man: Homecoming,0,2017,133,"Action,Adventure,Sci-Fi"
6,Wolf Warrior 2,Wu Jing,19.876,Frank Grillo,21.101,Celina Jade,6.772,Zhang Han,12.231,Nan Yu,5.911,6,870325439,2721100,0.3,867604339,99.7,69.0,75.0,,JingWu,,7-28-2017,2700000.0,5.9,7892,movie,Zhan lang II,0,2017,123,"Action,Adventure,Drama"
7,Guardians of the Galaxy Vol. 2,Chris Pratt,27.826,Zoe Saldana,26.317,Dave Bautista,21.582,Vin Diesel,29.696,Bradley Cooper,38.912,7,863756051,389813101,45.1,473942950,54.9,85.0,87.0,PG-13,JamesGunn,KevinFeige,5-5-2017,389800000.0,7.6,643923,movie,Guardians of the Galaxy Vol. 2,0,2017,136,"Action,Adventure,Comedy"
8,Thor: Ragnarok,Chris Hemsworth,36.221,Tom Hiddleston,32.759,Cate Blanchett,18.898,Tessa Thompson,9.288,Jeff Goldblum,13.337,8,853977126,315058289,36.9,538918837,63.1,93.0,87.0,PG-13,TaikaWaititi,KevinFeige,11-3-2017,315000000.0,7.9,689404,movie,Thor: Ragnarok,0,2017,130,"Action,Adventure,Comedy"
9,Wonder Woman,Gal Gadot,38.496,Chris Pine,29.596,Kristen Wiig,16.468,Pedro Pascal,27.815,Robin Wright,13.714,9,821847012,412563408,50.2,409283604,49.8,93.0,83.0,PG-13,PattyJenkins,"CharlesRoven,DeborahSnyder,ZackSnyder,RichardSuckle",6-2-2017,412800000.0,7.4,633056,movie,Wonder Woman,0,2017,141,"Action,Adventure,Fantasy"
10,Coco,Anthony Gonzalez,3.094,Gael García Bernal,11.422,Benjamin Bratt,14.298,Alanna Ubach,13.596,Renée Victor,4.118,10,807816196,210460015,26.1,597356181,73.9,97.0,94.0,PG,LeeUnkrich,DarlaK.Anderson,11-22-2017,210500000.0,8.4,470986,movie,Coco,0,2017,105,"Adventure,Animation,Comedy"
