,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
67,67,67,Masquerade,94268432,922921,1,93345511,99,14.0,33.0,,ShaneDaxTaylor,"StevenSchneider,ShaneDaxTaylor,KennethBurke",7-30-2021,,7.8,6692,movie,"Gwang-hae, wang-i doin nam-ja",0,2012,131,"Drama,History"
68,68,68,Brave Hearts: Umizaru,91884352,-,-,91884352,100,,,,,,,,6.5,293,movie,Brave Hearts: Umizaru,0,2012,116,Action
69,69,69,This Is 40,88215156,67544505,76.6,20670651,23.4,51.0,50.0,R,JuddApatow,"JuddApatow,BarryMendel,ClaytonTownsend",12-21-2012,67500000.0,6.2,137257,movie,This Is 40,0,2012,134,"Comedy,Romance"
70,70,70,The Thieves,87126367,685839,0.8,86440528,99.2,67.0,70.0,,ChoiDong-hoon,"AhnSuhyeon,LeeJa-jun",10-12-2012,137.0K,6.8,10198,movie,Dodookdeul,0,2012,135,"Action,Comedy,Crime"
71,71,71,The Possession,85446075,49130154,57.5,36315921,42.5,39.0,48.0,PG-13,OleBornedal,"SamRaimi,RobTapert,J.R.Young",8-31-2012,49100000.0,5.9,59661,movie,The Possession,0,2012,92,"Horror,Mystery,Thriller"
72,72,72,What to Expect When You're Expecting,84384002,41152203,48.8,43231799,51.2,23.0,47.0,PG-13,KirkJones,"MikeMedavoy,ArnoldMesser,DavidThwaites",5-18-2012,41100000.0,5.7,72367,movie,What to Expect When You're Expecting,0,2012,110,"Comedy,Drama,Romance"
73,73,73,Savages,82966152,47382068,57.1,35584084,42.9,50.0,54.0,R,OliverStone,"MoritzBorman,EricKopeloff",7-6-2012,47300000.0,6.5,129004,movie,Savages,0,2012,131,"Action,Crime,Drama"
74,74,74,Sinister,82515113,48086903,58.3,34428210,41.7,63.0,61.0,R,ScottDerrickson,"JasonBlum,BrianKavanaugh-Jones",10-12-2012,48100000.0,6.8,242046,movie,Sinister,0,2012,110,"Horror,Mystery,Thriller"
75,75,75,Act of Valor,82497035,70012847,84.9,12484188,15.1,28.0,72.0,R,"MikeMcCoy,ScottWaugh","MikeMcCoy,ScottWaugh",2-24-2012,70000000.0,6.5,68710,movie,Act of Valor,0,2012,110,"Action,Adventure,Thriller"
76,76,76,Frankenweenie,81491068,35291068,43.3,46200000,56.7,87.0,70.0,PG,TimBurton,"TimBurton,AllisonAbbate",10-5-2012,,6.9,105197,movie,Frankenweenie,0,2012,87,"Animation,Comedy,Drama"
77,77,77,Diary of a Wimpy Kid: Dog Days,77229695,49008662,63.5,28221033,36.5,52.0,63.0,PG,DavidBowers,"NinaJacobson,BradSimpson",8-3-2012,49000000.0,6.3,25273,movie,Diary of a Wimpy Kid: Dog Days,0,2012,94,"Comedy,Family"
78,78,78,Thermae Romae,74285251,-,-,74285251,100,,40.0,,HidekiTakeuchi,,,,6.4,2351,movie,Terumae romae,0,2012,108,"Comedy,Fantasy,Sci-Fi"
79,79,79,One Piece Film Z,74223861,-,-,74223861,100,,75.0,,TatsuyaNagamine,,,,7.9,6836,movie,One Piece Film Z,0,2012,108,"Action,Adventure,Animation"
80,80,80,To Rome with Love,73244881,16685867,22.8,56559014,77.2,46.0,40.0,R,WoodyAllen,"LettyAronson,StephenTenenbaum,GiampaoloLetta,FarukAlatan",7-6-2012,16700000.0,6.3,87457,movie,To Rome with Love,0,2012,112,"Comedy,Music,Romance"
81,81,81,Here Comes the Boom,73100172,45290318,62,27809854,38,42.0,65.0,PG,FrankCoraci,"ToddGarner,KevinJames",10-12-2012,45300000.0,6.4,90565,movie,Here Comes the Boom,0,2012,105,"Action,Comedy,Sport"
82,82,82,Bayside Shakedown the Final,72867395,-,-,72867395,100,,,,,,,,5.5,239,movie,Odoru daisousasen the Final: Aratanaru kibou,0,2012,126,"Action,Crime"
83,83,83,The Watch,68267862,35353000,51.8,32914862,48.2,16.0,39.0,R,AkivaSchaffer,ShawnLevy,7-27-2012,34400000.0,5.7,126171,movie,The Watch,0,2012,102,"Comedy,Sci-Fi"
84,84,84,Moonrise Kingdom,68263166,45512466,66.7,22750700,33.3,93.0,86.0,PG-13,WesAnderson,"WesAnderson,ScottRudin,StevenRales,JeremyDawson",6-29-2012,45500000.0,7.8,342429,movie,Moonrise Kingdom,0,2012,94,"Comedy,Drama,Romance"
85,85,85,Madea's Witness Protection,66899242,65653242,98.1,1246000,1.9,19.0,66.0,PG-13,TylerPerry,"TylerPerry,OzzieAreu,PaulHall",6-29-2012,65599999.99999999,4.9,10799,movie,Madea's Witness Protection,0,2012,114,"Comedy,Crime,Drama"
86,86,86,Astérix and Obélix: God Save Britannia,61319383,-,-,61319383,100,,23.0,,LaurentTirard,"OlivierDelbosc,GenevieveLemal,ÁlvaroLongoria,PeterMiskolczi",,,5.3,14746,movie,Astérix & Obélix: Au service de sa Majesté,0,2012,110,"Adventure,Comedy,Family"
87,87,87,Evangelion: 3.0 You Can (Not) Redo,60488344,174945,0.3,60313399,99.7,,,,,,,,6.9,14539,movie,Evangelion Shin Gekijôban: Kyu,0,2012,96,"Action,Animation,Drama"
88,88,88,Quartet,59520298,18390117,30.9,41130181,69.1,80.0,66.0,PG-13,DustinHoffman,"FinolaDwyer,StewartMackinnon",1-11-2013,18400000.0,6.8,20126,movie,Quartet,0,2012,98,"Comedy,Drama,Music"
89,89,89,Rock of Ages,59418613,38518613,64.8,20900000,35.2,43.0,55.0,PG-13,AdamShankman,"MattWeaver,ScottPrisand,CarlLevin,TobeyMaguire,GarrettGrant,JenniferGibgot",6-15-2012,38500000.0,5.9,76945,movie,Rock of Ages,0,2012,123,"Comedy,Drama,Musical"
90,90,90,That's My Boy,57719093,36931089,64,20788004,36,20.0,51.0,R,SeanAnders,"AdamSandler,JackGiarraputo,HeatherParry,AllenCovert",6-15-2012,36900000.0,5.5,98218,movie,That's My Boy,0,2012,116,Comedy
91,91,91,The Odd Life of Timothy Green,56012642,51854875,92.6,4157767,7.4,36.0,67.0,PG,PeterHedges,"AhmetZappa,ScottSanders,JamesWhitaker",8-15-2012,51900000.0,6.6,46651,movie,The Odd Life of Timothy Green,0,2012,105,"Comedy,Drama,Family"
92,92,92,Lawless,55404159,37400127,67.5,18004032,32.5,66.0,74.0,R,JohnHillcoat,"DouglasWick,LucyFisher,MeganEllison,MichaelBenaroya",8-29-2012,37300000.0,7.2,239282,movie,Lawless,0,2012,116,"Biography,Crime,Drama"
93,93,93,End of Watch,55078146,41003371,74.4,14074775,25.6,85.0,86.0,R,DavidAyer,"JohnLesher,DavidAyer,NigelSinclair,MattJackson",9-21-2012,41000000.0,7.6,242755,movie,End of Watch,0,2012,109,"Action,Adventure,Crime"
94,94,94,Wolf Children,55045228,-,-,55045228,100,,,,,,,,8.1,43561,movie,Ôkami kodomo no Ame to Yuki,0,2012,117,"Animation,Drama,Family"
95,95,95,The Three Stooges,54819301,44338224,80.9,10481077,19.1,,86.0,,LouBreslow,,,,5.1,31447,movie,The Three Stooges,0,2012,92,"Comedy,Family"
96,96,96,The Five-Year Engagement,54169363,28835528,53.2,25333835,46.8,64.0,51.0,R,NicholasStoller,"JuddApatow,NicholasStoller,RodneyRothman",4-27-2012,28600000.0,6.2,98010,movie,The Five-Year Engagement,0,2012,124,"Comedy,Romance"
97,97,97,Red Dawn,50950296,44806783,87.9,6143513,12.1,15.0,51.0,PG-13,DanBradley,"BeauFlynn,TrippVinson",11-21-2012,44800000.0,5.3,76455,movie,Red Dawn,0,2012,93,"Action,Drama"
98,98,98,Red Tails,50365498,49876377,99,489121,1,40.0,58.0,PG-13,AnthonyHemingway,"RickMcCallum,CharlesFloydJohnson",1-20-2012,49900000.0,5.9,35314,movie,Red Tails,0,2012,125,"Action,Drama,History"
99,99,99,HOUBA! On the Trail of the Marsupilami,50146474,-,-,50146474,100,,36.0,,AlainChabat,"AmandineBillot,AlainChabat,ChristineRouxel",,,5.5,3861,movie,Sur la piste du Marsupilami,0,2012,105,"Adventure,Comedy,Family"
100,100,100,Tad: The Lost Explorer,49490859,-,-,49490859,100,,40.0,,EnriqueGato,"JordiGasull,EdmonRoch,ÁlvaroAugustin,NicolasMatji",,,5.9,8052,movie,Las aventuras de Tadeo Jones,0,2012,92,"Adventure,Animation,Comedy"
101,101,101,A Turtle's Tale 2: Sammy's Escape from Paradise,49261830,-,-,49261830,100,,,,,,,,5.6,2261,movie,Sammy's avonturen 2,0,2012,92,"Adventure,Animation,Family"
102,102,102,Trouble with the Curve,48963137,35763137,73,13200000,27,51.0,66.0,PG-13,RobertLorenz,"ClintEastwood,RobertLorenz,MicheleWeisler",9-21-2012,35800000.0,6.8,63434,movie,Trouble with the Curve,0,2012,111,"Drama,Sport"
103,103,103,Man on a Ledge,47636031,18620000,39.1,29016031,60.9,31.0,52.0,PG-13,AsgerLeth,"LorenzodiBonaventura,MarkVahradian",1-27-2012,18600000.0,6.6,150614,movie,Man on a Ledge,0,2012,102,"Action,Crime,Thriller"
104,104,104,A Werewolf Boy,46282588,342922,0.7,45939666,99.3,100.0,85.0,,JoSung-hee,YunIn-Beom,,,7.3,7810,movie,Neuk-dae-so-nyeon,0,2012,122,"Drama,Fantasy,Romance"
105,105,105,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,46180706,-,-,46180706,100,,,,,,,,6.8,376,movie,Eiga Doraemon: Nobita to kiseki no shima - Animaru adobenchâ,0,2012,100,"Action,Adventure,Animation"
106,106,106,Detective Conan: The Eleventh Striker,44369456,-,-,44369456,100,,,,,,,,6.5,1472,movie,Meitantei Conan: Juichi-ninme no Striker,0,2012,110,"Action,Adventure,Animation"
107,107,107,House at the End of the Street,44287131,31611916,71.4,12675215,28.6,13.0,41.0,PG-13,MarkTonderai,"AaronRyder,PeterBlock,HalLieberman",9-21-2012,31600000.0,5.5,76458,movie,House at the End of the Street,0,2012,101,"Drama,Horror,Thriller"
108,108,108,The Guilt Trip,41863726,37134215,88.7,4729511,11.3,37.0,39.0,PG-13,AnneFletcher,"LorneMichaels,JohnGoldwyn,EvanGoldberg",12-19-2012,37100000.0,5.8,37054,movie,The Guilt Trip,0,2012,95,"Comedy,Drama"
109,109,109,Dredd,41037742,13414714,32.7,27623028,67.3,79.0,72.0,R,PeteTravis,"AndrewMacdonald,AllonReich,AlexGarland,JasonKingsley,ChrisKingsley",9-21-2012,13300000.0,7.1,268765,movie,Dredd,0,2012,95,"Action,Crime,Sci-Fi"
110,110,110,La vérité si je mens! 3,40928635,-,-,40928635,100,,22.0,,ThomasGilou,,,,5.3,1762,movie,La vérité si je mens! 3,0,2012,112,Comedy
111,111,111,Always: Sunset on Third Street '64,40923305,-,-,40923305,100,,90.0,,TakashiYamazaki,ShujiAbe,,,7.1,635,movie,Always san-chôme no yûhi '64,0,2012,142,Drama
112,112,112,Chernobyl Diaries,38390020,18119640,47.2,20270380,52.8,19.0,28.0,R,BradleyParker,"OrenPeli,BrianWitten",5-25-2012,18100000.0,5.0,65892,movie,Chernobyl Diaries,0,2012,86,"Horror,Mystery,Thriller"
113,113,113,Killing Them Softly,37930465,15026056,39.6,22904409,60.4,74.0,44.0,R,AndrewDominik,"BradPitt,DedeGardner,SteveSchwartz,PaulaMaeSchwartz,AnthonyKatagas",11-30-2012,14900000.0,6.2,141520,movie,Killing Them Softly,0,2012,97,"Crime,Drama,Thriller"
114,114,114,Rurouni Kenshin Part I: Origins,37654579,-,-,37654579,100,,,,,,,,7.4,25600,movie,Rurôni Kenshin: Meiji kenkaku roman tan,0,2012,134,"Action,Adventure,Drama"
115,115,115,The Tower,36512327,-,-,36512327,100,,,,,,,,6.5,6089,movie,Ta-weo,0,2012,121,"Action,Drama,Thriller"
