,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
105,Okay Madam,105,Uhm Jung-hwa,6.03,Park Sung-woong,13.089,Lee Sang-yoon,5.144,Bae Jung-nam,3.065,Lee Sun-bin,8.947,9433525,-,-,9433525,100,,,,LeeCheol-ha,,,,6.6,1138,movie,Okay Madam,0,2020,100,"Action,Comedy"
106,The Closet,106,Donald Grant,0.98,Denise DuBarry,0.754,Henry Gibson,9.997,Paul Walker,20.93,Claude Akins,9.923,9039424,-,-,9039424,100,86.0,45.0,,KimGwang-bin,"YoonJong-bin,HaJung-woo",,,5.7,1772,movie,The Closet,0,2020,97,"Horror,Mystery"
107,Malasaña 32,107,Iván Marcos,5.762,Bea Segura,2.111,Begoña Vargas,12.846,Javier Botet,7.822,Iván Renedo,0.6,8968845,-,-,8968845,100,43.0,,,AlbertPintó,,,,5.5,4312,movie,Malasaña 32,0,2020,104,"Horror,Mystery"
108,Break the Silence: The Movie,108,Kim Nam-joon,7.077,Kim Seok-jin,11.446,Min Yoon-gi,3.002,Jung Ho-seok,6.655,Park Ji-min,4.497,8954345,-,-,8954345,100,,97.0,,ParkJun-soo,,9-24-2020,1700000.0,8.2,775,movie,Break the Silence: The Movie,0,2020,89,"Documentary,Music"
109,I Hate Summer,109,Aldo Baglio,2.894,Giovanni Storti,2.8,Giacomo Poretti,1.048,Lucia Mascino,6.108,Carlotta Natoli,2.831,8926071,-,-,8926071,100,,,,,,,,6.7,2558,movie,Odio l'estate,0,2020,110,Comedy
110,Downhill,110,Natalie Burn,2.347,Ignacia Allamand,4.07,Ariel Levy,1.4,Bryce Draper,1.602,Luke Massy,1.792,8899195,8287061,93.1,612134,6.9,37.0,14.0,R,"NatFaxon,JimRash","AnthonyBregman,JuliaLouis-Dreyfus,StefanieAzpiazu",2-14-2020,8300000.000000001,4.9,12002,movie,Downhill,0,2020,86,"Comedy,Drama"
111,Les blagues de Toto,111,Guillaume de Tonquédec,1.4,Ramzy Bedia,7.68,Daniel Prévost,4.162,Gavril Dartevelle,0.6,Anne Marivin,7.333,8859185,-,-,8859185,100,,,,,,,,3.8,132,movie,Les blagues de Toto,0,2020,84,"Comedy,Family"
112,The Secret Garden,112,Dixie Egerickx,5.119,Tommy Gene Surridge,0.6,Colin Firth,13.147,Julie Walters,11.734,Maeve Dermody,8.142,8721243,-,-,8721243,100,67.0,43.0,PG,MarcMunden,"DavidHeyman,RosieAlison",,,5.5,8346,movie,The Secret Garden,0,2020,99,"Drama,Family,Fantasy"
113,Eltilerin Savasi,113,Gupse Özay,7.577,Merve Dizdar,10.404,Ferit Aktuğ,8.91,Uraz Kaygılaroğlu,8.312,Füsun Demirel,1.538,8613864,-,-,8613864,100,,,,,,,,5.8,4258,movie,Eltilerin Savasi,0,2020,118,"Comedy,Family"
114,Malang,114,Shahid Khan,0.6,Sobia Khan,0.917,Jahangir Khan,0.6,Babrik Shah,1.613,Imran Khan,0.6,8399765,-,-,8399765,100,,,,,,,,6.5,10185,movie,Malang - Unleash the Madness,0,2020,135,"Action,Crime,Drama"
115,Two by Two: Overboard!,115,Max Carolan,0.84,Dermot Magennis,0.648,Tara Flynn,1.566,Ava Connolly,1.989,Mary Murray,0.829,8289774,-,-,8289774,100,20.0,,,"TobyGenkel,SeanMcCormack","EmelyChristians,MoeHonan,Jean-MarieMusique,ChristineParisse",,,5.8,534,movie,Ooops! The Adventure Continues,0,2020,85,"Adventure,Animation,Comedy"
116,100% Wolf,116,Ilai Swindells,2.982,Jai Courtney,10.934,Samara Weaving,23.726,Rhys Darby,20.97,Jane Lynch,15.419,8284355,658764,8,7625591,92,67.0,47.0,PG,AlexsStadermann,"AlexiaGates-Foale,BarbaraStephen,GregoryGavanski",,300.0K,5.7,1642,movie,100% Wolf,0,2020,96,"Adventure,Animation,Comedy"
117,Your Eyes Tell,117,Yuriko Yoshitaka,11.7,Ryusei Yokohama,16.296,Ryôsei Tayama,2.067,Kyosuke Yabe,5.215,Toru Nomaguchi,1.438,8020474,-,-,8020474,100,,,,,,,,7.4,860,movie,Kimi no me ga toikaketeiru,0,2020,123,"Drama,Romance"
118,AI Amok,118,Takao Osawa,2.402,Kento Kaku,4.613,Alice Hirose,6.378,Takanori Iwata,12.315,Masahiro Takashima,4.028,7932191,-,-,7932191,100,,,,,,,,5.2,159,movie,AI Houkai,0,2020,133,"Sci-Fi,Thriller"
119,The Lost Prince,119,Omar Sy,10.194,Bérénice Bejo,7.597,François Damiens,4.686,Sarah Gaye,1.687,Keyla Fala,2.216,7837980,-,-,7837980,100,71.0,77.0,TVPG,StephenPoliakoff,,,,5.3,1240,movie,Le prince oublié,0,2020,101,"Adventure,Comedy,Family"
120,Antoinette dans les Cévennes,120,Laure Calamy,7.452,Benjamin Lavernhe,4.525,Olivia Côte,4.522,Denis Mpunga,1.4,Marie Rivière,1.844,7821615,-,-,7821615,100,,,,,,,,6.5,2371,movie,Antoinette dans les Cévennes,0,2020,97,"Adventure,Comedy,Romance"
121,Antebellum,121,Janelle Monáe,8.504,Eric Lange,7.381,Jena Malone,14.701,Jack Huston,6.136,Kiersey Clemons,8.093,7770723,-,-,7770723,100,30.0,51.0,R,"GerardBush,ChristopherRenz","RaymondMansfield,SeanMcKittrick,ZevForeman,GerardBush,ChristopherRenz,LezlieWills",,,5.7,25164,movie,Antebellum,0,2020,105,"Drama,Horror,Mystery"
122,The Marriage Escape,122,Herman Finkers,0.6,Johanna ter Steege,4.836,Leonie ter Braak,0.6,Ferdi Stofmeel,2.038,Stef Assen,0.6,7760946,-,-,7760946,100,,,,,,,,7.5,3552,movie,De beentjes van Sint-Hildegard,0,2020,103,"Comedy,Drama"
123,Smack Dab Kakha,123,,,,,,,,,,,7692780,-,-,7692780,100,,,,,,,,1.5,914,movie,Neposredstvenno Kakha,0,2020,110,Comedy
124,The Heist of the Century,124,Guillermo Francella,10.843,Diego Peretti,5.962,Luis Luque,1.876,Pablo Rago,3.075,Rafael Ferro,4.685,7627100,-,-,7627100,100,,,,,,,,7.2,7507,movie,El robo del siglo,0,2020,114,"Action,Biography,Comedy"
125,De Gaulle,125,Lambert Wilson,14.545,Isabelle Carré,3.917,Olivier Gourmet,5.954,Laurent Stocker,1.533,Gilles Cohen,4.337,7501454,-,-,7501454,100,40.0,,,GabrielLeBomin,"FaridLahouassa,AïssaDjabri",10-22-2021,,6.1,1445,movie,De Gaulle,0,2020,108,"Biography,Drama,History"
126,Fukushima 50,126,Ken Watanabe,19.69,Koichi Sato,5.573,Hidetaka Yoshioka,5.548,Narumi Yasuda,1.665,Naoto Ogata,2.557,7494243,-,-,7494243,100,71.0,73.0,,SetsurôWakamatsu,"DaijiHoriuchi,TadashiOhsumi,NobuoFuse,YoshiroIdo,ShinichiMaruyama,JunichiAbe,HiroyasuGoami,HirohikoIizuka,KenyaShibata,TetsuyaOkahata,AtsushiIgarashi,NaohikoNinomiya",,,6.0,2454,movie,Fukushima 50,0,2020,122,"Action,Drama"
127,The Best Years,127,Myrna Loy,8.869,Fredric March,9.317,Dana Andrews,6.988,Teresa Wright,6.009,Virginia Mayo,8.196,7344947,-,-,7344947,100,,,,"DannyOgle,DannyPatrick",,,,6.7,2058,movie,Gli anni più belli,0,2020,129,Drama
128,The (UN)perfect Guy,128,,,,,,,,,,,7154649,-,-,7154649,100,18.0,51.0,PG-13,DavidM.Rosenthal,"NicoleRocklin,WendyRhoads,DarrylTaja,TommyOliver",9-11-2015,57000000.0,3.3,695,movie,(NE) Idealnyy muzhchina,0,2020,92,"Comedy,Romance,Sci-Fi"
129,Back to the Wharf,129,Zhang Yu,3.994,Song Jia,12.859,Wang Yanhui,1.528,Lee Hong Chi,5.247,Deng Enxi,5.452,7090000,-,-,7090000,100,,,,LiXiaofeng,,,,6.1,243,movie,Feng ping lang jing,0,2020,118,"Crime,Drama,Romance"
130,Adu,130,Luis Tosar,6.845,Anna Castillo,8.848,Álvaro Cervantes,6.392,Jesús Carroza,3.405,Ana Wagener,6.449,7085946,-,-,7085946,100,83.0,72.0,,SalvadorCalvo,"ÁlvaroAugustin,GhislainBarrois,EdmonRoch,JavierUgarte",,,6.8,4818,movie,Adú,0,2020,119,Drama
131,Fatale,131,Michael Ealy,11.7,Hilary Swank,19.2,Mike Colter,9.16,Damaris Lewis,6.85,Geoffrey Owens,2.403,7031289,6306897,89.7,724392,10.3,45.0,88.0,R,DeonTaylor,"RoxanneAvent,DeonTaylor,HilarySwank",12-18-2020,6300000.0,5.4,9618,movie,Fatale,0,2020,102,Thriller
132,Jim Button and the Wild 13,132,Henning Baum,2.316,Solomon Gordon,6.206,Annette Frier,2.458,Milan Peschel,3.461,Rick Kavanian,4.224,6908445,-,-,6908445,100,,,,DennisGansel,,,,6.2,506,movie,Jim Knopf und die Wilde 13,0,2020,110,"Adventure,Comedy,Family"
133,Dragon Rider,133,Thomas Brodie-Sangster,21.827,Freddie Highmore,35.473,Felicity Jones,18.633,Patrick Stewart,16.314,Sanjeev Bhaskar,4.063,6779816,-,-,6779816,100,73.0,44.0,,TomerEshed,"OliverBerben,MartinMoszkowicz,MarinaVoeth",,,5.6,1543,movie,Dragon Rider,0,2020,91,"Adventure,Animation,Comedy"
134,Psy 3: W imie zasad,134,Bogusław Linda,4.313,Marcin Dorociński,3.324,Cezary Pazura,4.504,Jan Frycz,1.701,Sebastian Fabijański,4.295,6725146,-,-,6725146,100,,,,WładysławPasikowski,KlaudiuszFrydrych,,,6.2,1258,movie,Psy 3: W imie zasad,0,2020,126,"Action,Crime,Drama"
135,Blood Moon Party,135,Thái Hòa,1.4,Hồng Ánh,0.6,Hứa Vĩ Văn,2.612,Thu Trang,0.6,Kiều Minh Tuấn,0.862,6709383,-,-,6709383,100,,,,,,,,7.6,322,movie,Tiec Trang Mau,0,2020,118,"Comedy,Drama"
136,Innocence,136,Gabrielle Anwar,14.71,Colin Egglesfield,9.743,Andrew W. Walker,10.704,Pancho Demmings,1.564,Jud Tylor,6.832,6659968,-,-,6659968,100,19.0,33.0,PG-13,HilaryBrougher,"DeclanBaldwin,PamelaKoffler,ChristineVachon,JaneMendelsohn",8-29-2014,292.8K,6.6,777,movie,Gyul-baek,0,2020,110,"Crime,Drama,Thriller"
137,Shubh Mangal Zyada Saavdhan,137,Ayushmann Khurrana,0.932,Jitendra Kumar,4.288,Pankhuri Awasthy,1.488,Gajraj Rao,1.024,Manu Rishi Chadha,2.43,6574905,-,-,6574905,100,93.0,72.0,,HiteshKewalya,,,,5.9,9341,movie,Shubh Mangal Zyada Saavdhan,0,2020,117,"Comedy,Crime,Romance"
138,Chhapaak,138,Deepika Padukone,6.286,Vikrant Massey,3.062,Madhurjeet Sarghi,0.98,Anand Tiwari,0.612,Payal Nair,0.994,6532100,604334,9.3,5927766,90.7,88.0,85.0,,MeghnaGulzar,"DeepikaPadukone,GovindSinghSandhu,MeghnaGulzar",1-10-2020,599.4K,4.9,26817,movie,Chhapaak,0,2020,120,"Biography,Drama"
