,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Captain America: Civil War,Chris Evans,15.319,Robert Downey Jr.,38.361,Scarlett Johansson,38.188,Sebastian Stan,39.447,Anthony Mackie,17.839,0,1153296293,408084349,35.4,745211944,64.6,90.0,89.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,5-6-2016,408100000.0,7.8,747026,movie,Captain America: Civil War,0,2016,147,"Action,Adventure,Sci-Fi"
1,Rogue One: A Star Wars Story,Felicity Jones,18.633,Diego Luna,16.247,Alan Tudyk,14.978,Donnie Yen,16.207,Jiang Wen,5.887,1,1056057273,532177324,50.4,523879949,49.6,84.0,86.0,PG-13,GarethEdwards,"KathleenKennedy,AllisonShearmur,SimonEmanuel",12-16-2016,532200000.00000006,7.8,601659,movie,Rogue One,0,2016,133,"Action,Adventure,Sci-Fi"
2,Finding Dory,Albert Brooks,14.991,Ellen DeGeneres,4.7,Ed O'Neill,12.43,Hayden Rolence,2.089,Diane Keaton,14.502,2,1028570889,486295561,47.3,542275328,52.7,94.0,84.0,PG,AndrewStanton,LindseyCollins,6-17-2016,486200000.0,7.3,265512,movie,Finding Dory,0,2016,97,"Adventure,Animation,Comedy"
3,Zootopia,Jason Bateman,15.545,Ginnifer Goodwin,12.357,Idris Elba,26.498,Jenny Slate,19.87,Nate Torrence,7.993,3,1023784195,341268248,33.3,682515947,66.7,98.0,92.0,PG,"ByronHoward,RichMoore",ClarkSpencer,3-4-2016,,8.0,478235,movie,Zootopia,0,2016,108,"Adventure,Animation,Comedy"
4,The Jungle Book,Bruce Reitherman,2.171,Phil Harris,7.134,Sebastian Cabot,10.681,George Sanders,6.285,Sterling Holloway,4.586,4,966550600,364001123,37.7,602549477,62.3,94.0,86.0,PG,JonFavreau,"JonFavreau,BrighamTaylor",4-15-2016,364000000.0,7.4,272505,movie,The Jungle Book,0,2016,106,"Adventure,Drama,Family"
5,The Secret Life of Pets,Patton Oswalt,15.44,Kevin Hart,14.271,Eric Stonestreet,6.607,Jenny Slate,19.87,Tiffany Haddish,8.655,5,875457937,368384330,42.1,507073607,57.9,72.0,62.0,PG,ChrisRenaud,"ChristopherMeledandri,JanetHealy",7-8-2016,368300000.0,6.5,197146,movie,The Secret Life of Pets,0,2016,87,"Adventure,Animation,Comedy"
6,Batman v Superman: Dawn of Justice,Ben Affleck,23.439,Henry Cavill,46.737,Jesse Eisenberg,30.679,Gal Gadot,38.496,Amy Adams,19.554,6,873634919,330360194,37.8,543274725,62.2,29.0,63.0,PG-13,ZackSnyder,"CharlesRoven,DeborahSnyder",3-25-2016,330200000.0,6.5,683335,movie,Batman v Superman: Dawn of Justice,0,2016,152,"Action,Adventure,Sci-Fi"
7,Fantastic Beasts and Where to Find Them,Eddie Redmayne,33.428,Katherine Waterston,17.555,Dan Fogler,23.174,Alison Sudol,17.15,Colin Farrell,43.802,7,814037575,234037575,28.8,580000000,71.2,74.0,79.0,PG-13,DavidYates,"DavidHeyman,J.K.Rowling,SteveKloves,LionelWigram",11-18-2016,234000000.0,7.3,447739,movie,Fantastic Beasts and Where to Find Them,0,2016,132,"Adventure,Family,Fantasy"
8,Deadpool,Ryan Reynolds,40.796,Morena Baccarin,26.355,Ed Skrein,13.665,T. J. Miller,14.522,Gina Carano,12.813,8,782612155,363070709,46.4,419541446,53.6,85.0,90.0,R,TimMiller,"SimonKinberg,RyanReynolds,LaurenShulerDonner",2-12-2016,363100000.0,8.0,989349,movie,Deadpool,0,2016,108,"Action,Adventure,Comedy"
9,Suicide Squad,Margot Robbie,29.861,Idris Elba,26.498,John Cena,15.948,Joel Kinnaman,24.116,Sylvester Stallone,32.593,9,746846894,325100054,43.5,421746840,56.5,26.0,59.0,PG-13,DavidAyer,"CharlesRoven,RichardSuckle",8-5-2016,,5.9,669397,movie,Suicide Squad,0,2016,123,"Action,Adventure,Fantasy"
