,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,24.549,Rupert Grint,11.399,Emma Watson,69.598,Ralph Fiennes,32.618,Helena Bonham Carter,40.369,0,1341511219,381011219,28.4,960500000,71.6,96.0,89.0,PG-13,DavidYates,"DavidHeyman,DavidBarron,J.K.Rowling",7-15-2011,381000000.0,8.2,839639,movie,Harry Potter and the Deathly Hallows: Part 2,0,2011,130,"Adventure,Fantasy,Mystery"
1,Transformers: Dark of the Moon,Shia LaBeouf,15.34,Rosie Huntington-Whiteley,16.038,Josh Duhamel,10.859,John Turturro,28.071,Tyrese Gibson,8.218,1,1123794079,352390543,31.4,771403536,68.6,35.0,55.0,PG-13,MichaelBay,"LorenzodiBonaventura,TomDeSanto,DonMurphy,IanBryce",6-29-2011,352400000.0,6.2,401355,movie,Transformers: Dark of the Moon,0,2011,154,"Action,Adventure,Sci-Fi"
2,Pirates of the Caribbean: On Stranger Tides,Johnny Depp,50.461,Penélope Cruz,23.261,Geoffrey Rush,9.579,Ian McShane,20.779,Kevin McNally,8.247,2,1045713802,241071802,23.1,804642000,76.9,33.0,54.0,PG-13,RobMarshall,JerryBruckheimer,5-20-2011,241100000.0,6.6,510552,movie,Pirates of the Caribbean: On Stranger Tides,0,2011,137,"Action,Adventure,Fantasy"
3,The Twilight Saga: Breaking Dawn - Part 1,Kristen Stewart,28.953,Robert Pattinson,26.955,Taylor Lautner,22.521,Ashley Greene,24.874,Peter Facinelli,17.93,3,712205856,281287133,39.5,430918723,60.5,25.0,60.0,PG-13,BillCondon,"WyckGodfrey,KarenRosenfelt,StephenieMeyer",11-18-2011,281300000.0,4.9,236412,movie,The Twilight Saga: Breaking Dawn - Part 1,0,2011,117,"Adventure,Drama,Fantasy"
4,Mission: Impossible - Ghost Protocol,Tom Cruise,34.075,Paula Patton,29.455,Simon Pegg,15.527,Jeremy Renner,47.118,Michael Nyqvist,6.737,4,694713380,209397903,30.1,485315477,69.9,93.0,76.0,PG-13,BradBird,"TomCruise,J.J.Abrams,BryanBurk",12-21-2011,209400000.0,7.4,479034,movie,Mission: Impossible - Ghost Protocol,0,2011,132,"Action,Adventure,Thriller"
5,Kung Fu Panda 2,Jack Black,23.771,Angelina Jolie,13.484,Dustin Hoffman,12.71,Gary Oldman,27.283,Jackie Chan,26.273,5,665692281,165249063,24.8,500443218,75.2,80.0,74.0,PG,JenniferYuhNelson,MelissaCobb,5-26-2011,,7.2,274962,movie,Kung Fu Panda 2,0,2011,90,"Action,Adventure,Animation"
6,Fast Five,Vin Diesel,29.696,Paul Walker,20.93,Dwayne Johnson,29.99,Jordana Brewster,19.391,Tyrese Gibson,8.218,6,626137675,209837675,33.5,416300000,66.5,77.0,83.0,PG-13,JustinLin,"NealH.Moritz,VinDiesel,MichaelFottrell",4-29-2011,209800000.0,7.3,373986,movie,Fast Five,0,2011,130,"Action,Adventure,Crime"
7,The Hangover Part II,Bradley Cooper,38.912,Ed Helms,15.096,Zach Galifianakis,14.573,Justin Bartha,13.582,Ken Jeong,8.844,7,586764305,254464305,43.4,332300000,56.6,34.0,52.0,R,ToddPhillips,"ToddPhillips,DanGoldberg",5-26-2011,254500000.0,6.5,489016,movie,The Hangover Part II,0,2011,102,Comedy
8,The Smurfs,Hank Azaria,10.806,Neil Patrick Harris,15.944,Jayma Mays,19.24,Sofía Vergara,10.101,Tim Gunn,5.12,8,563749323,142614158,25.3,421135165,74.7,21.0,43.0,PG,RajaGosnell,JordanKerner,7-29-2011,142600000.0,5.4,88940,movie,The Smurfs,0,2011,103,"Adventure,Animation,Comedy"
9,Cars 2,Larry the Cable Guy,4.598,Owen Wilson,46.143,Michael Caine,14.985,Emily Mortimer,12.578,John Turturro,28.071,9,559852396,191452396,34.2,368400000,65.8,39.0,49.0,G,JohnLasseter,DeniseReam,6-24-2011,,6.2,180237,movie,Cars 2,0,2011,106,"Adventure,Animation,Comedy"
10,Puss in Boots,Antonio Banderas,18.301,Salma Hayek,22.609,Zach Galifianakis,14.573,Billy Bob Thornton,13.488,Amy Sedaris,15.668,10,554987477,149260504,26.9,405726973,73.1,86.0,67.0,PG,ChrisMiller,"JoeAguilar,LatifaOuaou",10-28-2011,149200000.0,6.6,155196,movie,Puss in Boots,0,2011,90,"Adventure,Animation,Comedy"
11,Sherlock Holmes: A Game of Shadows,Robert Downey Jr.,38.361,Jude Law,21.474,Noomi Rapace,29.74,Jared Harris,14.937,Rachel McAdams,23.696,11,543848418,186848418,34.4,357000000,65.6,59.0,77.0,PG-13,GuyRitchie,"JoelSilver,LionelWigram,SusanDowney,DanLin",12-16-2011,186800000.0,7.4,444166,movie,Sherlock Holmes: A Game of Shadows,0,2011,129,"Action,Adventure,Mystery"
