,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
88,John Wick,"86,013,056","43,037,835",50,"42,975,221",50,86.0,81.0,R,ChadStahelski,"BasilIwanyk,DavidLeitch,EvaLongoria",10-24-2014,43000000.0,7.4,602236,movie,John Wick,0,2014,101,"Action,Crime,Thriller"
89,The Judge,"84,419,388","47,119,388",55.8,"37,300,000",44.2,100.0,,,ErikaCohn,ErikaCohn,4-13-2018,,7.4,188650,movie,The Judge,0,2014,141,"Crime,Drama"
90,Tiny Times 3.0,"82,320,000",-,-,"82,320,000",100,,,,,,,,3.0,791,movie,Xiao shi dai 3: Ci jin shi dai,0,2014,125,"Drama,Romance"
91,Gone with the Bullets,"81,387,479",-,-,"81,387,479",100,,,,,,,,5.8,1568,movie,Yi bu zhi yao,0,2014,140,"Action,Comedy,Drama"
92,Muppets Most Wanted,"80,383,113","51,183,113",63.7,"29,200,000",36.3,80.0,58.0,PG,JamesBobin,"DavidHoberman,ToddLieberman",3-21-2014,51200000.0,6.4,34087,movie,Muppets Most Wanted,0,2014,107,"Adventure,Comedy,Crime"
93,Spanish Affair,"78,768,613",-,-,"78,768,613",100,,,,"LuisMarquina,DonSiegel",BruceOdlum,,,6.5,17219,movie,Ocho apellidos vascos,0,2014,98,"Comedy,Romance"
94,If I Stay,"78,274,843","50,474,843",64.5,"27,800,000",35.5,35.0,61.0,PG-13,R.J.Cutler,AlisonGreenspan,8-22-2014,50500000.0,6.7,121613,movie,If I Stay,0,2014,107,"Drama,Fantasy,Music"
95,Head Full of Honey,"78,127,384",-,-,"78,127,384",100,0.0,75.0,PG-13,TilSchweiger,"TilSchweiger,ChristianSpecht",11-30-2018,8.7K,6.5,6518,movie,Honig im Kopf,0,2014,139,"Comedy,Drama,Family"
96,"I, Frankenstein","76,801,179","19,075,290",24.8,"57,725,889",75.2,5.0,38.0,PG-13,StuartBeattie,"TomRosenberg,GaryLucchesi,RichardS.Wright,AndrewMason,SidneyKimmel",1-24-2014,19100000.0,5.1,80582,movie,"I, Frankenstein",0,2014,92,"Action,Fantasy,Sci-Fi"
97,My Old Classmate,"73,052,128",-,-,"73,052,128",100,,,,FrantGwo,,,,5.6,461,movie,Tong zhuo de ni,0,2014,98,"Comedy,Romance"
98,The Bélier Family,"72,751,538",-,-,"72,751,538",100,83.0,75.0,,ÉricLartigau,"EricJehelmann,NadiaKhamlichi,AdrianPolitowski,PhilippeRousselet,GillesWaterkeyn,StéphanieBermann",,,7.3,27137,movie,La famille Bélier,0,2014,106,"Comedy,Drama,Music"
99,Brick Mansions,"71,416,730","20,396,829",28.6,"51,019,901",71.4,26.0,47.0,PG-13,CamilleDelamarre,"ClaudeLéger,JonathanVanger",4-25-2014,20400000.0,5.6,42017,movie,Brick Mansions,0,2014,90,"Action,Crime,Thriller"
100,Son of God,"70,829,270","59,700,064",84.3,"11,129,206",15.7,21.0,73.0,PG-13,"ChristopherSpencer,TonyMitchell,CrispinReece","RomaDowney,MarkBurnett,RichardBedser",2-28-2014,59700000.0,5.8,18866,movie,Son of God,0,2014,138,"Biography,Drama,History"
101,Think Like a Man Too,"70,181,428","65,182,182",92.9,"4,999,246",7.1,23.0,59.0,PG-13,TimStory,WillPacker,6-20-2014,65099999.99999999,5.7,20885,movie,Think Like a Man Too,0,2014,106,"Comedy,Romance"
102,Jersey Boys,"67,647,013","47,047,013",69.5,"20,600,000",30.5,51.0,62.0,R,ClintEastwood,"ClintEastwood,GrahamKing,RobertLorenz",6-20-2014,47000000.0,6.8,34640,movie,Jersey Boys,0,2014,134,"Biography,Drama,Music"
103,The Giver,"66,980,456","45,090,374",67.3,"21,890,082",32.7,35.0,55.0,PG-13,PhillipNoyce,"NikkiSilver,JeffBridges,NeilKoenigsberg",8-15-2014,45100000.0,6.4,117619,movie,The Giver,0,2014,97,"Drama,Romance,Sci-Fi"
104,Selma,"66,787,908","52,076,908",78,"14,711,000",22,99.0,86.0,PG-13,AvaDuVernay,"ChristianColson,OprahWinfrey,DedeGardner,JeremyKleiner",1-9-2015,52100000.0,7.5,90776,movie,Selma,0,2014,128,"Biography,Drama,History"
105,Beijing Love Story,"65,842,375","428,318",0.7,"65,414,057",99.3,33.0,53.0,,ChenSiCheng,LiChen,2-14-2014,427.9K,5.8,396,movie,Bei Jing ai qing gu shi,0,2014,121,"Drama,Romance"
